county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Adams,Abbottstown,U.S. Senate,,Bob Casey Jr.,,120,,,Adams County,Abbottstown
Adams,Abbottstown,U.S. Senate,,Lou Barletta,,183,,,Adams County,Abbottstown
Adams,Abbottstown,U.S. Senate,,Neale Gale,,2,,,Adams County,Abbottstown
Adams,Abbottstown,U.S. Senate,,Dale R. Kerns Jr.,,5,,,Adams County,Abbottstown
Adams,Abbottstown,U.S. Senate,,Write In,,0,,,Adams County,Abbottstown
Adams,Arendtsville,U.S. Senate,,Bob Casey Jr.,,151,,,Adams County,Arendtsville
Adams,Arendtsville,U.S. Senate,,Lou Barletta,,178,,,Adams County,Arendtsville
Adams,Arendtsville,U.S. Senate,,Neale Gale,,3,,,Adams County,Arendtsville
Adams,Arendtsville,U.S. Senate,,Dale R. Kerns Jr.,,6,,,Adams County,Arendtsville
Adams,Arendtsville,U.S. Senate,,Write In,,0,,,Adams County,Arendtsville
Adams,Bendersville,U.S. Senate,,Bob Casey Jr.,,74,,,Adams County,Bendersville
Adams,Bendersville,U.S. Senate,,Lou Barletta,,103,,,Adams County,Bendersville
Adams,Bendersville,U.S. Senate,,Neale Gale,,2,,,Adams County,Bendersville
Adams,Bendersville,U.S. Senate,,Dale R. Kerns Jr.,,1,,,Adams County,Bendersville
Adams,Bendersville,U.S. Senate,,Write In,,0,,,Adams County,Bendersville
Adams,Berwick,U.S. Senate,,Bob Casey Jr.,,289,,,Adams County,Berwick
Adams,Berwick,U.S. Senate,,Lou Barletta,,575,,,Adams County,Berwick
Adams,Berwick,U.S. Senate,,Neale Gale,,5,,,Adams County,Berwick
Adams,Berwick,U.S. Senate,,Dale R. Kerns Jr.,,14,,,Adams County,Berwick
Adams,Berwick,U.S. Senate,,Write In,,0,,,Adams County,Berwick
Adams,Biglerville,U.S. Senate,,Bob Casey Jr.,,152,,,Adams County,Biglerville
Adams,Biglerville,U.S. Senate,,Lou Barletta,,231,,,Adams County,Biglerville
Adams,Biglerville,U.S. Senate,,Neale Gale,,7,,,Adams County,Biglerville
Adams,Biglerville,U.S. Senate,,Dale R. Kerns Jr.,,3,,,Adams County,Biglerville
Adams,Biglerville,U.S. Senate,,Write In,,1,,,Adams County,Biglerville
Adams,Bonneauville,U.S. Senate,,Bob Casey Jr.,,222,,,Adams County,Bonneauville
Adams,Bonneauville,U.S. Senate,,Lou Barletta,,375,,,Adams County,Bonneauville
Adams,Bonneauville,U.S. Senate,,Neale Gale,,6,,,Adams County,Bonneauville
Adams,Bonneauville,U.S. Senate,,Dale R. Kerns Jr.,,7,,,Adams County,Bonneauville
Adams,Bonneauville,U.S. Senate,,Write In,,0,,,Adams County,Bonneauville
Adams,Butler,U.S. Senate,,Bob Casey Jr.,,330,,,Adams County,Butler
Adams,Butler,U.S. Senate,,Lou Barletta,,696,,,Adams County,Butler
Adams,Butler,U.S. Senate,,Neale Gale,,6,,,Adams County,Butler
Adams,Butler,U.S. Senate,,Dale R. Kerns Jr.,,10,,,Adams County,Butler
Adams,Butler,U.S. Senate,,Write In,,0,,,Adams County,Butler
Adams,Carroll Valley #1,U.S. Senate,,Bob Casey Jr.,,333,,,Adams County,Carroll Valley #1
Adams,Carroll Valley #1,U.S. Senate,,Lou Barletta,,592,,,Adams County,Carroll Valley #1
Adams,Carroll Valley #1,U.S. Senate,,Neale Gale,,10,,,Adams County,Carroll Valley #1
Adams,Carroll Valley #1,U.S. Senate,,Dale R. Kerns Jr.,,11,,,Adams County,Carroll Valley #1
Adams,Carroll Valley #1,U.S. Senate,,Write In,,0,,,Adams County,Carroll Valley #1
Adams,Carroll Valley #2,U.S. Senate,,Bob Casey Jr.,,296,,,Adams County,Carroll Valley #2
Adams,Carroll Valley #2,U.S. Senate,,Lou Barletta,,481,,,Adams County,Carroll Valley #2
Adams,Carroll Valley #2,U.S. Senate,,Neale Gale,,4,,,Adams County,Carroll Valley #2
Adams,Carroll Valley #2,U.S. Senate,,Dale R. Kerns Jr.,,9,,,Adams County,Carroll Valley #2
Adams,Carroll Valley #2,U.S. Senate,,Write In,,0,,,Adams County,Carroll Valley #2
Adams,Conewago #1,U.S. Senate,,Bob Casey Jr.,,497,,,Adams County,Conewago #1
Adams,Conewago #1,U.S. Senate,,Lou Barletta,,720,,,Adams County,Conewago #1
Adams,Conewago #1,U.S. Senate,,Neale Gale,,2,,,Adams County,Conewago #1
Adams,Conewago #1,U.S. Senate,,Dale R. Kerns Jr.,,7,,,Adams County,Conewago #1
Adams,Conewago #1,U.S. Senate,,Write In,,0,,,Adams County,Conewago #1
Adams,Conewago #2,U.S. Senate,,Bob Casey Jr.,,477,,,Adams County,Conewago #2
Adams,Conewago #2,U.S. Senate,,Lou Barletta,,863,,,Adams County,Conewago #2
Adams,Conewago #2,U.S. Senate,,Neale Gale,,8,,,Adams County,Conewago #2
Adams,Conewago #2,U.S. Senate,,Dale R. Kerns Jr.,,6,,,Adams County,Conewago #2
Adams,Conewago #2,U.S. Senate,,Write In,,1,,,Adams County,Conewago #2
Adams,Cumberland #1,U.S. Senate,,Bob Casey Jr.,,495,,,Adams County,Cumberland #1
Adams,Cumberland #1,U.S. Senate,,Lou Barletta,,456,,,Adams County,Cumberland #1
Adams,Cumberland #1,U.S. Senate,,Neale Gale,,3,,,Adams County,Cumberland #1
Adams,Cumberland #1,U.S. Senate,,Dale R. Kerns Jr.,,8,,,Adams County,Cumberland #1
Adams,Cumberland #1,U.S. Senate,,Write In,,1,,,Adams County,Cumberland #1
Adams,Cumberland #2,U.S. Senate,,Bob Casey Jr.,,210,,,Adams County,Cumberland #2
Adams,Cumberland #2,U.S. Senate,,Lou Barletta,,448,,,Adams County,Cumberland #2
Adams,Cumberland #2,U.S. Senate,,Neale Gale,,6,,,Adams County,Cumberland #2
Adams,Cumberland #2,U.S. Senate,,Dale R. Kerns Jr.,,8,,,Adams County,Cumberland #2
Adams,Cumberland #2,U.S. Senate,,Write In,,0,,,Adams County,Cumberland #2
Adams,Cumberland #3,U.S. Senate,,Bob Casey Jr.,,421,,,Adams County,Cumberland #3
Adams,Cumberland #3,U.S. Senate,,Lou Barletta,,436,,,Adams County,Cumberland #3
Adams,Cumberland #3,U.S. Senate,,Neale Gale,,5,,,Adams County,Cumberland #3
Adams,Cumberland #3,U.S. Senate,,Dale R. Kerns Jr.,,17,,,Adams County,Cumberland #3
Adams,Cumberland #3,U.S. Senate,,Write In,,1,,,Adams County,Cumberland #3
Adams,Cumberland #4,U.S. Senate,,Bob Casey Jr.,,505,,,Adams County,Cumberland #4
Adams,Cumberland #4,U.S. Senate,,Lou Barletta,,432,,,Adams County,Cumberland #4
Adams,Cumberland #4,U.S. Senate,,Neale Gale,,7,,,Adams County,Cumberland #4
Adams,Cumberland #4,U.S. Senate,,Dale R. Kerns Jr.,,11,,,Adams County,Cumberland #4
Adams,Cumberland #4,U.S. Senate,,Write In,,0,,,Adams County,Cumberland #4
Adams,East Berlin,U.S. Senate,,Bob Casey Jr.,,232,,,Adams County,East Berlin
Adams,East Berlin,U.S. Senate,,Lou Barletta,,389,,,Adams County,East Berlin
Adams,East Berlin,U.S. Senate,,Neale Gale,,6,,,Adams County,East Berlin
Adams,East Berlin,U.S. Senate,,Dale R. Kerns Jr.,,7,,,Adams County,East Berlin
Adams,East Berlin,U.S. Senate,,Write In,,2,,,Adams County,East Berlin
Adams,Fairfield,U.S. Senate,,Bob Casey Jr.,,109,,,Adams County,Fairfield
Adams,Fairfield,U.S. Senate,,Lou Barletta,,134,,,Adams County,Fairfield
Adams,Fairfield,U.S. Senate,,Neale Gale,,2,,,Adams County,Fairfield
Adams,Fairfield,U.S. Senate,,Dale R. Kerns Jr.,,2,,,Adams County,Fairfield
Adams,Fairfield,U.S. Senate,,Write In,,0,,,Adams County,Fairfield
Adams,Franklin #1,U.S. Senate,,Bob Casey Jr.,,338,,,Adams County,Franklin #1
Adams,Franklin #1,U.S. Senate,,Lou Barletta,,617,,,Adams County,Franklin #1
Adams,Franklin #1,U.S. Senate,,Neale Gale,,7,,,Adams County,Franklin #1
Adams,Franklin #1,U.S. Senate,,Dale R. Kerns Jr.,,22,,,Adams County,Franklin #1
Adams,Franklin #1,U.S. Senate,,Write In,,0,,,Adams County,Franklin #1
Adams,Franklin #2,U.S. Senate,,Bob Casey Jr.,,300,,,Adams County,Franklin #2
Adams,Franklin #2,U.S. Senate,,Lou Barletta,,584,,,Adams County,Franklin #2
Adams,Franklin #2,U.S. Senate,,Neale Gale,,8,,,Adams County,Franklin #2
Adams,Franklin #2,U.S. Senate,,Dale R. Kerns Jr.,,15,,,Adams County,Franklin #2
Adams,Franklin #2,U.S. Senate,,Write In,,1,,,Adams County,Franklin #2
Adams,Freedom,U.S. Senate,,Bob Casey Jr.,,158,,,Adams County,Freedom
Adams,Freedom,U.S. Senate,,Lou Barletta,,280,,,Adams County,Freedom
Adams,Freedom,U.S. Senate,,Neale Gale,,4,,,Adams County,Freedom
Adams,Freedom,U.S. Senate,,Dale R. Kerns Jr.,,6,,,Adams County,Freedom
Adams,Freedom,U.S. Senate,,Write In,,0,,,Adams County,Freedom
Adams,Germany,U.S. Senate,,Bob Casey Jr.,,302,,,Adams County,Germany
Adams,Germany,U.S. Senate,,Lou Barletta,,798,,,Adams County,Germany
Adams,Germany,U.S. Senate,,Neale Gale,,14,,,Adams County,Germany
Adams,Germany,U.S. Senate,,Dale R. Kerns Jr.,,10,,,Adams County,Germany
Adams,Germany,U.S. Senate,,Write In,,0,,,Adams County,Germany
Adams,Gettysburg #1,U.S. Senate,,Bob Casey Jr.,,470,,,Adams County,Gettysburg #1
Adams,Gettysburg #1,U.S. Senate,,Lou Barletta,,208,,,Adams County,Gettysburg #1
Adams,Gettysburg #1,U.S. Senate,,Neale Gale,,13,,,Adams County,Gettysburg #1
Adams,Gettysburg #1,U.S. Senate,,Dale R. Kerns Jr.,,10,,,Adams County,Gettysburg #1
Adams,Gettysburg #1,U.S. Senate,,Write In,,0,,,Adams County,Gettysburg #1
Adams,Gettysburg #2,U.S. Senate,,Bob Casey Jr.,,672,,,Adams County,Gettysburg #2
Adams,Gettysburg #2,U.S. Senate,,Lou Barletta,,193,,,Adams County,Gettysburg #2
Adams,Gettysburg #2,U.S. Senate,,Neale Gale,,11,,,Adams County,Gettysburg #2
Adams,Gettysburg #2,U.S. Senate,,Dale R. Kerns Jr.,,14,,,Adams County,Gettysburg #2
Adams,Gettysburg #2,U.S. Senate,,Write In,,0,,,Adams County,Gettysburg #2
Adams,Gettysburg #3,U.S. Senate,,Bob Casey Jr.,,386,,,Adams County,Gettysburg #3
Adams,Gettysburg #3,U.S. Senate,,Lou Barletta,,255,,,Adams County,Gettysburg #3
Adams,Gettysburg #3,U.S. Senate,,Neale Gale,,7,,,Adams County,Gettysburg #3
Adams,Gettysburg #3,U.S. Senate,,Dale R. Kerns Jr.,,9,,,Adams County,Gettysburg #3
Adams,Gettysburg #3,U.S. Senate,,Write In,,0,,,Adams County,Gettysburg #3
Adams,Hamilton,U.S. Senate,,Bob Casey Jr.,,311,,,Adams County,Hamilton
Adams,Hamilton,U.S. Senate,,Lou Barletta,,722,,,Adams County,Hamilton
