county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Allegheny,ALEPPO,U.S. Senate,,"Bob Casey, Jr.",Dem,471.0,,22.0,Allegheny County,ALEPPO
Allegheny,ASPINWALL DIST 1,U.S. Senate,,"Bob Casey, Jr.",Dem,416.0,,18.0,Allegheny County,ASPINWALL DIST 1
Allegheny,ASPINWALL DIST 2,U.S. Senate,,"Bob Casey, Jr.",Dem,280.0,,13.0,Allegheny County,ASPINWALL DIST 2
Allegheny,ASPINWALL DIST 3,U.S. Senate,,"Bob Casey, Jr.",Dem,409.0,,18.0,Allegheny County,ASPINWALL DIST 3
Allegheny,AVALON WARD 1,U.S. Senate,,"Bob Casey, Jr.",Dem,428.0,,5.0,Allegheny County,AVALON WARD 1
Allegheny,AVALON WARD 2 DIST 1,U.S. Senate,,"Bob Casey, Jr.",Dem,308.0,,8.0,Allegheny County,AVALON WARD 2 DIST 1
Allegheny,AVALON WARD 2 DIST 2,U.S. Senate,,"Bob Casey, Jr.",Dem,182.0,,3.0,Allegheny County,AVALON WARD 2 DIST 2
Allegheny,AVALON WARD 3 DIST 1,U.S. Senate,,"Bob Casey, Jr.",Dem,121.0,,0.0,Allegheny County,AVALON WARD 3 DIST 1
Allegheny,AVALON WARD 3 DIST 2,U.S. Senate,,"Bob Casey, Jr.",Dem,191.0,,7.0,Allegheny County,AVALON WARD 3 DIST 2
Allegheny,AVALON WARD 3 DIST 3,U.S. Senate,,"Bob Casey, Jr.",Dem,206.0,,3.0,Allegheny County,AVALON WARD 3 DIST 3
Allegheny,BALDWIN BR DIST 1,U.S. Senate,,"Bob Casey, Jr.",Dem,217.0,,5.0,Allegheny County,BALDWIN BR DIST 1
Allegheny,BALDWIN BR DIST 2,U.S. Senate,,"Bob Casey, Jr.",Dem,438.0,,19.0,Allegheny County,BALDWIN BR DIST 2
Allegheny,BALDWIN BR DIST 3,U.S. Senate,,"Bob Casey, Jr.",Dem,319.0,,6.0,Allegheny County,BALDWIN BR DIST 3
Allegheny,BALDWIN BR DIST 4,U.S. Senate,,"Bob Casey, Jr.",Dem,273.0,,4.0,Allegheny County,BALDWIN BR DIST 4
