county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Armstrong,Apollo Borough,U.S. Senate,,"Bob Casey, Jr.",DEM,199.0,196.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,U.S. Senate,,Lou Barletta,REP,201.0,198.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,U.S. Senate,,Neal Gale,GRN,4.0,4.0,0.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,U.S. Senate,,"Dale R. Kerns, Jr.",LIB,11.0,11.0,0.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,Governor,,Wolf/Fetterman,DEM,203.0,200.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,Governor,,Wagner/Bartos,REP,206.0,203.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,Governor,,Glover/Bowser-Bos,GREEN,5.0,5.0,0.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,Governor,,Krawchuk/Smith,LIB,4.0,4.0,0.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,Governor,,Write-ins,,1.0,1.0,0.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,U.S. House,15.0,Susan Boser,DEM,182.0,179.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,U.S. House,15.0,Glenn GT Thompson,REP,229.0,226.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,U.S. House,15.0,Write-ins,,1.0,1.0,0.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,State House,55.0,Joseph A. Petrarca,DEM,305.0,302.0,3.0,Armstrong County,Apollo Borough
Armstrong,Apollo Borough,State House,55.0,Write-ins,,13.0,13.0,0.0,Armstrong County,Apollo Borough
Armstrong,Applewold Borough,U.S. Senate,,"Bob Casey, Jr.",DEM,57.0,56.0,1.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,U.S. Senate,,Lou Barletta,REP,66.0,66.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,U.S. Senate,,Neal Gale,GRN,0.0,0.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,U.S. Senate,,"Dale R. Kerns, Jr.",LIB,3.0,3.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,Governor,,Wolf/Fetterman,DEM,54.0,53.0,1.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,Governor,,Wagner/Bartos,REP,67.0,67.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,Governor,,Glover/Bowser-Bos,GREEN,2.0,2.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,Governor,,Krawchuk/Smith,LIB,3.0,3.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,Governor,,Write-ins,,0.0,0.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,U.S. House,15.0,Susan Boser,DEM,49.0,48.0,1.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,U.S. House,15.0,Glenn GT Thompson,REP,76.0,76.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,U.S. House,15.0,Write-ins,,0.0,0.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,State House,60.0,Jeff Pyle,REP,97.0,97.0,0.0,Armstrong County,Applewold Borough
Armstrong,Applewold Borough,State House,60.0,Write-ins,,9.0,9.0,0.0,Armstrong County,Applewold Borough
