county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Beaver,0101 ALIQUIPPA 1,U.S. Senate,,BOB CASEY JR,DEM,103.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. Senate,,LOU BARLETTA,REP,64.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. Senate,,NEAL GALE,GRN,1.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. Senate,,DALE R. KERNS JR,LIB,1.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. Senate,,Write-ins,,0.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,107.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,64.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,Governor,,PAUL GLOVER/J. BOWSER-BOSTICK,GRN,1.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,Governor,,KEN V. KRAWCHUK/K. S. SMITH,LIB,0.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,Governor,,Write-ins,,0.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. House,17.0,CONOR LAMB,DEM,101.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. House,17.0,KEITH ROTHFUS,REP,69.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0101 ALIQUIPPA 1,U.S. House,17.0,Write-ins,,0.0,,,Beaver County,0101 ALIQUIPPA 1
Beaver,0102 ALIQUIPPA 2,U.S. Senate,,BOB CASEY JR,DEM,386.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. Senate,,LOU BARLETTA,REP,19.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. Senate,,NEAL GALE,GRN,0.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. Senate,,DALE R. KERNS JR,LIB,0.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. Senate,,Write-ins,,0.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,386.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,18.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,Governor,,PAUL GLOVER/J. BOWSER-BOSTICK,GRN,1.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,Governor,,KEN V. KRAWCHUK/K. S. SMITH,LIB,2.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,Governor,,Write-ins,,0.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. House,17.0,CONOR LAMB,DEM,384.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. House,17.0,KEITH ROTHFUS,REP,22.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0102 ALIQUIPPA 2,U.S. House,17.0,Write-ins,,1.0,,,Beaver County,0102 ALIQUIPPA 2
Beaver,0103 ALIQUIPPA 3,U.S. Senate,,BOB CASEY JR,DEM,214.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. Senate,,LOU BARLETTA,REP,3.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. Senate,,NEAL GALE,GRN,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. Senate,,DALE R. KERNS JR,LIB,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. Senate,,Write-ins,,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,213.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,4.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,Governor,,PAUL GLOVER/J. BOWSER-BOSTICK,GRN,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,Governor,,KEN V. KRAWCHUK/K. S. SMITH,LIB,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,Governor,,Write-ins,,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. House,17.0,CONOR LAMB,DEM,213.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. House,17.0,KEITH ROTHFUS,REP,4.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0103 ALIQUIPPA 3,U.S. House,17.0,Write-ins,,0.0,,,Beaver County,0103 ALIQUIPPA 3
Beaver,0104 ALIQUIPPA 4,U.S. Senate,,BOB CASEY JR,DEM,138.0,,,Beaver County,0104 ALIQUIPPA 4
Beaver,0104 ALIQUIPPA 4,U.S. Senate,,LOU BARLETTA,REP,25.0,,,Beaver County,0104 ALIQUIPPA 4
Beaver,0104 ALIQUIPPA 4,U.S. Senate,,NEAL GALE,GRN,1.0,,,Beaver County,0104 ALIQUIPPA 4
Beaver,0104 ALIQUIPPA 4,U.S. Senate,,DALE R. KERNS JR,LIB,2.0,,,Beaver County,0104 ALIQUIPPA 4
Beaver,0104 ALIQUIPPA 4,U.S. Senate,,Write-ins,,0.0,,,Beaver County,0104 ALIQUIPPA 4
