county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Bedford,Precinct 0101,U.S. Senate,,BOB CASEY JR,DEM,225.0,224.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,LOU BARLETTA,REP,391.0,391.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,NEAL GALE,GRN,2.0,2.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,DALE R KERNS JR,LIB,8.0,8.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,JEFF COLE (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,SCOTT WAGNER (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,Cast Votes,,626.0,625.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,Over Votes,,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. Senate,,Under Votes,,8.0,8.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,TOM WOLF,DEM,228.0,228.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,SCOTT R WAGNER,REP,396.0,396.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,PAUL GLOVER,GRN,1.0,1.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,KEN V KRAWCHUK,LIB,3.0,3.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,TOM BORDACK (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,KOBE BRYANT (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JOHN FETTERMAN (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JON FETTERMAN (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,CLARK W GRISWOLD (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JOSEPH HELSEL (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JOHN JOYCE (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JEFFREY RECKNER (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,MARK SCHWEIKER (W),,1.0,1.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,MIKE TURZAI (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,PAUL MANGO (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JOHN EICHELBERGER (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,JOHN TITTERMON (W),,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,Cast Votes,,629.0,629.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,Over Votes,,0.0,0.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,Governor,,Under Votes,,4.0,4.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. House,13.0,BRENT OTTAWAY,DEM,208.0,208.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. House,13.0,JOHN JOYCE,REP,414.0,414.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. House,13.0,JOHN EICHELBERGER (W),,1.0,1.0,,Bedford County,Precinct 0101
Bedford,Precinct 0101,U.S. House,13.0,ANITA GOODWIN (W),,0.0,0.0,,Bedford County,Precinct 0101
