county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Berks,Albany Twp.,U.S. Senate,,Bob Casey Jr.,DEM,261.0,,,Berks County,Albany Twp.
Berks,Alsace 01,U.S. Senate,,Bob Casey Jr.,DEM,346.0,,,Berks County,Alsace 01
Berks,Alsace 02,U.S. Senate,,Bob Casey Jr.,DEM,322.0,,,Berks County,Alsace 02
Berks,Amity Twp. 01,U.S. Senate,,Bob Casey Jr.,DEM,200.0,,,Berks County,Amity Twp. 01
Berks,Amity Twp. 02,U.S. Senate,,Bob Casey Jr.,DEM,504.0,,,Berks County,Amity Twp. 02
Berks,Amity Twp. 03,U.S. Senate,,Bob Casey Jr.,DEM,422.0,,,Berks County,Amity Twp. 03
Berks,Amity Twp. 04,U.S. Senate,,Bob Casey Jr.,DEM,575.0,,,Berks County,Amity Twp. 04
Berks,Amity Twp. 05,U.S. Senate,,Bob Casey Jr.,DEM,338.0,,,Berks County,Amity Twp. 05
Berks,Amity Twp. 06,U.S. Senate,,Bob Casey Jr.,DEM,403.0,,,Berks County,Amity Twp. 06
Berks,Bally Boro,U.S. Senate,,Bob Casey Jr.,DEM,213.0,,,Berks County,Bally Boro
Berks,Bechtelsville Boro,U.S. Senate,,Bob Casey Jr.,DEM,124.0,,,Berks County,Bechtelsville Boro
Berks,Bern Twp. 01,U.S. Senate,,Bob Casey Jr.,DEM,515.0,,,Berks County,Bern Twp. 01
Berks,Bern Twp. 02,U.S. Senate,,Bob Casey Jr.,DEM,275.0,,,Berks County,Bern Twp. 02
Berks,Bern Twp. 03,U.S. Senate,,Bob Casey Jr.,DEM,295.0,,,Berks County,Bern Twp. 03
Berks,Bernville Boro,U.S. Senate,,Bob Casey Jr.,DEM,144.0,,,Berks County,Bernville Boro
Berks,Bethel Twp,U.S. Senate,,Bob Casey Jr.,DEM,235.0,,,Berks County,Bethel Twp
Berks,Birdsboro Boro 01,U.S. Senate,,Bob Casey Jr.,DEM,355.0,,,Berks County,Birdsboro Boro 01
Berks,Birdsboro Boro 02,U.S. Senate,,Bob Casey Jr.,DEM,518.0,,,Berks County,Birdsboro Boro 02
Berks,Boyertown Boro 01,U.S. Senate,,Bob Casey Jr.,DEM,331.0,,,Berks County,Boyertown Boro 01
Berks,Boyertown Boro 02,U.S. Senate,,Bob Casey Jr.,DEM,274.0,,,Berks County,Boyertown Boro 02
Berks,Brecknock Twp 01,U.S. Senate,,Bob Casey Jr.,DEM,376.0,,,Berks County,Brecknock Twp 01
Berks,Brecknock Twp 02,U.S. Senate,,Bob Casey Jr.,DEM,447.0,,,Berks County,Brecknock Twp 02
Berks,Caernarvon Twp 01,U.S. Senate,,Bob Casey Jr.,DEM,314.0,,,Berks County,Caernarvon Twp 01
Berks,Caernarvon Twp 02,U.S. Senate,,Bob Casey Jr.,DEM,395.0,,,Berks County,Caernarvon Twp 02
Berks,Centerport Boro,U.S. Senate,,Bob Casey Jr.,DEM,47.0,,,Berks County,Centerport Boro
Berks,Centre Twp. 01,U.S. Senate,,Bob Casey Jr.,DEM,320.0,,,Berks County,Centre Twp. 01
Berks,Centre Twp. 02,U.S. Senate,,Bob Casey Jr.,DEM,283.0,,,Berks County,Centre Twp. 02
Berks,Colebrookdale  01,U.S. Senate,,Bob Casey Jr.,DEM,515.0,,,Berks County,Colebrookdale  01
