county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Blair,ALTOONA 1-1,Straight Party,,,DEMOCRATIC,90,85.0,5.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Straight Party,,,REPUBLICAN,109,105.0,4.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Straight Party,,,GREEN,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Straight Party,,,LIBERTARIAN,2,2.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Straight Party,,,Over Votes,0,0.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Straight Party,,,Under Votes,94,88.0,6.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. Senate,,DEM,"BOB CASEY, JR",142,134.0,8.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. Senate,,REP,LOU BARLETTA,137,130.0,7.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. Senate,,GRN,NEAL GALE,5,5.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. Senate,,LIB,"DALE R KEARNS, JR",4,4.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. Senate,,,Over Votes,0,0.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. Senate,,,Under Votes,8,8.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,TOM WOLF,DEM,142,134.0,8.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,SCOTT R WAGNER,REP,142,136.0,6.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,PAUL GLOVER,GRE,2,2.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,KEN V KRAWCHUK,LIB,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,DONOVAN C JENKINS (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,Governor,,Under Votes,,8,7.0,1.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,BRENT OTTAWAY,DEM,133,126.0,7.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,JOHN JOYCE,REP,151,143.0,8.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,MITCHELL RHINEHART (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,BOB GATTRELL (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,JESS KING (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,U.S. House,13.0,Under Votes,,9,9.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State Senate,30.0,EMILY BEST,DEM,133,126.0,7.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State Senate,30.0,JUDY WARD,REP,156,149.0,7.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State Senate,30.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State Senate,30.0,Under Votes,,7,6.0,1.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State House,79.0,LOU SCHMITT,REP,189,180.0,9.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State House,79.0,JON ESWORTHY (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State House,79.0,JOHN JOYCE (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State House,79.0,JAMEY SLEESMAN (W),,1,1.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State House,79.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 1-1,State House,79.0,Under Votes,,104,98.0,6.0,Blair County,ALTOONA 1-1
Blair,ALTOONA 2-1,U.S. Senate,,"BOB CASEY, JR",DEM,70,69.0,1.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. Senate,,LOU BARLETTA,REP,65,62.0,3.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. Senate,,NEAL GALE,GRN,0,0.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. Senate,,"DALE R KEARNS, JR",LIB,2,2.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. Senate,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. Senate,,Under Votes,,3,3.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,Governor,,TOM WOLF,DEM,64,63.0,1.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,Governor,,SCOTT R WAGNER,REP,68,65.0,3.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,Governor,,PAUL GLOVER,GRE,1,1.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,Governor,,KEN V KRAWCHUK,LIB,2,2.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,Governor,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,Governor,,Under Votes,,5,5.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. House,13.0,BRENT OTTAWAY,DEM,59,58.0,1.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. House,13.0,JOHN JOYCE,REP,74,71.0,3.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. House,13.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,U.S. House,13.0,Under Votes,,7,7.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State Senate,30.0,EMILY BEST,DEM,60,59.0,1.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State Senate,30.0,JUDY WARD,REP,72,69.0,3.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State Senate,30.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State Senate,30.0,Under Votes,,8,8.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,LOU SCHMITT,REP,96,93.0,3.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,LAURA BURKE (W),,1,1.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,TIMOTHY BAKER (W),,1,1.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,JOHN BLOUGH (W),,2,2.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,BRIDGETTE JACKSON (W),,1,1.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,JOSEPH C PRICE (W),,1,1.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-1,State House,79.0,Under Votes,,38,37.0,1.0,Blair County,ALTOONA 2-1
Blair,ALTOONA 2-2,U.S. Senate,,"BOB CASEY, JR",DEM,122,121.0,1.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. Senate,,LOU BARLETTA,REP,212,205.0,7.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. Senate,,NEAL GALE,GRN,6,6.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. Senate,,"DALE R KEARNS, JR",LIB,3,3.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. Senate,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. Senate,,Under Votes,,10,10.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,Governor,,TOM WOLF,DEM,133,131.0,2.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,Governor,,SCOTT R WAGNER,REP,212,206.0,6.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,Governor,,PAUL GLOVER,GRE,2,2.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,Governor,,KEN V KRAWCHUK,LIB,3,3.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,Governor,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,Governor,,Under Votes,,3,3.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. House,13.0,BRENT OTTAWAY,DEM,111,110.0,1.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. House,13.0,JOHN JOYCE,REP,238,231.0,7.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. House,13.0,ART HALVORSON (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. House,13.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,U.S. House,13.0,Under Votes,,3,3.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State Senate,30.0,EMILY BEST,DEM,117,115.0,2.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State Senate,30.0,JUDY WARD,REP,229,223.0,6.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State Senate,30.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State Senate,30.0,Under Votes,,7,7.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,LOU SCHMITT,REP,285,278.0,7.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,JASON RUNK (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,MICHELLE FOGAL (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,DONALD MCCLELLAN (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,ROBERT DE NIRO (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,RICK SANCHEZ (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,SISU SETTLE (W),,1,1.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 2-2,State House,79.0,Under Votes,,62,61.0,1.0,Blair County,ALTOONA 2-2
Blair,ALTOONA 3-1,U.S. Senate,,"BOB CASEY, JR",DEM,142,138.0,4.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. Senate,,LOU BARLETTA,REP,108,106.0,2.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. Senate,,NEAL GALE,GRN,2,2.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. Senate,,"DALE R KEARNS, JR",LIB,3,3.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. Senate,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. Senate,,Under Votes,,6,6.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,Governor,,TOM WOLF,DEM,130,126.0,4.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,Governor,,SCOTT R WAGNER,REP,121,119.0,2.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,Governor,,PAUL GLOVER,GRE,1,1.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,Governor,,KEN V KRAWCHUK,LIB,4,4.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,Governor,,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,Governor,,Under Votes,,5,5.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. House,13.0,BRENT OTTAWAY,DEM,114,110.0,4.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. House,13.0,JOHN JOYCE,REP,138,136.0,2.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. House,13.0,JOHN EICHELBERGER (W),,1,1.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. House,13.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,U.S. House,13.0,Under Votes,,8,8.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State Senate,30.0,EMILY BEST,DEM,125,121.0,4.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State Senate,30.0,JUDY WARD,REP,131,129.0,2.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State Senate,30.0,Over Votes,,0,0.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State Senate,30.0,Under Votes,,5,5.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State House,79.0,LOU SCHMITT,REP,173,170.0,3.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State House,79.0,EMILY BEST (W),,1,1.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State House,79.0,RAYMOND EDWARDS (W),,1,1.0,0.0,Blair County,ALTOONA 3-1
Blair,ALTOONA 3-1,State House,79.0,TERRANCE GARNER (W),,1,1.0,0.0,Blair County,ALTOONA 3-1
