county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Bradford,ALBA BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,11.0,11.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. Senate,,Lou Barletta,REP,39.0,39.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. Senate,,Neal Gale,GRN,0.0,0.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. Senate,,Dale R Kerns Jr,LIB,1.0,1.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. Senate,,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,Governor,,Wolf/Fetterman,DEM,11.0,11.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,Governor,,Wagner/Bartos,REP,38.0,38.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,Governor,,Glover/Bostick,GRN,1.0,1.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,Governor,,Krawchuk /Smith,LIB,1.0,1.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,Governor,,Write In Votes,,1.0,1.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. House,12.0,Marc Friedenberg,DEM,6.0,6.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. House,12.0,Tom Marino,REP,46.0,46.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,U.S. House,12.0,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,State House,68.0,Carrie Heath,DEM,6.0,6.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,State House,68.0,Clint Owlet,REP,46.0,46.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,State House,68.0,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,State House,110.0,Donna Iannone,DEM,,,,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,State House,110.0,Tina Pickett,REP,,,,Bradford County,ALBA BOROUGH
Bradford,ALBA BOROUGH,State House,110.0,Write In Votes,,,,,Bradford County,ALBA BOROUGH
Bradford,ALBANY TOWNSHIP,U.S. Senate,,Bob Casey Jr,DEM,98.0,96.0,2.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. Senate,,Lou Barletta,REP,219.0,209.0,10.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. Senate,,Neal Gale,GRN,5.0,4.0,1.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. Senate,,Dale R Kerns Jr,LIB,0.0,0.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. Senate,,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,Governor,,Wolf/Fetterman,DEM,87.0,83.0,4.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,Governor,,Wagner/Bartos,REP,233.0,224.0,9.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,Governor,,Glover/Bostick,GRN,3.0,3.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,Governor,,Krawchuk /Smith,LIB,3.0,3.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,Governor,,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. House,12.0,Marc Friedenberg,DEM,90.0,86.0,4.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. House,12.0,Tom Marino,REP,235.0,226.0,9.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,U.S. House,12.0,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,State House,68.0,Carrie Heath,DEM,,,,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,State House,68.0,Clint Owlet,REP,,,,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,State House,68.0,Write In Votes,,,,,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,State House,110.0,Donna Iannone,DEM,99.0,95.0,4.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,State House,110.0,Tina Pickett,REP,229.0,220.0,9.0,Bradford County,ALBANY TOWNSHIP
Bradford,ALBANY TOWNSHIP,State House,110.0,Write In Votes,,0.0,0.0,0.0,Bradford County,ALBANY TOWNSHIP
Bradford,ARMENIA TOWNSHIP,U.S. Senate,,Bob Casey Jr,DEM,14.0,14.0,0.0,Bradford County,ARMENIA TOWNSHIP
Bradford,ARMENIA TOWNSHIP,U.S. Senate,,Lou Barletta,REP,64.0,64.0,0.0,Bradford County,ARMENIA TOWNSHIP
Bradford,ARMENIA TOWNSHIP,U.S. Senate,,Neal Gale,GRN,1.0,1.0,0.0,Bradford County,ARMENIA TOWNSHIP
Bradford,ARMENIA TOWNSHIP,U.S. Senate,,Dale R Kerns Jr,LIB,0.0,0.0,0.0,Bradford County,ARMENIA TOWNSHIP
