county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Bucks,Bedminster Twp East,U.S. Senate,,"Casey, Jr., Bob",Democratic,864,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,U.S. Senate,,"Barletta, Lou",Republican,976,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,U.S. Senate,,"Gale, Neal",Green,8,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,U.S. Senate,,"Kerns, Jr., Dale R.",Libertarian,20,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,Governor,,"Wolf, Tom",Democratic,913,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,Governor,,"Wagner, Scott R.",Republican,931,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,Governor,,"Glover, Paul",Green,12,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,Governor,,"Krawchuk, Ken V.",Libertarian,10,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,U.S. House,1.0,"Wallace, Scott",Democratic,738,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,U.S. House,1.0,"Fitzpatrick, Brian",Republican,1129,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,State Senate,10.0,"Santarsiero, Steve",Democratic,716,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,State Senate,10.0,"Quinn, Marguerite",Republican,1149,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,State House,143.0,"Ullman, Wendy",Democratic,783,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp East,State House,143.0,"Flood, Joe",Republican,1075,,,Bucks County,Bedminster Twp East
Bucks,Bedminster Twp West,U.S. Senate,,"Casey, Jr., Bob",Democratic,836,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,U.S. Senate,,"Barletta, Lou",Republican,907,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,U.S. Senate,,"Gale, Neal",Green,12,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,U.S. Senate,,"Kerns, Jr., Dale R.",Libertarian,12,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,Governor,,"Wolf, Tom",Democratic,876,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,Governor,,"Wagner, Scott R.",Republican,864,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,Governor,,"Glover, Paul",Green,12,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,Governor,,"Krawchuk, Ken V.",Libertarian,16,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,U.S. House,1.0,"Wallace, Scott",Democratic,744,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,U.S. House,1.0,"Fitzpatrick, Brian",Republican,1017,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,State Senate,10.0,"Santarsiero, Steve",Democratic,721,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,State Senate,10.0,"Quinn, Marguerite",Republican,1040,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,State House,143.0,"Ullman, Wendy",Democratic,773,,,Bucks County,Bedminster Twp West
Bucks,Bedminster Twp West,State House,143.0,"Flood, Joe",Republican,982,,,Bucks County,Bedminster Twp West
Bucks,Bensalem Twp Lower East 1,U.S. Senate,,"Casey, Jr., Bob",Democratic,753,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,U.S. Senate,,"Barletta, Lou",Republican,380,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,U.S. Senate,,"Gale, Neal",Green,5,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,U.S. Senate,,"Kerns, Jr., Dale R.",Libertarian,6,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,Governor,,"Wolf, Tom",Democratic,779,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,Governor,,"Wagner, Scott R.",Republican,355,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,Governor,,"Glover, Paul",Green,0,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,Governor,,"Krawchuk, Ken V.",Libertarian,8,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,U.S. House,1.0,"Wallace, Scott",Democratic,649,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,U.S. House,1.0,"Fitzpatrick, Brian",Republican,492,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,State Senate,6.0,"Davis, Tina",Democratic,648,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,State Senate,6.0,"Tomlinson, Robert Tommy",Republican,496,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,State House,18.0,"Lamb, Jimmy",Democratic,569,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 1,State House,18.0,"DiGirolamo, Gene",Republican,575,,,Bucks County,Bensalem Twp Lower East 1
Bucks,Bensalem Twp Lower East 2,U.S. Senate,,"Casey, Jr., Bob",Democratic,664,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,U.S. Senate,,"Barletta, Lou",Republican,392,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,U.S. Senate,,"Gale, Neal",Green,6,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,U.S. Senate,,"Kerns, Jr., Dale R.",Libertarian,11,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,Governor,,"Wolf, Tom",Democratic,677,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,Governor,,"Wagner, Scott R.",Republican,371,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,Governor,,"Glover, Paul",Green,6,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,Governor,,"Krawchuk, Ken V.",Libertarian,13,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,U.S. House,1.0,"Wallace, Scott",Democratic,557,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,U.S. House,1.0,"Fitzpatrick, Brian",Republican,510,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,State Senate,6.0,"Davis, Tina",Democratic,560,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,State Senate,6.0,"Tomlinson, Robert Tommy",Republican,512,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,State House,18.0,"Lamb, Jimmy",Democratic,491,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 2,State House,18.0,"DiGirolamo, Gene",Republican,585,,,Bucks County,Bensalem Twp Lower East 2
Bucks,Bensalem Twp Lower East 3,U.S. Senate,,"Casey, Jr., Bob",Democratic,599,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,U.S. Senate,,"Barletta, Lou",Republican,342,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,U.S. Senate,,"Gale, Neal",Green,4,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,U.S. Senate,,"Kerns, Jr., Dale R.",Libertarian,9,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,Governor,,"Wolf, Tom",Democratic,623,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,Governor,,"Wagner, Scott R.",Republican,322,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,Governor,,"Glover, Paul",Green,1,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,Governor,,"Krawchuk, Ken V.",Libertarian,8,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,U.S. House,1.0,"Wallace, Scott",Democratic,514,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,U.S. House,1.0,"Fitzpatrick, Brian",Republican,437,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,State Senate,6.0,"Davis, Tina",Democratic,516,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,State Senate,6.0,"Tomlinson, Robert Tommy",Republican,439,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,State House,18.0,"Lamb, Jimmy",Democratic,468,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 3,State House,18.0,"DiGirolamo, Gene",Republican,479,,,Bucks County,Bensalem Twp Lower East 3
Bucks,Bensalem Twp Lower East 4,U.S. Senate,,"Casey, Jr., Bob",Democratic,334,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,U.S. Senate,,"Barletta, Lou",Republican,126,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,U.S. Senate,,"Gale, Neal",Green,5,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,U.S. Senate,,"Kerns, Jr., Dale R.",Libertarian,1,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,Governor,,"Wolf, Tom",Democratic,334,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,Governor,,"Wagner, Scott R.",Republican,126,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,Governor,,"Glover, Paul",Green,0,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,Governor,,"Krawchuk, Ken V.",Libertarian,5,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,U.S. House,1.0,"Wallace, Scott",Democratic,303,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,U.S. House,1.0,"Fitzpatrick, Brian",Republican,162,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,State Senate,6.0,"Davis, Tina",Democratic,308,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,State Senate,6.0,"Tomlinson, Robert Tommy",Republican,158,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,State House,18.0,"Lamb, Jimmy",Democratic,290,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 4,State House,18.0,"DiGirolamo, Gene",Republican,173,,,Bucks County,Bensalem Twp Lower East 4
Bucks,Bensalem Twp Lower East 5,U.S. Senate,,"Casey, Jr., Bob",Democratic,743,,,Bucks County,Bensalem Twp Lower East 5
Bucks,Bensalem Twp Lower East 5,U.S. Senate,,"Barletta, Lou",Republican,646,,,Bucks County,Bensalem Twp Lower East 5
Bucks,Bensalem Twp Lower East 5,U.S. Senate,,"Gale, Neal",Green,10,,,Bucks County,Bensalem Twp Lower East 5
