county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,"BOB CASEY, JR",DEM,1047.0,996.0,50.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,LOU BARLETTA,REP,1369.0,1297.0,72.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,NEAL GALE,GRN,6.0,6.0,0.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,"DALE R KERNS, JR",LIB,15.0,15.0,0.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. Senate,,Write-ins,,1.0,1.0,0.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,RON DINICOLA,DEM,947.0,903.0,43.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,MIKE KELLY,REP,1473.0,1396.0,77.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,EBERT G BILL BEEMAN,LIB,23.0,21.0,2.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,U.S. House,16.0,Write-ins,,0.0,0.0,0.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,"DANIEL B SMITH, JR",DEM,1105.0,1057.0,47.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,DARYL METCALFE,REP,1319.0,1244.0,75.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0001 ADAMS TOWNSHIP 1,State House,12.0,Write-ins,,2.0,2.0,0.0,Butler County,0001 ADAMS TOWNSHIP 1
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,"BOB CASEY, JR",DEM,702.0,631.0,70.0,Butler County,0002 ADAMS TOWNSHIP 2
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,LOU BARLETTA,REP,1212.0,1106.0,101.0,Butler County,0002 ADAMS TOWNSHIP 2
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,NEAL GALE,GRN,5.0,5.0,0.0,Butler County,0002 ADAMS TOWNSHIP 2
Butler,0002 ADAMS TOWNSHIP 2,U.S. Senate,,"DALE R KERNS, JR",LIB,21.0,20.0,1.0,Butler County,0002 ADAMS TOWNSHIP 2
