county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Cambria,Adams Twp 1,U.S. Senate,,Bob Casey,DEM,262,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. Senate,,Lou Barletta,REP,399,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. Senate,,Neal Gale,GR,1,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. Senate,,"Dale R. Kerns, Jr. ",LIB,5,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. Senate,,Write In,,0,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,Governor,,Tom Wolf,DEM,278,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,Governor,,Scott R. Wagner,REP,387,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,Governor,,Paul Glover,GR,4,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,Governor,,Ken V. Krawchuk,LIB,3,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,Governor,,Write In,,0,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. House,13.0,Brent Ottaway,DEM,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. House,13.0,John Joyce,REP,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. House,13.0,Write In,,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. House,15.0,Susan Boser,DEM,212,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. House,15.0,Glenn Gt Thompson,REP,458,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,U.S. House,15.0,Write In,,0,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,71.0,Bryan Barbin,DEM,299,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,71.0,Jim Rigby,REP,370,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,71.0,Write In,,2,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,72.0,Frank Burns,DEM,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,72.0,Jerry Carnicella,REP,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,72.0,Write In,,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,73.0,Tommy Sankey,DEM/REP,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp 1,State House,73.0,Write In,,,,,Cambria County,Adams Twp 1
Cambria,Adams Twp-Dunlo,U.S. Senate,,Bob Casey,DEM,134,,,Cambria County,Adams Twp-Dunlo
Cambria,Adams Twp-Dunlo,U.S. Senate,,Lou Barletta,REP,163,,,Cambria County,Adams Twp-Dunlo
Cambria,Adams Twp-Dunlo,U.S. Senate,,Neal Gale,GR,1,,,Cambria County,Adams Twp-Dunlo
Cambria,Adams Twp-Dunlo,U.S. Senate,,"Dale R. Kerns, Jr. ",LIB,4,,,Cambria County,Adams Twp-Dunlo
Cambria,Adams Twp-Dunlo,U.S. Senate,,Write In,,0,,,Cambria County,Adams Twp-Dunlo
