county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Carbon,4 Banks Twp,U.S. Senate,,"Bob Casey, Jr.",DEM,132,125.0,7.0,Carbon County,4 Banks Twp
Carbon,5 Beaver Meadows Borough,U.S. Senate,,"Bob Casey, Jr.",DEM,83,77.0,6.0,Carbon County,5 Beaver Meadows Borough
Carbon,6 Bowmanstown Borough,U.S. Senate,,"Bob Casey, Jr.",DEM,123,121.0,2.0,Carbon County,6 Bowmanstown Borough
Carbon,7 Fast Penn Twp-South,U.S. Senate,,"Bob Casey, Jr.",DEM,165,163.0,2.0,Carbon County,7 Fast Penn Twp-South
Carbon,8 East Penn Twp-North,U.S. Senate,,"Bob Casey, Jr.",DEM,204,196.0,8.0,Carbon County,8 East Penn Twp-North
Carbon,10 East Side Borough,U.S. Senate,,"Bob Casey, Jr.",DEM,31,25.0,6.0,Carbon County,10 East Side Borough
Carbon,II Franklin Twp-Independent,U.S. Senate,,"Bob Casey, Jr.",DEM,135,133.0,2.0,Carbon County,II Franklin Twp-Independent
Carbon,12 Franklin Twp-Harrity,U.S. Senate,,"Bob Casey, Jr.",DEM,242,233.0,9.0,Carbon County,12 Franklin Twp-Harrity
Carbon,13 Franklin Twp-Long Run,U.S. Senate,,"Bob Casey, Jr.",DEM,163,159.0,4.0,Carbon County,13 Franklin Twp-Long Run
Carbon,14 Jim Thorpe Borough-First Ward,U.S. Senate,,"Bob Casey, Jr.",DEM,206,198.0,8.0,Carbon County,14 Jim Thorpe Borough-First Ward
Carbon,15 Jim Thorpe Borough-Second Ward,U.S. Senate,,"Bob Casey, Jr.",DEM,114,107.0,7.0,Carbon County,15 Jim Thorpe Borough-Second Ward
Carbon,16 Jim Thorpe Borough-Third Ward,U.S. Senate,,"Bob Casey, Jr.",DEM,241,225.0,16.0,Carbon County,16 Jim Thorpe Borough-Third Ward
