county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Centre,1,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,201,,,Centre County,1
Centre,1,U.S. Senate,,LOU BARLETTA,REPUBLICAN,145,,,Centre County,1
Centre,1,U.S. Senate,,NEAL GALE,GREEN,5,,,Centre County,1
Centre,1,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,4,,,Centre County,1
Centre,1,U.S. Senate,,WRITE-IN,,0,,,Centre County,1
Centre,1,Governor,,TOM WOLF,DEMOCRATIC,206,,,Centre County,1
Centre,1,Governor,,SCOTT R WAGNER,REPUBLICAN,140,,,Centre County,1
Centre,1,Governor,,PAUL GLOVER,GREEN,4,,,Centre County,1
Centre,1,Governor,,KEN V KRAWCHUK,LIBERTARIAN,5,,,Centre County,1
Centre,1,Governor,,WRITE-IN,,0,,,Centre County,1
Centre,1,U.S. House,15.0,SUSAN BOSER,DEMOCRATIC,185,,,Centre County,1
Centre,1,U.S. House,15.0,GLENN GT THOMPSON,REPUBLICAN,171,,,Centre County,1
Centre,1,U.S. House,15.0,WRITE-IN,,0,,,Centre County,1
Centre,1,State Senate,34.0,EZRA NANES,DEMOCRATIC,182,,,Centre County,1
Centre,1,State Senate,34.0,JACOB D CORMAN III,REPUBLICAN,171,,,Centre County,1
Centre,1,State Senate,34.0,WRITE-IN,,2,,,Centre County,1
Centre,1,State House,171.0,ERIN MCCRACKEN,DEMOCRATIC,161,,,Centre County,1
Centre,1,State House,171.0,KERRY A BENNINGHOFF,REPUBLICAN,194,,,Centre County,1
Centre,1,State House,171.0,WRITE-IN,,0,,,Centre County,1
Centre,2,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,308,,,Centre County,2
Centre,2,U.S. Senate,,LOU BARLETTA,REPUBLICAN,309,,,Centre County,2
Centre,2,U.S. Senate,,NEAL GALE,GREEN,5,,,Centre County,2
Centre,2,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,11,,,Centre County,2
Centre,2,U.S. Senate,,WRITE-IN,,0,,,Centre County,2
Centre,2,Governor,,TOM WOLF,DEMOCRATIC,325,,,Centre County,2
Centre,2,Governor,,SCOTT R WAGNER,REPUBLICAN,287,,,Centre County,2
Centre,2,Governor,,PAUL GLOVER,GREEN,6,,,Centre County,2
Centre,2,Governor,,KEN V KRAWCHUK,LIBERTARIAN,15,,,Centre County,2
Centre,2,Governor,,WRITE-IN,,0,,,Centre County,2
Centre,2,U.S. House,15.0,SUSAN BOSER,DEMOCRATIC,265,,,Centre County,2
Centre,2,U.S. House,15.0,GLENN GT THOMPSON,REPUBLICAN,370,,,Centre County,2
Centre,2,U.S. House,15.0,WRITE-IN,,0,,,Centre County,2
Centre,2,State Senate,34.0,EZRA NANES,DEMOCRATIC,265,,,Centre County,2
Centre,2,State Senate,34.0,JACOB D CORMAN III,REPUBLICAN,366,,,Centre County,2
Centre,2,State Senate,34.0,WRITE-IN,,0,,,Centre County,2
Centre,2,State House,171.0,ERIN MCCRACKEN,DEMOCRATIC,234,,,Centre County,2
Centre,2,State House,171.0,KERRY A BENNINGHOFF,REPUBLICAN,399,,,Centre County,2
Centre,2,State House,171.0,WRITE-IN,,1,,,Centre County,2
Centre,3,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,222,,,Centre County,3
Centre,3,U.S. Senate,,LOU BARLETTA,REPUBLICAN,127,,,Centre County,3
Centre,3,U.S. Senate,,NEAL GALE,GREEN,5,,,Centre County,3
Centre,3,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,8,,,Centre County,3
Centre,3,U.S. Senate,,WRITE-IN,,1,,,Centre County,3
Centre,3,Governor,,TOM WOLF,DEMOCRATIC,214,,,Centre County,3
Centre,3,Governor,,SCOTT R WAGNER,REPUBLICAN,129,,,Centre County,3
Centre,3,Governor,,PAUL GLOVER,GREEN,6,,,Centre County,3
Centre,3,Governor,,KEN V KRAWCHUK,LIBERTARIAN,12,,,Centre County,3
Centre,3,Governor,,WRITE-IN,,0,,,Centre County,3
Centre,3,U.S. House,15.0,SUSAN BOSER,DEMOCRATIC,196,,,Centre County,3
Centre,3,U.S. House,15.0,GLENN GT THOMPSON,REPUBLICAN,164,,,Centre County,3
Centre,3,U.S. House,15.0,WRITE-IN,,0,,,Centre County,3
Centre,3,State Senate,34.0,EZRA NANES,DEMOCRATIC,195,,,Centre County,3
Centre,3,State Senate,34.0,JACOB D CORMAN III,REPUBLICAN,159,,,Centre County,3
Centre,3,State Senate,34.0,WRITE-IN,,2,,,Centre County,3
Centre,3,State House,171.0,ERIN MCCRACKEN,DEMOCRATIC,175,,,Centre County,3
Centre,3,State House,171.0,KERRY A BENNINGHOFF,REPUBLICAN,184,,,Centre County,3
Centre,3,State House,171.0,WRITE-IN,,0,,,Centre County,3
Centre,4,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,299,,,Centre County,4
Centre,4,U.S. Senate,,LOU BARLETTA,REPUBLICAN,303,,,Centre County,4
Centre,4,U.S. Senate,,NEAL GALE,GREEN,8,,,Centre County,4
Centre,4,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,13,,,Centre County,4
Centre,4,U.S. Senate,,WRITE-IN,,0,,,Centre County,4
Centre,4,Governor,,TOM WOLF,DEMOCRATIC,318,,,Centre County,4
Centre,4,Governor,,SCOTT R WAGNER,REPUBLICAN,288,,,Centre County,4
Centre,4,Governor,,PAUL GLOVER,GREEN,8,,,Centre County,4
Centre,4,Governor,,KEN V KRAWCHUK,LIBERTARIAN,15,,,Centre County,4
Centre,4,Governor,,WRITE-IN,,0,,,Centre County,4
Centre,4,U.S. House,15.0,SUSAN BOSER,DEMOCRATIC,266,,,Centre County,4
Centre,4,U.S. House,15.0,GLENN GT THOMPSON,REPUBLICAN,355,,,Centre County,4
Centre,4,U.S. House,15.0,WRITE-IN,,0,,,Centre County,4
Centre,4,State Senate,34.0,EZRA NANES,DEMOCRATIC,266,,,Centre County,4
Centre,4,State Senate,34.0,JACOB D CORMAN III,REPUBLICAN,363,,,Centre County,4
Centre,4,State Senate,34.0,WRITE-IN,,0,,,Centre County,4
Centre,4,State House,171.0,ERIN MCCRACKEN,DEMOCRATIC,230,,,Centre County,4
Centre,4,State House,171.0,KERRY A BENNINGHOFF,REPUBLICAN,397,,,Centre County,4
Centre,4,State House,171.0,WRITE-IN,,0,,,Centre County,4
Centre,5,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,488,,,Centre County,5
Centre,5,U.S. Senate,,LOU BARLETTA,REPUBLICAN,271,,,Centre County,5
Centre,5,U.S. Senate,,NEAL GALE,GREEN,10,,,Centre County,5
Centre,5,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,18,,,Centre County,5
Centre,5,U.S. Senate,,WRITE-IN,,3,,,Centre County,5
Centre,5,Governor,,TOM WOLF,DEMOCRATIC,502,,,Centre County,5
Centre,5,Governor,,SCOTT R WAGNER,REPUBLICAN,261,,,Centre County,5
Centre,5,Governor,,PAUL GLOVER,GREEN,7,,,Centre County,5
Centre,5,Governor,,KEN V KRAWCHUK,LIBERTARIAN,23,,,Centre County,5
Centre,5,Governor,,WRITE-IN,,0,,,Centre County,5
Centre,5,U.S. House,15.0,SUSAN BOSER,DEMOCRATIC,469,,,Centre County,5
Centre,5,U.S. House,15.0,GLENN GT THOMPSON,REPUBLICAN,325,,,Centre County,5
Centre,5,U.S. House,15.0,WRITE-IN,,1,,,Centre County,5
Centre,5,State Senate,34.0,EZRA NANES,DEMOCRATIC,461,,,Centre County,5
Centre,5,State Senate,34.0,JACOB D CORMAN III,REPUBLICAN,331,,,Centre County,5
Centre,5,State Senate,34.0,WRITE-IN,,1,,,Centre County,5
Centre,5,State House,171.0,ERIN MCCRACKEN,DEMOCRATIC,418,,,Centre County,5
Centre,5,State House,171.0,KERRY A BENNINGHOFF,REPUBLICAN,374,,,Centre County,5
Centre,5,State House,171.0,WRITE-IN,,0,,,Centre County,5
Centre,6,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,253,,,Centre County,6
Centre,6,U.S. Senate,,LOU BARLETTA,REPUBLICAN,305,,,Centre County,6
Centre,6,U.S. Senate,,NEAL GALE,GREEN,2,,,Centre County,6
Centre,6,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,12,,,Centre County,6
Centre,6,U.S. Senate,,WRITE-IN,,1,,,Centre County,6
Centre,6,Governor,,TOM WOLF,DEMOCRATIC,244,,,Centre County,6
Centre,6,Governor,,SCOTT R WAGNER,REPUBLICAN,314,,,Centre County,6
Centre,6,Governor,,PAUL GLOVER,GREEN,6,,,Centre County,6
Centre,6,Governor,,KEN V KRAWCHUK,LIBERTARIAN,8,,,Centre County,6
Centre,6,Governor,,WRITE-IN,,1,,,Centre County,6
Centre,6,U.S. House,12.0,MARC FRIEDENBERG,DEMOCRATIC,218,,,Centre County,6
Centre,6,U.S. House,12.0,TOM MARINO,REPUBLICAN,350,,,Centre County,6
Centre,6,U.S. House,12.0,WRITE-IN,,2,,,Centre County,6
Centre,6,State Senate,34.0,EZRA NANES,DEMOCRATIC,193,,,Centre County,6
Centre,6,State Senate,34.0,JACOB D CORMAN III,REPUBLICAN,379,,,Centre County,6
Centre,6,State Senate,34.0,WRITE-IN,,1,,,Centre County,6
Centre,6,State House,171.0,ERIN MCCRACKEN,DEMOCRATIC,167,,,Centre County,6
Centre,6,State House,171.0,KERRY A BENNINGHOFF,REPUBLICAN,407,,,Centre County,6
Centre,6,State House,171.0,WRITE-IN,,0,,,Centre County,6
Centre,7,U.S. Senate,,BOB CASEY JR,DEMOCRATIC,137,,,Centre County,7
Centre,7,U.S. Senate,,LOU BARLETTA,REPUBLICAN,165,,,Centre County,7
Centre,7,U.S. Senate,,NEAL GALE,GREEN,3,,,Centre County,7
Centre,7,U.S. Senate,,DALE R KERNS JR,LIBERTARIAN,6,,,Centre County,7
Centre,7,U.S. Senate,,WRITE-IN,,0,,,Centre County,7
Centre,7,Governor,,TOM WOLF,DEMOCRATIC,137,,,Centre County,7
Centre,7,Governor,,SCOTT R WAGNER,REPUBLICAN,166,,,Centre County,7
Centre,7,Governor,,PAUL GLOVER,GREEN,2,,,Centre County,7
Centre,7,Governor,,KEN V KRAWCHUK,LIBERTARIAN,3,,,Centre County,7
Centre,7,Governor,,WRITE-IN,,0,,,Centre County,7
Centre,7,U.S. House,15.0,SUSAN BOSER,DEMOCRATIC,106,,,Centre County,7
