county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Chester,0005 ATGLEN,U.S. Senate,,BOB CASEY JR,DEM,247,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. Senate,,LOU BARLETTA,REP,233,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. Senate,,NEAL GALE,GRN,3,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. Senate,,DALE R KERNS JR,LIB,7,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. Senate,,Write-ins,,0,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,Governor,,TOM WOLF,DEM,257,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,Governor,,SCOTT R WAGNER,REP,226,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,Governor,,PAUL GLOVER,GRN,2,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,Governor,,KEN V KRAWCHUK,LIB,4,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,Governor,,Write-ins,,0,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,6.0,CHRISSY HOULAHAN,DEM,248,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,6.0,GREG MCCAULEY,REP,241,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,6.0,Write-ins,,0,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,State House,13.0,SUE WALKER,DEM,201,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,State House,13.0,JOHN LAWRENCE,REP,285,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,State House,13.0,DOMINIC J PIROCCHI,LIB,3,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,State House,13.0,Write-ins,,0,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,7.0,MARY GAY SCANLON,DEM,231,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,7.0,PEARL KIM,REP,244,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,7.0,BRIANNA JOHNSTON,GRN,6,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,7.0,SANDRA TERESA SALAS,LIB,8,,,Chester County,0005 ATGLEN
Chester,0005 ATGLEN,U.S. House,7.0,Write-ins,,0,,,Chester County,0005 ATGLEN
Chester,0010 AVONDALE,U.S. Senate,,BOB CASEY JR,DEM,187,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,U.S. Senate,,LOU BARLETTA,REP,71,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,U.S. Senate,,NEAL GALE,GRN,4,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,U.S. Senate,,DALE R KERNS JR,LIB,3,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,U.S. Senate,,Write-ins,,0,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,Governor,,TOM WOLF,DEM,190,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,Governor,,SCOTT R WAGNER,REP,68,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,Governor,,PAUL GLOVER,GRN,3,,,Chester County,0010 AVONDALE
Chester,0010 AVONDALE,Governor,,KEN V KRAWCHUK,LIB,2,,,Chester County,0010 AVONDALE
