county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Clarion,1.1 Ashland Township,U.S. Senate,,Bob Casey Jr,DEM,108,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. Senate,,Lou Barletta Jr,REP,349,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. Senate,,Neal Gale,GRN,3,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. Senate,,Dale R Kerns Jr,LIB,6,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. Senate,,Write-in Votes,,0,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,Governor,,Tom Wolf,DEM,116,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,Governor,,Scott R Wagner,REP,346,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,Governor,,Paul Glover,GRN,4,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,Governor,,Ken V Krawchuk,LIB,5,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,Governor,,Write-in Votes,,0,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. House,15.0,Susan Boser,DEM,79,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. House,15.0,Glenn GT Thompson,REP,386,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,U.S. House,15.0,Write-in Votes,,0,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,State House,63.0,Conrad Warner,DEM,126,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,State House,63.0,Donna Oberlander,REP,346,,,Clarion County,1.1 Ashland Township
Clarion,1.1 Ashland Township,State House,63.0,Write-in Votes,,0,,,Clarion County,1.1 Ashland Township
Clarion,2.1 Beaver Township,U.S. Senate,,Bob Casey Jr,DEM,226,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. Senate,,Lou Barletta Jr,REP,423,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. Senate,,Neal Gale,GRN,4,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. Senate,,Dale R Kerns Jr,LIB,17,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. Senate,,Write-in Votes,,0,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,Governor,,Tom Wolf,DEM,224,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,Governor,,Scott R Wagner,REP,430,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,Governor,,Paul Glover,GRN,4,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,Governor,,Ken V Krawchuk,LIB,17,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,Governor,,Write-in Votes,,1,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. House,15.0,Susan Boser,DEM,161,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. House,15.0,Glenn GT Thompson,REP,504,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,U.S. House,15.0,Write-in Votes,,1,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,State House,63.0,Conrad Warner,DEM,200,,,Clarion County,2.1 Beaver Township
Clarion,2.1 Beaver Township,State House,63.0,Donna Oberlander,REP,477,,,Clarion County,2.1 Beaver Township
