county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Clearfield,0001 Brisbin Borough,,,Registered Voters,,239.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,,,Ballots Cast,,143.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Straight Party,,Democratic,DEM,12.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Straight Party,,Republican,REP,64.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Straight Party,,Green,GRN,0.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Straight Party,,Libertarian,LIB,0.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,United States Senator,,BOB CASEY JR,DEM,52.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,United States Senator,,LOU BARLETTA,REP,88.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,United States Senator,,NEAL GALE,GR,2.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,United States Senator,,DALE R KERNS JR,LIB,0.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,United States Senator,,Write-ins,,0.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Governor,,TOM WOLF,DEM,41.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Governor,,SCOTT R WAGNER,REP,99.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Governor,,PAUL GLOVER,GRN,0.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Governor,,KEN V KRAWCHUK,LIB,1.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,Governor,,Write-ins,,1.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,U.S. House,15.0,SUSAN BOSER,DEM,28.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,U.S. House,15.0,GLENN GT THOMPSON,REP,114.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,U.S. House,15.0,Write-ins,,0.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,State House,73.0,TOMMY SANKEY,REP,138.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0001 Brisbin Borough,State House,73.0,Write-ins,,1.0,,,Clearfield County,0001 Brisbin Borough
Clearfield,0002 Burnside Borough,,,Registered Voters,,110.0,,,Clearfield County,0002 Burnside Borough
Clearfield,0002 Burnside Borough,,,Ballots Cast,,53.0,,,Clearfield County,0002 Burnside Borough
Clearfield,0002 Burnside Borough,Straight Party,,Democratic,DEM,13.0,,,Clearfield County,0002 Burnside Borough
Clearfield,0002 Burnside Borough,Straight Party,,Republican,REP,23.0,,,Clearfield County,0002 Burnside Borough
Clearfield,0002 Burnside Borough,Straight Party,,Green,GRN,0.0,,,Clearfield County,0002 Burnside Borough
