county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Clinton,0001 ALLISON TOWNSHIP,,,Registered Voters,,148.0,,,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,,,Ballots Cast,,92.0,90.0,2.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,DEMOCRATIC,DEM,15.0,14.0,1.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,REPUBLICAN,REP,30.0,30.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,GREEN PARTY,GRN,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,STRAIGHT PARTY,,LIBERTARIAN,LIB,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,BOB CASEY JR,DEM,41.0,38.0,1.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,53.0,52.0,1.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,DALE R KERNS JR,LIB,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. Senate,,Write-ins,,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,Governor,,TOM WOLF AND JOHN FETTERMAN,DEM,43.0,39.0,2.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,Governor,,SCOTT R WAGNER AND JEFF BARTOS,REP,51.0,51.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,Governor,,PAUL GLOVER,GRN,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,Governor,,Write-ins,,0.0,0.0,0.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12.0,MARC FRIEDENBERG,DEM,33.0,30.0,1.0,Clinton County,0001 ALLISON TOWNSHIP
Clinton,0001 ALLISON TOWNSHIP,U.S. House,12.0,TOM MARINO,REP,61.0,60.0,1.0,Clinton County,0001 ALLISON TOWNSHIP
