county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Columbia,Beaver Township,U.S. Senate,,Bob Casey Jr.,DEM,102.0,,,Columbia County,Beaver Township
Columbia,Benton Township,U.S. Senate,,Bob Casey Jr.,DEM,156.0,,,Columbia County,Benton Township
Columbia,Benton Borough,U.S. Senate,,Bob Casey Jr.,DEM,89.0,,,Columbia County,Benton Borough
Columbia,Berwick 1st Ward,U.S. Senate,,Bob Casey Jr.,DEM,370.0,,,Columbia County,Berwick 1st Ward
Columbia,Berwick 2nd Ward,U.S. Senate,,Bob Casey Jr.,DEM,140.0,,,Columbia County,Berwick 2nd Ward
Columbia,Berwick 3rd Ward,U.S. Senate,,Bob Casey Jr.,DEM,205.0,,,Columbia County,Berwick 3rd Ward
Columbia,Berwick 4th Ward,U.S. Senate,,Bob Casey Jr.,DEM,314.0,,,Columbia County,Berwick 4th Ward
Columbia,Bloomsburg 1st Ward,U.S. Senate,,Bob Casey Jr.,DEM,242.0,,,Columbia County,Bloomsburg 1st Ward
Columbia,Bloomsburg 2nd Ward,U.S. Senate,,Bob Casey Jr.,DEM,374.0,,,Columbia County,Bloomsburg 2nd Ward
Columbia,Bloomsburg 3-1 Ward,U.S. Senate,,Bob Casey Jr.,DEM,531.0,,,Columbia County,Bloomsburg 3-1 Ward
Columbia,Bloomsburg 3-2 Ward,U.S. Senate,,Bob Casey Jr.,DEM,518.0,,,Columbia County,Bloomsburg 3-2 Ward
Columbia,Bloomsburg 4th Ward,U.S. Senate,,Bob Casey Jr.,DEM,405.0,,,Columbia County,Bloomsburg 4th Ward
Columbia,BriarCreek Twp. NE,U.S. Senate,,Bob Casey Jr.,DEM,163.0,,,Columbia County,BriarCreek Twp. NE
Columbia,BriarCreek Twp. W,U.S. Senate,,Bob Casey Jr.,DEM,174.0,,,Columbia County,BriarCreek Twp. W
Columbia,BriarCreek Borough,U.S. Senate,,Bob Casey Jr.,DEM,49.0,,,Columbia County,BriarCreek Borough
Columbia,Catawissa Township,U.S. Senate,,Bob Casey Jr.,DEM,121.0,,,Columbia County,Catawissa Township
Columbia,Catawissa Borough,U.S. Senate,,Bob Casey Jr.,DEM,182.0,,,Columbia County,Catawissa Borough
Columbia,Centralia Borough,U.S. Senate,,Bob Casey Jr.,DEM,0.0,,,Columbia County,Centralia Borough
Columbia,Cleveland Township,U.S. Senate,,Bob Casey Jr.,DEM,141.0,,,Columbia County,Cleveland Township
Columbia,Conyngham Township,U.S. Senate,,Bob Casey Jr.,DEM,82.0,,,Columbia County,Conyngham Township
Columbia,FishingCreek Twp.,U.S. Senate,,Bob Casey Jr.,DEM,194.0,,,Columbia County,FishingCreek Twp.
Columbia,Franklin Township,U.S. Senate,,Bob Casey Jr.,DEM,84.0,,,Columbia County,Franklin Township
Columbia,Greenwood Township,U.S. Senate,,Bob Casey Jr.,DEM,217.0,,,Columbia County,Greenwood Township
Columbia,Hemlock Township,U.S. Senate,,Bob Casey Jr.,DEM,397.0,,,Columbia County,Hemlock Township
Columbia,Jackson township,U.S. Senate,,Bob Casey Jr.,DEM,57.0,,,Columbia County,Jackson township
Columbia,Locust Township,U.S. Senate,,Bob Casey Jr.,DEM,205.0,,,Columbia County,Locust Township
Columbia,Madison Township,U.S. Senate,,Bob Casey Jr.,DEM,208.0,,,Columbia County,Madison Township
Columbia,Main Township,U.S. Senate,,Bob Casey Jr.,DEM,228.0,,,Columbia County,Main Township
Columbia,Mifflin Township,U.S. Senate,,Bob Casey Jr.,DEM,282.0,,,Columbia County,Mifflin Township
Columbia,Millville Borough,U.S. Senate,,Bob Casey Jr.,DEM,130.0,,,Columbia County,Millville Borough
Columbia,Montour Township,U.S. Senate,,Bob Casey Jr.,DEM,174.0,,,Columbia County,Montour Township
Columbia,Mount Pleasant Twp.,U.S. Senate,,Bob Casey Jr.,DEM,213.0,,,Columbia County,Mount Pleasant Twp.
Columbia,North Centre Twp.,U.S. Senate,,Bob Casey Jr.,DEM,227.0,,,Columbia County,North Centre Twp.
Columbia,Orange Township,U.S. Senate,,Bob Casey Jr.,DEM,230.0,,,Columbia County,Orange Township
Columbia,Orangeville Borough,U.S. Senate,,Bob Casey Jr.,DEM,54.0,,,Columbia County,Orangeville Borough
Columbia,Pine Township,U.S. Senate,,Bob Casey Jr.,DEM,105.0,,,Columbia County,Pine Township
Columbia,RoaringCreek Twp.,U.S. Senate,,Bob Casey Jr.,DEM,68.0,,,Columbia County,RoaringCreek Twp.
Columbia,Scott Township East,U.S. Senate,,Bob Casey Jr.,DEM,583.0,,,Columbia County,Scott Township East
Columbia,Scott Township West,U.S. Senate,,Bob Casey Jr.,DEM,497.0,,,Columbia County,Scott Township West
Columbia,South Centre Twp.,U.S. Senate,,Bob Casey Jr.,DEM,204.0,,,Columbia County,South Centre Twp.
Columbia,Stillwater Boro,U.S. Senate,,Bob Casey Jr.,DEM,30.0,,,Columbia County,Stillwater Boro
Columbia,Sugarloaf Township,U.S. Senate,,Bob Casey Jr.,DEM,92.0,,,Columbia County,Sugarloaf Township
Columbia,Beaver Township,U.S. Senate,,Lou Barletta,REP,276.0,,,Columbia County,Beaver Township
Columbia,Benton Township,U.S. Senate,,Lou Barletta,REP,367.0,,,Columbia County,Benton Township
Columbia,Benton Borough,U.S. Senate,,Lou Barletta,REP,179.0,,,Columbia County,Benton Borough
