county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Crawford,Athens Twp,U.S. Senate,,BOB CASEY JR,DEM,49.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,U.S. Senate,,LOU BARLETTA,REP,206.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,U.S. Senate,,NEAL GALE,GRN,2.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,U.S. Senate,,DALE KERNS JR,LIB,0.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,44.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,215.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,Governor,,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,GRN,2.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,Governor,,KEN V. KRAWCHUK/K. S. SMITH,LIB,0.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,U.S. House,16.0,RON DI NICOLA,DEM,44.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,U.S. House,16.0,MIKE KELLY,REP,214.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,U.S. House,16.0,EBERT G. BILL BEEMAN,LIB,4.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,State Senate,50.0,SUE MULVEY,DEM,30.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,State Senate,50.0,MICHELE BROOKS,REP,232.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,State House,65.0,KATHY L RAPP,REP,243.0,,,Crawford County,Athens Twp
Crawford,Athens Twp,State House,65.0,Write-ins,,2.0,,,Crawford County,Athens Twp
Crawford,Beaver Twp,U.S. Senate,,BOB CASEY JR,DEM,86.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. Senate,,LOU BARLETTA,REP,153.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. Senate,,NEAL GALE,GRN,2.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. Senate,,DALE KERNS JR,LIB,2.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,85.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,154.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,Governor,,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,GRN,2.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,Governor,,KEN V. KRAWCHUK/K. S. SMITH,LIB,2.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. House,16.0,RON DI NICOLA,DEM,91.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. House,16.0,MIKE KELLY,REP,147.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. House,16.0,EBERT G. BILL BEEMAN,LIB,5.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,U.S. House,16.0,Write-ins,,1.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,State Senate,50.0,SUE MULVEY,DEM,68.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,State Senate,50.0,MICHELE BROOKS,REP,177.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,State House,17.0,PARKE WENTLING,REP,202.0,,,Crawford County,Beaver Twp
Crawford,Beaver Twp,State House,17.0,Write-ins,,4.0,,,Crawford County,Beaver Twp
Crawford,Bloomfield Twp,U.S. Senate,,BOB CASEY JR,DEM,239.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,U.S. Senate,,LOU BARLETTA,REP,396.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,U.S. Senate,,NEAL GALE,GRN,1.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,U.S. Senate,,DALE KERNS JR,LIB,3.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,U.S. Senate,,Write-ins,,1.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,246.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,399.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,Governor,,PAUL GLOVER/JOCOLYN BOWER-BOSTICK,GRN,6.0,,,Crawford County,Bloomfield Twp
Crawford,Bloomfield Twp,Governor,,KEN V. KRAWCHUK/K. S. SMITH,LIB,2.0,,,Crawford County,Bloomfield Twp
