county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Cumberland,CAMP HILL 1,U.S. Senate,,BOB CASEY JR,DEM,425.0,406.0,18.0,Cumberland County,CAMP HILL 1
Cumberland,CAMP HILL 2,U.S. Senate,,BOB CASEY JR,DEM,536.0,499.0,32.0,Cumberland County,CAMP HILL 2
Cumberland,CAMP HILL 3,U.S. Senate,,BOB CASEY JR,DEM,669.0,632.0,36.0,Cumberland County,CAMP HILL 3
Cumberland,CAMP HILL 4,U.S. Senate,,BOB CASEY JR,DEM,283.0,280.0,3.0,Cumberland County,CAMP HILL 4
Cumberland,CAMP HILL 5,U.S. Senate,,BOB CASEY JR,DEM,410.0,393.0,17.0,Cumberland County,CAMP HILL 5
Cumberland,CARLISLE 1-1,U.S. Senate,,BOB CASEY JR,DEM,179.0,172.0,6.0,Cumberland County,CARLISLE 1-1
Cumberland,CARLISLE 1-2,U.S. Senate,,BOB CASEY JR,DEM,214.0,208.0,6.0,Cumberland County,CARLISLE 1-2
Cumberland,CARLISLE 2,U.S. Senate,,BOB CASEY JR,DEM,407.0,388.0,17.0,Cumberland County,CARLISLE 2
Cumberland,CARLISLE 3-1,U.S. Senate,,BOB CASEY JR,DEM,439.0,408.0,27.0,Cumberland County,CARLISLE 3-1
Cumberland,CARLISLE 3-2,U.S. Senate,,BOB CASEY JR,DEM,587.0,551.0,36.0,Cumberland County,CARLISLE 3-2
Cumberland,CARLISLE 3-3,U.S. Senate,,BOB CASEY JR,DEM,780.0,703.0,74.0,Cumberland County,CARLISLE 3-3
Cumberland,CARLISLE 4-1,U.S. Senate,,BOB CASEY JR,DEM,210.0,201.0,9.0,Cumberland County,CARLISLE 4-1
Cumberland,CARLISLE 4-2,U.S. Senate,,BOB CASEY JR,DEM,988.0,949.0,32.0,Cumberland County,CARLISLE 4-2
Cumberland,CARLISLE 5,U.S. Senate,,BOB CASEY JR,DEM,832.0,803.0,27.0,Cumberland County,CARLISLE 5
Cumberland,COOKE,U.S. Senate,,BOB CASEY JR,DEM,36.0,34.0,2.0,Cumberland County,COOKE
