county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Dauphin,"City--1st Ward, 1st Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--1st Ward, 1st Precinct"
Dauphin,"City--1st Ward, 2nd Precinct",Governor,,Ken V. KRAWCHUK,LIB,3,3.0,0.0,Dauphin County,"City--1st Ward, 2nd Precinct"
Dauphin,"City--1st Ward, 3rd Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--1st Ward, 3rd Precinct"
Dauphin,"City--2nd Ward, 1st Precinct",Governor,,Ken V. KRAWCHUK,LIB,6,6.0,0.0,Dauphin County,"City--2nd Ward, 1st Precinct"
Dauphin,"City--2nd Ward, 2nd Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--2nd Ward, 2nd Precinct"
Dauphin,City--3rd Ward,Governor,,Ken V. KRAWCHUK,LIB,5,5.0,0.0,Dauphin County,City--3rd Ward
Dauphin,City--4th Ward,Governor,,Ken V. KRAWCHUK,LIB,13,12.0,1.0,Dauphin County,City--4th Ward
Dauphin,City--5th Ward,Governor,,Ken V. KRAWCHUK,LIB,11,11.0,0.0,Dauphin County,City--5th Ward
Dauphin,City--6th Ward,Governor,,Ken V. KRAWCHUK,LIB,7,7.0,0.0,Dauphin County,City--6th Ward
Dauphin,"City--7th Ward, 1st Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--7th Ward, 1st Precinct"
Dauphin,"City--7th Ward, 2nd Precinct",Governor,,Ken V. KRAWCHUK,LIB,0,0.0,0.0,Dauphin County,"City--7th Ward, 2nd Precinct"
Dauphin,City--8th Ward,Governor,,Ken V. KRAWCHUK,LIB,5,4.0,1.0,Dauphin County,City--8th Ward
Dauphin,"City--9th Ward, 1st Precinct",Governor,,Ken V. KRAWCHUK,LIB,1,1.0,0.0,Dauphin County,"City--9th Ward, 1st Precinct"
Dauphin,"City--9th Ward, 2nd Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--9th Ward, 2nd Precinct"
Dauphin,"City--9th Ward, 3rd Precinct",Governor,,Ken V. KRAWCHUK,LIB,5,5.0,0.0,Dauphin County,"City--9th Ward, 3rd Precinct"
Dauphin,"City--9th Ward, 4th Precinct",Governor,,Ken V. KRAWCHUK,LIB,4,4.0,0.0,Dauphin County,"City--9th Ward, 4th Precinct"
Dauphin,"City--9th Ward, 5th Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--9th Ward, 5th Precinct"
Dauphin,"City--10th Ward, 1st Precinct",Governor,,Ken V. KRAWCHUK,LIB,9,9.0,0.0,Dauphin County,"City--10th Ward, 1st Precinct"
Dauphin,"City--10th Ward, 2nd Precinct",Governor,,Ken V. KRAWCHUK,LIB,2,2.0,0.0,Dauphin County,"City--10th Ward, 2nd Precinct"
Dauphin,"City--10th Ward, 3rd Precinct",Governor,,Ken V. KRAWCHUK,LIB,3,3.0,0.0,Dauphin County,"City--10th Ward, 3rd Precinct"
Dauphin,"City--10th Ward, 4th Precinct",Governor,,Ken V. KRAWCHUK,LIB,0,0.0,0.0,Dauphin County,"City--10th Ward, 4th Precinct"
Dauphin,City--11th Ward,Governor,,Ken V. KRAWCHUK,LIB,7,7.0,0.0,Dauphin County,City--11th Ward
Dauphin,City--12th Ward,Governor,,Ken V. KRAWCHUK,LIB,16,16.0,0.0,Dauphin County,City--12th Ward
