county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Delaware,ALDAN Eastern,U.S. Senate,,Bob CASEY JR,Democrat,788,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. Senate,,Lou BARLETTA,Republican,299,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. Senate,,Neal GALE,Green,3,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. Senate,,Dale R. KERNS JR,Libertarian,9,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. Senate,,Write In,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,Governor,,Tom WOLF,Democrat,812,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,Governor,,Scott R. WAGNER,Republican,287,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,Governor,,Paul GLOVER,Green,4,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,Governor,,Ken V. KRAWCHUK,Libertarian,1,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,Governor,,Write In,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,5.0,Mary Gay SCANLON,Democrat,756,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,5.0,Pearl KIM,Republican,338,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,5.0,Write In,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,7.0,Mary Gay SCANLON,Democrat,744,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,7.0,Pearl KIM,Republican,332,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,7.0,Brianna JOHNSTON,Green,9,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,7.0,Sandra Teresa SALAS,Libertarian,6,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,U.S. House,7.0,Write In,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State Senate,26.0,Tim KEARNEY,Democrat,721,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State Senate,26.0,Thomas J. MCGARRIGLE SR,Republican,377,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State Senate,26.0,Write In,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State House,163.0,Mike ZABEL,Democrat,692,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State House,163.0,James SANTORA,Republican,403,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State House,163.0,Write In,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Eastern,State House,163.0,No Vote,,0,,,Delaware County,ALDAN Eastern
Delaware,ALDAN Western,U.S. Senate,,Bob CASEY JR,Democrat,593,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. Senate,,Lou BARLETTA,Republican,285,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. Senate,,Neal GALE,Green,6,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. Senate,,Dale R. KERNS JR,Libertarian,5,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. Senate,,Write In,,0,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,Governor,,Tom WOLF,Democrat,600,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,Governor,,Scott R. WAGNER,Republican,284,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,Governor,,Paul GLOVER,Green,2,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,Governor,,Ken V. KRAWCHUK,Libertarian,7,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,Governor,,Write In,,0,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,5.0,Mary Gay SCANLON,Democrat,559,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,5.0,Pearl KIM,Republican,326,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,5.0,Write In,,0,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,7.0,Mary Gay SCANLON,Democrat,545,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,7.0,Pearl KIM,Republican,325,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,7.0,Brianna JOHNSTON,Green,6,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,7.0,Sandra Teresa SALAS,Libertarian,5,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,U.S. House,7.0,Write In,,0,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State Senate,26.0,Tim KEARNEY,Democrat,515,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State Senate,26.0,Thomas J. MCGARRIGLE SR,Republican,374,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State Senate,26.0,Write In,,0,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State House,163.0,Mike ZABEL,Democrat,513,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State House,163.0,James SANTORA,Republican,379,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State House,163.0,Write In,,0,,,Delaware County,ALDAN Western
Delaware,ALDAN Western,State House,163.0,No Vote,,0,,,Delaware County,ALDAN Western
Delaware,ASTON 1W,U.S. Senate,,Bob CASEY JR,Democrat,495,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. Senate,,Lou BARLETTA,Republican,395,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. Senate,,Neal GALE,Green,4,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. Senate,,Dale R. KERNS JR,Libertarian,5,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. Senate,,Write In,,0,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,Governor,,Tom WOLF,Democrat,520,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,Governor,,Scott R. WAGNER,Republican,371,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,Governor,,Paul GLOVER,Green,1,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,Governor,,Ken V. KRAWCHUK,Libertarian,4,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,Governor,,Write In,,0,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,5.0,Mary Gay SCANLON,Democrat,465,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,5.0,Pearl KIM,Republican,420,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,5.0,Write In,,0,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,7.0,Mary Gay SCANLON,Democrat,457,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,7.0,Pearl KIM,Republican,420,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,7.0,Brianna JOHNSTON,Green,1,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,7.0,Sandra Teresa SALAS,Libertarian,5,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,U.S. House,7.0,Write In,,0,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,State House,161.0,Leanne KRUEGER-BRANEKY,Democrat,488,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,State House,161.0,Patti RODGERS MORRISETTE,Republican,409,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,State House,161.0,Write In,,2,,,Delaware County,ASTON 1W
Delaware,ASTON 1W,State House,161.0,No Vote,,3,,,Delaware County,ASTON 1W
Delaware,ASTON 2W,U.S. Senate,,Bob CASEY JR,Democrat,694,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. Senate,,Lou BARLETTA,Republican,607,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. Senate,,Neal GALE,Green,6,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. Senate,,Dale R. KERNS JR,Libertarian,9,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. Senate,,Write In,,0,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,Governor,,Tom WOLF,Democrat,727,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,Governor,,Scott R. WAGNER,Republican,578,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,Governor,,Paul GLOVER,Green,6,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,Governor,,Ken V. KRAWCHUK,Libertarian,9,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,Governor,,Write In,,0,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,5.0,Mary Gay SCANLON,Democrat,638,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,5.0,Pearl KIM,Republican,661,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,5.0,Write In,,0,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,7.0,Mary Gay SCANLON,Democrat,631,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,7.0,Pearl KIM,Republican,660,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,7.0,Brianna JOHNSTON,Green,6,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,7.0,Sandra Teresa SALAS,Libertarian,8,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,U.S. House,7.0,Write In,,0,,,Delaware County,ASTON 2W
Delaware,ASTON 2W,State House,161.0,Leanne KRUEGER-BRANEKY,Democrat,655,,,Delaware County,ASTON 2W
