county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Elk,Benezette,U.S. Senate,,Bob Casey Jr.,DEM,34,,,Elk County,Benezette
Elk,Fox #1,U.S. Senate,,Bob Casey Jr.,DEM,318,,,Elk County,Fox #1
Elk,Fox #2,U.S. Senate,,Bob Casey Jr.,DEM,275,,,Elk County,Fox #2
Elk,Highland,U.S. Senate,,Bob Casey Jr.,DEM,30,,,Elk County,Highland
Elk,James City,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Elk County,James City
Elk,N. Horton,U.S. Senate,,Bob Casey Jr.,DEM,57,,,Elk County,N. Horton
Elk,S. Horton,U.S. Senate,,Bob Casey Jr.,DEM,118,,,Elk County,S. Horton
Elk,Jay,U.S. Senate,,Bob Casey Jr.,DEM,294,,,Elk County,Jay
Elk,Lamont,U.S. Senate,,Bob Casey Jr.,DEM,22,,,Elk County,Lamont
Elk,Wilcox,U.S. Senate,,Bob Casey Jr.,DEM,198,,,Elk County,Wilcox
Elk,Millstone,U.S. Senate,,Bob Casey Jr.,DEM,34,,,Elk County,Millstone
Elk,N. Ridgway,U.S. Senate,,Bob Casey Jr.,DEM,79,,,Elk County,N. Ridgway
Elk,S. Ridgway,U.S. Senate,,Bob Casey Jr.,DEM,251,,,Elk County,S. Ridgway
Elk,Spring Creek,U.S. Senate,,Bob Casey Jr.,DEM,38,,,Elk County,Spring Creek
Elk,Johnsonburg 1st,U.S. Senate,,Bob Casey Jr.,DEM,108,,,Elk County,Johnsonburg 1st
Elk,Johnsonburg 2nd,U.S. Senate,,Bob Casey Jr.,DEM,81,,,Elk County,Johnsonburg 2nd
Elk,Johnsonburg 3rd,U.S. Senate,,Bob Casey Jr.,DEM,89,,,Elk County,Johnsonburg 3rd
Elk,Johnsonburg 4th,U.S. Senate,,Bob Casey Jr.,DEM,62,,,Elk County,Johnsonburg 4th
Elk,Ridgway 1st,U.S. Senate,,Bob Casey Jr.,DEM,130,,,Elk County,Ridgway 1st
Elk,Ridgway 2nd,U.S. Senate,,Bob Casey Jr.,DEM,245,,,Elk County,Ridgway 2nd
Elk,Ridgway 3rd,U.S. Senate,,Bob Casey Jr.,DEM,215,,,Elk County,Ridgway 3rd
Elk,St. Marys 1st,U.S. Senate,,Bob Casey Jr.,DEM,195,,,Elk County,St. Marys 1st
Elk,St. Marys 2nd,U.S. Senate,,Bob Casey Jr.,DEM,150,,,Elk County,St. Marys 2nd
Elk,St. Marys 3rd,U.S. Senate,,Bob Casey Jr.,DEM,205,,,Elk County,St. Marys 3rd
Elk,St. Marys 4th,U.S. Senate,,Bob Casey Jr.,DEM,166,,,Elk County,St. Marys 4th
Elk,St. Marys 5th,U.S. Senate,,Bob Casey Jr.,DEM,169,,,Elk County,St. Marys 5th
Elk,St. Marys 6th,U.S. Senate,,Bob Casey Jr.,DEM,197,,,Elk County,St. Marys 6th
Elk,St. Marys 7th,U.S. Senate,,Bob Casey Jr.,DEM,198,,,Elk County,St. Marys 7th
Elk,St. Marys 8th,U.S. Senate,,Bob Casey Jr.,DEM,296,,,Elk County,St. Marys 8th
Elk,St. Marys 9th,U.S. Senate,,Bob Casey Jr.,DEM,198,,,Elk County,St. Marys 9th
Elk,Benezette,U.S. Senate,,Lou Barletta,REP,104,,,Elk County,Benezette
Elk,Fox #1,U.S. Senate,,Lou Barletta,REP,400,,,Elk County,Fox #1
Elk,Fox #2,U.S. Senate,,Lou Barletta,REP,399,,,Elk County,Fox #2
Elk,Highland,U.S. Senate,,Lou Barletta,REP,45,,,Elk County,Highland
Elk,James City,U.S. Senate,,Lou Barletta,REP,41,,,Elk County,James City
Elk,N. Horton,U.S. Senate,,Lou Barletta,REP,126,,,Elk County,N. Horton
Elk,S. Horton,U.S. Senate,,Lou Barletta,REP,193,,,Elk County,S. Horton
Elk,Jay,U.S. Senate,,Lou Barletta,REP,413,,,Elk County,Jay
Elk,Lamont,U.S. Senate,,Lou Barletta,REP,31,,,Elk County,Lamont
Elk,Wilcox,U.S. Senate,,Lou Barletta,REP,352,,,Elk County,Wilcox
Elk,Millstone,U.S. Senate,,Lou Barletta,REP,30,,,Elk County,Millstone
Elk,N. Ridgway,U.S. Senate,,Lou Barletta,REP,100,,,Elk County,N. Ridgway
Elk,S. Ridgway,U.S. Senate,,Lou Barletta,REP,464,,,Elk County,S. Ridgway
Elk,Spring Creek,U.S. Senate,,Lou Barletta,REP,50,,,Elk County,Spring Creek
Elk,Johnsonburg 1st,U.S. Senate,,Lou Barletta,REP,119,,,Elk County,Johnsonburg 1st
Elk,Johnsonburg 2nd,U.S. Senate,,Lou Barletta,REP,83,,,Elk County,Johnsonburg 2nd
Elk,Johnsonburg 3rd,U.S. Senate,,Lou Barletta,REP,91,,,Elk County,Johnsonburg 3rd
Elk,Johnsonburg 4th,U.S. Senate,,Lou Barletta,REP,92,,,Elk County,Johnsonburg 4th
Elk,Ridgway 1st,U.S. Senate,,Lou Barletta,REP,155,,,Elk County,Ridgway 1st
Elk,Ridgway 2nd,U.S. Senate,,Lou Barletta,REP,274,,,Elk County,Ridgway 2nd
Elk,Ridgway 3rd,U.S. Senate,,Lou Barletta,REP,254,,,Elk County,Ridgway 3rd
Elk,St. Marys 1st,U.S. Senate,,Lou Barletta,REP,326,,,Elk County,St. Marys 1st
Elk,St. Marys 2nd,U.S. Senate,,Lou Barletta,REP,220,,,Elk County,St. Marys 2nd
Elk,St. Marys 3rd,U.S. Senate,,Lou Barletta,REP,454,,,Elk County,St. Marys 3rd
