county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Erie,ERIE FIRST WARD 1ST DIS,U.S. Senate,,Bob Casey Jr.,DEM,241,,,Erie County,ERIE FIRST WARD 1ST DIS
Erie,ERIE FIRST WARD 3RD DIS,U.S. Senate,,Bob Casey Jr.,DEM,346,,,Erie County,ERIE FIRST WARD 3RD DIS
Erie,ERIE FIRST WARD 5TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,390,,,Erie County,ERIE FIRST WARD 5TH DIS
Erie,ERIE FIRST WARD 7TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,298,,,Erie County,ERIE FIRST WARD 7TH DIS
Erie,ERIE FIRST WARD 8TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,367,,,Erie County,ERIE FIRST WARD 8TH DIS
Erie,ERIE SECOND WARD 1ST,U.S. Senate,,Bob Casey Jr.,DEM,255,,,Erie County,ERIE SECOND WARD 1ST
Erie,ERIE SECOND WARD 4TH,U.S. Senate,,Bob Casey Jr.,DEM,243,,,Erie County,ERIE SECOND WARD 4TH
Erie,ERIE SECOND WARD 5TH DI,U.S. Senate,,Bob Casey Jr.,DEM,95,,,Erie County,ERIE SECOND WARD 5TH DI
Erie,ERIE SECOND WARD 6TH DI,U.S. Senate,,Bob Casey Jr.,DEM,178,,,Erie County,ERIE SECOND WARD 6TH DI
Erie,ERIE SECOND WARD 7TH DI,U.S. Senate,,Bob Casey Jr.,DEM,358,,,Erie County,ERIE SECOND WARD 7TH DI
Erie,ERIE SECOND WARD 8TH DI,U.S. Senate,,Bob Casey Jr.,DEM,151,,,Erie County,ERIE SECOND WARD 8TH DI
Erie,ERIE THIRD WARD 1ST DIS,U.S. Senate,,Bob Casey Jr.,DEM,180,,,Erie County,ERIE THIRD WARD 1ST DIS
Erie,ERIE THIRD WARD 2ND DIS,U.S. Senate,,Bob Casey Jr.,DEM,211,,,Erie County,ERIE THIRD WARD 2ND DIS
Erie,ERIE THIRD WARD 3RD DIS,U.S. Senate,,Bob Casey Jr.,DEM,285,,,Erie County,ERIE THIRD WARD 3RD DIS
Erie,ERIE THIRD WARD 4TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,279,,,Erie County,ERIE THIRD WARD 4TH DIS
Erie,ERIE THIRD WARD 5TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,281,,,Erie County,ERIE THIRD WARD 5TH DIS
Erie,ERIE THIRD WARD 6TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,93,,,Erie County,ERIE THIRD WARD 6TH DIS
Erie,ERIE THIRD WARD 7TH DIS,U.S. Senate,,Bob Casey Jr.,DEM,146,,,Erie County,ERIE THIRD WARD 7TH DIS
Erie,ERIE FOURTH WARD 1ST,U.S. Senate,,Bob Casey Jr.,DEM,258,,,Erie County,ERIE FOURTH WARD 1ST
Erie,ERIE FOURTH WARD 2ND DI,U.S. Senate,,Bob Casey Jr.,DEM,194,,,Erie County,ERIE FOURTH WARD 2ND DI
Erie,ERIE FOURTH WARD 3RD DI,U.S. Senate,,Bob Casey Jr.,DEM,162,,,Erie County,ERIE FOURTH WARD 3RD DI
Erie,ERIE FOURTH WARD 4TH DI,U.S. Senate,,Bob Casey Jr.,DEM,321,,,Erie County,ERIE FOURTH WARD 4TH DI
Erie,ERIE FOURTH WARD 6TH DI,U.S. Senate,,Bob Casey Jr.,DEM,144,,,Erie County,ERIE FOURTH WARD 6TH DI
Erie,ERIE FOURTH WARD 7TH DI,U.S. Senate,,Bob Casey Jr.,DEM,384,,,Erie County,ERIE FOURTH WARD 7TH DI
Erie,ERIE FOURTH WARD 8TH DI,U.S. Senate,,Bob Casey Jr.,DEM,539,,,Erie County,ERIE FOURTH WARD 8TH DI
Erie,ERIE FOURTH WARD 9TH DI,U.S. Senate,,Bob Casey Jr.,DEM,608,,,Erie County,ERIE FOURTH WARD 9TH DI
Erie,ERIE FIFTH WARD 1ST DIS,U.S. Senate,,Bob Casey Jr.,DEM,189,,,Erie County,ERIE FIFTH WARD 1ST DIS
