county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Fayette,BelleVernon,U.S. Senate,,Bob Casey Jr.,DEM,156,,,Fayette County,BelleVernon
Fayette,BvilleTwp,U.S. Senate,,Bob Casey Jr.,DEM,136,,,Fayette County,BvilleTwp
Fayette,BvilleW1,U.S. Senate,,Bob Casey Jr.,DEM,118,,,Fayette County,BvilleW1
Fayette,BvilleW2,U.S. Senate,,Bob Casey Jr.,DEM,133,,,Fayette County,BvilleW2
Fayette,BvilleW3,U.S. Senate,,Bob Casey Jr.,DEM,165,,,Fayette County,BvilleW3
Fayette,BullskinD1,U.S. Senate,,Bob Casey Jr.,DEM,504,,,Fayette County,BullskinD1
Fayette,BullskinD2,U.S. Senate,,Bob Casey Jr.,DEM,151,,,Fayette County,BullskinD2
Fayette,BullskinD3,U.S. Senate,,Bob Casey Jr.,DEM,225,,,Fayette County,BullskinD3
Fayette,CvilleW1,U.S. Senate,,Bob Casey Jr.,DEM,345,,,Fayette County,CvilleW1
Fayette,CvilleW2,U.S. Senate,,Bob Casey Jr.,DEM,277,,,Fayette County,CvilleW2
Fayette,CvilleW3,U.S. Senate,,Bob Casey Jr.,DEM,129,,,Fayette County,CvilleW3
Fayette,CvilleW4,U.S. Senate,,Bob Casey Jr.,DEM,246,,,Fayette County,CvilleW4
Fayette,CvilleTwp,U.S. Senate,,Bob Casey Jr.,DEM,313,,,Fayette County,CvilleTwp
Fayette,DawsonBoro,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Fayette County,DawsonBoro
Fayette,DunbarTwp1,U.S. Senate,,Bob Casey Jr.,DEM,347,,,Fayette County,DunbarTwp1
Fayette,DunbarTwp2,U.S. Senate,,Bob Casey Jr.,DEM,611,,,Fayette County,DunbarTwp2
Fayette,DunbarBoro,U.S. Senate,,Bob Casey Jr.,DEM,124,,,Fayette County,DunbarBoro
Fayette,Everson,U.S. Senate,,Bob Casey Jr.,DEM,94,,,Fayette County,Everson
Fayette,Fchance,U.S. Senate,,Bob Casey Jr.,DEM,281,,,Fayette County,Fchance
Fayette,FayCtyBoro,U.S. Senate,,Bob Casey Jr.,DEM,75,,,Fayette County,FayCtyBoro
Fayette,FranklinD1,U.S. Senate,,Bob Casey Jr.,DEM,198,,,Fayette County,FranklinD1
Fayette,FranklinD2,U.S. Senate,,Bob Casey Jr.,DEM,155,,,Fayette County,FranklinD2
Fayette,GeorgesD1,U.S. Senate,,Bob Casey Jr.,DEM,199,,,Fayette County,GeorgesD1
Fayette,GeorgesD2,U.S. Senate,,Bob Casey Jr.,DEM,318,,,Fayette County,GeorgesD2
Fayette,GeorgesD3,U.S. Senate,,Bob Casey Jr.,DEM,332,,,Fayette County,GeorgesD3
Fayette,GermanD1,U.S. Senate,,Bob Casey Jr.,DEM,356,,,Fayette County,GermanD1
Fayette,GermanD2,U.S. Senate,,Bob Casey Jr.,DEM,184,,,Fayette County,GermanD2
Fayette,GermanD3,U.S. Senate,,Bob Casey Jr.,DEM,180,,,Fayette County,GermanD3
Fayette,GermanD4,U.S. Senate,,Bob Casey Jr.,DEM,76,,,Fayette County,GermanD4
Fayette,HenryClay,U.S. Senate,,Bob Casey Jr.,DEM,181,,,Fayette County,HenryClay
Fayette,JeffTwp,U.S. Senate,,Bob Casey Jr.,DEM,331,,,Fayette County,JeffTwp
