county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Forest,0001 BARNETT TWP,U.S. Senate,,"BOB CASEY, JR",DEM,47,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. Senate,,LOU BARLETTA,REP,112,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. Senate,,NEAL GALE,GRN,1,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. Senate,,"DALE R. KERNS, JR",LIB,2,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. Senate,,Write-ins,,0,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,Governor,,WOLF / FETTERMAN,DEM,48,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,Governor,,WAGNER / BARTOS,REP,113,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,Governor,,GLOVER / BOWSER-BOSTICK,GRN,2,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,Governor,,KRAWCHUK / SMITH,LIB,0,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,Governor,,Write-ins,,0,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. House,15.0,SUSAN BOSER,DEM,39,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. House,15.0,GLENN GT THOMPSON,REP,125,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,U.S. House,15.0,Write-ins,,0,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,State House,63.0,CONRAD WARNER,DEM,34,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,State House,63.0,DONNA OBERLANDER,REP,129,,,Forest County,0001 BARNETT TWP
Forest,0001 BARNETT TWP,State House,63.0,Write-ins,,0,,,Forest County,0001 BARNETT TWP
Forest,0002 GREEN TWP,U.S. Senate,,"BOB CASEY, JR",DEM,54,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. Senate,,LOU BARLETTA,REP,121,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. Senate,,NEAL GALE,GRN,4,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. Senate,,"DALE R. KERNS, JR",LIB,1,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. Senate,,Write-ins,,0,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,Governor,,WOLF / FETTERMAN,DEM,62,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,Governor,,WAGNER / BARTOS,REP,115,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,Governor,,GLOVER / BOWSER-BOSTICK,GRN,3,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,Governor,,KRAWCHUK / SMITH,LIB,0,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,Governor,,Write-ins,,0,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. House,15.0,SUSAN BOSER,DEM,45,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. House,15.0,GLENN GT THOMPSON,REP,130,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,U.S. House,15.0,Write-ins,,1,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,State House,65.0,KATHY L. RAPP,REP,151,,,Forest County,0002 GREEN TWP
Forest,0002 GREEN TWP,State House,65.0,Write-ins,,1,,,Forest County,0002 GREEN TWP
Forest,0003 HARMONY TWP,U.S. Senate,,"BOB CASEY, JR",DEM,83,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. Senate,,LOU BARLETTA,REP,128,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. Senate,,NEAL GALE,GRN,1,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. Senate,,"DALE R. KERNS, JR",LIB,1,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. Senate,,Write-ins,,0,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,Governor,,WOLF / FETTERMAN,DEM,88,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,Governor,,WAGNER / BARTOS,REP,124,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,Governor,,GLOVER / BOWSER-BOSTICK,GRN,1,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,Governor,,KRAWCHUK / SMITH,LIB,1,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,Governor,,Write-ins,,1,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. House,15.0,SUSAN BOSER,DEM,70,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. House,15.0,GLENN GT THOMPSON,REP,142,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,U.S. House,15.0,Write-ins,,1,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,State House,65.0,KATHY L. RAPP,REP,157,,,Forest County,0003 HARMONY TWP
Forest,0003 HARMONY TWP,State House,65.0,Write-ins,,8,,,Forest County,0003 HARMONY TWP
Forest,0004 HICKORY TWP,U.S. Senate,,"BOB CASEY, JR",DEM,68,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,U.S. Senate,,LOU BARLETTA,REP,95,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,U.S. Senate,,NEAL GALE,GRN,1,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,U.S. Senate,,"DALE R. KERNS, JR",LIB,2,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,U.S. Senate,,Write-ins,,0,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,Governor,,WOLF / FETTERMAN,DEM,65,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,Governor,,WAGNER / BARTOS,REP,99,,,Forest County,0004 HICKORY TWP
Forest,0004 HICKORY TWP,Governor,,GLOVER / BOWSER-BOSTICK,GRN,0,,,Forest County,0004 HICKORY TWP
