county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Franklin,Antrim Twp - First Dist,U.S. Senate,,Bob Casey Jr.,DEM,228.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. Senate,,Lou Barletta,REP,850.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. Senate,,Neal Gale,GRN,3.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. Senate,,Dale R. Kerns Jr.,LIB,6.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. Senate,,Write - In,,0.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,Governor,,Wolf / Fetterman,DEM,256.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,Governor,,Wagner / Bartos,REP,823.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,Governor,,Glover / Bostick,GRN,2.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,Governor,,Krawchuk / Smith,LIB,8.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,Governor,,Write - In,,0.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. House,13.0,Brent Ottaway,DEM,197.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. House,13.0,John Joyce,REP,889.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,U.S. House,13.0,Write - In,,1.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,State Senate,30.0,Emily Best,DEM,211.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,State Senate,30.0,Judy Ward,REP,876.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,State Senate,30.0,Write - In,,0.0,,,Franklin County,Antrim Twp - First Dist
Franklin,Antrim Twp - First Dist,State House,90.0,Paul Schemel,REP,950.0,,,Franklin County,Antrim Twp - First Dist
