county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Fulton,Ayr Township,U.S. Senate,,Bob Casey Jr,DEM,154.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. Senate,,Lou Barletta,REP,590.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. Senate,,Neal Gale,GRN,3.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. Senate,,Dale R Kerns Jr,LIB,6.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. Senate,,Write In,,0.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,Governor,,Wolf/Fetterman,DEM,151.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,Governor,,Wagner/Bartos,REP,597.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,Governor,,Glover/Bowser-Bostick,GRN,3.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,Governor,,Krawchuk/Smith,LIB,2.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,Governor,,Write In,,0.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. House,13.0,Brent Ottaway,DEM,126.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. House,13.0,John Joyce,REP,618.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,U.S. House,13.0,Write In,REP,2.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,State Senate,30.0,Emily Best,DEM,150.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,State Senate,30.0,Judy Ward,REP,598.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,State Senate,30.0,Write In,,0.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,State House,78.0,Deb Baughman,DEM,121.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,State House,78.0,Jesse Topper,REP,635.0,,,Fulton County,Ayr Township
Fulton,Ayr Township,State House,78.0,Write In,,0.0,,,Fulton County,Ayr Township
Fulton,Belfast Township,U.S. Senate,,Bob Casey Jr,DEM,67.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. Senate,,Lou Barletta,REP,426.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. Senate,,Neal Gale,GRN,5.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. Senate,,Write In,,2.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,Governor,,Wolf/Fetterman,DEM,87.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,Governor,,Wagner/Bartos,REP,402.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,Governor,,Glover/Bowser-Bostick,GRN,4.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,Governor,,Krawchuk/Smith,LIB,6.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,Governor,,Write In,,2.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. House,13.0,Brent Ottaway,DEM,59.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. House,13.0,John Joyce,REP,439.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,U.S. House,13.0,Write In,REP,4.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,State Senate,30.0,Emily Best,DEM,71.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,State Senate,30.0,Judy Ward,REP,431.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,State Senate,30.0,Write In,,0.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,State House,78.0,Deb Baughman,DEM,60.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,State House,78.0,Jesse Topper,REP,439.0,,,Fulton County,Belfast Township
Fulton,Belfast Township,State House,78.0,Write In,,1.0,,,Fulton County,Belfast Township
Fulton,Bethel Township,U.S. Senate,,Bob Casey Jr,DEM,105.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. Senate,,Lou Barletta,REP,424.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. Senate,,Neal Gale,GRN,5.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. Senate,,Write In,,0.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,Governor,,Wolf/Fetterman,DEM,106.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,Governor,,Wagner/Bartos,REP,426.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,Governor,,Glover/Bowser-Bostick,GRN,2.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,Governor,,Krawchuk/Smith,LIB,2.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,Governor,,Write In,,1.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. House,13.0,Brent Ottaway,DEM,102.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. House,13.0,John Joyce,REP,433.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,U.S. House,13.0,Write In,REP,0.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,State Senate,30.0,Emily Best,DEM,105.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,State Senate,30.0,Judy Ward,REP,429.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,State Senate,30.0,Write In,,1.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,State House,78.0,Deb Baughman,DEM,96.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,State House,78.0,Jesse Topper,REP,441.0,,,Fulton County,Bethel Township
Fulton,Bethel Township,State House,78.0,Write In,,0.0,,,Fulton County,Bethel Township
Fulton,Brush Creek Township,U.S. Senate,,Bob Casey Jr,DEM,75.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. Senate,,Lou Barletta,REP,244.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. Senate,,Neal Gale,GRN,0.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. Senate,,Dale R Kerns Jr,LIB,0.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. Senate,,Write In,,0.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,Governor,,Wolf/Fetterman,DEM,69.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,Governor,,Wagner/Bartos,REP,248.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,Governor,,Glover/Bowser-Bostick,GRN,1.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,Governor,,Krawchuk/Smith,LIB,1.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,Governor,,Write In,,0.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. House,13.0,Brent Ottaway,DEM,61.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. House,13.0,John Joyce,REP,257.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,U.S. House,13.0,Write In,REP,0.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,State Senate,30.0,Emily Best,DEM,65.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,State Senate,30.0,Judy Ward,REP,251.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,State Senate,30.0,Write In,,0.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,State House,78.0,Deb Baughman,DEM,62.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,State House,78.0,Jesse Topper,REP,257.0,,,Fulton County,Brush Creek Township
Fulton,Brush Creek Township,State House,78.0,Write In,,0.0,,,Fulton County,Brush Creek Township
Fulton,Dublin Township,U.S. Senate,,Bob Casey Jr,DEM,73.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. Senate,,Lou Barletta,REP,333.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. Senate,,Neal Gale,GRN,3.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. Senate,,Write In,,0.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,Governor,,Wolf/Fetterman,DEM,75.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,Governor,,Wagner/Bartos,REP,331.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,Governor,,Glover/Bowser-Bostick,GRN,0.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,Governor,,Krawchuk/Smith,LIB,4.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,Governor,,Write In,,0.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. House,13.0,Brent Ottaway,DEM,59.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. House,13.0,John Joyce,REP,352.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,U.S. House,13.0,Write In,REP,0.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,State Senate,30.0,Emily Best,DEM,76.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,State Senate,30.0,Judy Ward,REP,336.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,State Senate,30.0,Write In,,0.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,State House,78.0,Deb Baughman,DEM,60.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,State House,78.0,Jesse Topper,REP,352.0,,,Fulton County,Dublin Township
Fulton,Dublin Township,State House,78.0,Write In,,0.0,,,Fulton County,Dublin Township
Fulton,Licking Creek Township,U.S. Senate,,Bob Casey Jr,DEM,87.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. Senate,,Lou Barletta,REP,464.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. Senate,,Neal Gale,GRN,3.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. Senate,,Dale R Kerns Jr,LIB,7.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. Senate,,Write In,,0.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,Governor,,Wolf/Fetterman,DEM,77.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,Governor,,Wagner/Bartos,REP,476.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,Governor,,Glover/Bowser-Bostick,GRN,3.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,Governor,,Krawchuk/Smith,LIB,3.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,Governor,,Write In,,0.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. House,13.0,Brent Ottaway,DEM,71.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. House,13.0,John Joyce,REP,489.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,U.S. House,13.0,Write In,REP,0.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,State Senate,30.0,Emily Best,DEM,88.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,State Senate,30.0,Judy Ward,REP,473.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,State Senate,30.0,Write In,,0.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,State House,78.0,Deb Baughman,DEM,71.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,State House,78.0,Jesse Topper,REP,492.0,,,Fulton County,Licking Creek Township
Fulton,Licking Creek Township,State House,78.0,Write In,,0.0,,,Fulton County,Licking Creek Township
Fulton,McConnellsburg Borough,U.S. Senate,,Bob Casey Jr,DEM,100.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. Senate,,Lou Barletta,REP,197.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. Senate,,Neal Gale,GRN,0.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. Senate,,Dale R Kerns Jr,LIB,5.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. Senate,,Write In,,0.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,Governor,,Wolf/Fetterman,DEM,102.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,Governor,,Wagner/Bartos,REP,196.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,Governor,,Glover/Bowser-Bostick,GRN,0.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,Governor,,Krawchuk/Smith,LIB,4.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,Governor,,Write In,,0.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. House,13.0,Brent Ottaway,DEM,88.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. House,13.0,John Joyce,REP,215.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,U.S. House,13.0,Write In,REP,0.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,State Senate,30.0,Emily Best,DEM,101.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,State Senate,30.0,Judy Ward,REP,203.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,State Senate,30.0,Write In,,0.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,State House,78.0,Deb Baughman,DEM,77.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,State House,78.0,Jesse Topper,REP,227.0,,,Fulton County,McConnellsburg Borough
Fulton,McConnellsburg Borough,State House,78.0,Write In,,0.0,,,Fulton County,McConnellsburg Borough
Fulton,Taylor Township,U.S. Senate,,Bob Casey Jr,DEM,83.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. Senate,,Lou Barletta,REP,327.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. Senate,,Neal Gale,GRN,2.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. Senate,,Dale R Kerns Jr,LIB,2.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. Senate,,Write In,,1.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,Governor,,Wolf/Fetterman,DEM,66.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,Governor,,Wagner/Bartos,REP,345.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,Governor,,Glover/Bowser-Bostick,GRN,1.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,Governor,,Krawchuk/Smith,LIB,1.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,Governor,,Write In,,0.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. House,13.0,Brent Ottaway,DEM,63.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. House,13.0,John Joyce,REP,346.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,U.S. House,13.0,Write In,REP,0.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,State Senate,30.0,Emily Best,DEM,86.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,State Senate,30.0,Judy Ward,REP,327.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,State Senate,30.0,Write In,,0.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,State House,78.0,Deb Baughman,DEM,76.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,State House,78.0,Jesse Topper,REP,338.0,,,Fulton County,Taylor Township
Fulton,Taylor Township,State House,78.0,Write In,,0.0,,,Fulton County,Taylor Township
Fulton,Thompson Township,U.S. Senate,,Bob Casey Jr,DEM,83.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,U.S. Senate,,Lou Barletta,REP,366.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,U.S. Senate,,Neal Gale,GRN,1.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,U.S. Senate,,Write In,,2.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,Governor,,Wolf/Fetterman,DEM,82.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,Governor,,Wagner/Bartos,REP,368.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,Governor,,Glover/Bowser-Bostick,GRN,2.0,,,Fulton County,Thompson Township
Fulton,Thompson Township,Governor,,Krawchuk/Smith,LIB,2.0,,,Fulton County,Thompson Township
