county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Greene,ALEPPO,U.S. Senate,,Bob Casey Jr.,DEM,73.0,,,Greene County,ALEPPO
Greene,CARMICHAELS,U.S. Senate,,Bob Casey Jr.,DEM,82.0,,,Greene County,CARMICHAELS
Greene,CENTER,U.S. Senate,,Bob Casey Jr.,DEM,195.0,,,Greene County,CENTER
Greene,CLARKSVILLE,U.S. Senate,,Bob Casey Jr.,DEM,35.0,,,Greene County,CLARKSVILLE
Greene,CUMBERLANDXNEMACOLIN,U.S. Senate,,Bob Casey Jr.,DEM,119.0,,,Greene County,CUMBERLANDXNEMACOLIN
Greene,CUMBERLANDX1,U.S. Senate,,Bob Casey Jr.,DEM,377.0,,,Greene County,CUMBERLANDX1
Greene,CUMBERLANDX2,U.S. Senate,,Bob Casey Jr.,DEM,198.0,,,Greene County,CUMBERLANDX2
Greene,CUMBERLANDX4,U.S. Senate,,Bob Casey Jr.,DEM,378.0,,,Greene County,CUMBERLANDX4
Greene,DUNKARDXBOBTOWN,U.S. Senate,,Bob Casey Jr.,DEM,127.0,,,Greene County,DUNKARDXBOBTOWN
Greene,DUNKARDXDILLINER,U.S. Senate,,Bob Casey Jr.,DEM,80.0,,,Greene County,DUNKARDXDILLINER
Greene,DUNKARDXLOWER,U.S. Senate,,Bob Casey Jr.,DEM,61.0,,,Greene County,DUNKARDXLOWER
Greene,DUNKARDXUPPER,U.S. Senate,,Bob Casey Jr.,DEM,50.0,,,Greene County,DUNKARDXUPPER
Greene,FRANKLINXEAST,U.S. Senate,,Bob Casey Jr.,DEM,432.0,,,Greene County,FRANKLINXEAST
Greene,FRANKLINXNORTH,U.S. Senate,,Bob Casey Jr.,DEM,215.0,,,Greene County,FRANKLINXNORTH
Greene,FRANKLINXSOUTH,U.S. Senate,,Bob Casey Jr.,DEM,104.0,,,Greene County,FRANKLINXSOUTH
Greene,FRANKLINXWEST,U.S. Senate,,Bob Casey Jr.,DEM,73.0,,,Greene County,FRANKLINXWEST
Greene,FREEPORT,U.S. Senate,,Bob Casey Jr.,DEM,44.0,,,Greene County,FREEPORT
Greene,GILMORE,U.S. Senate,,Bob Casey Jr.,DEM,44.0,,,Greene County,GILMORE
Greene,GRAY,U.S. Senate,,Bob Casey Jr.,DEM,28.0,,,Greene County,GRAY
Greene,GREENE,U.S. Senate,,Bob Casey Jr.,DEM,83.0,,,Greene County,GREENE
Greene,GREENSBORO,U.S. Senate,,Bob Casey Jr.,DEM,46.0,,,Greene County,GREENSBORO
Greene,JACKSON,U.S. Senate,,Bob Casey Jr.,DEM,54.0,,,Greene County,JACKSON
Greene,JEFFERSONX1,U.S. Senate,,Bob Casey Jr.,DEM,202.0,,,Greene County,JEFFERSONX1
Greene,JEFFERSONX2,U.S. Senate,,Bob Casey Jr.,DEM,48.0,,,Greene County,JEFFERSONX2
Greene,JEFFERSONX3,U.S. Senate,,Bob Casey Jr.,DEM,226.0,,,Greene County,JEFFERSONX3
Greene,JEFFERSONX4,U.S. Senate,,Bob Casey Jr.,DEM,67.0,,,Greene County,JEFFERSONX4
Greene,JEFFERSON,U.S. Senate,,Bob Casey Jr.,DEM,72.0,,,Greene County,JEFFERSON
Greene,MONONGAHELAX1,U.S. Senate,,Bob Casey Jr.,DEM,148.0,,,Greene County,MONONGAHELAX1
Greene,MONONGAHELAX2,U.S. Senate,,Bob Casey Jr.,DEM,87.0,,,Greene County,MONONGAHELAX2
Greene,MORGANXCHART/T.GRDN,U.S. Senate,,Bob Casey Jr.,DEM,103.0,,,Greene County,MORGANXCHART/T.GRDN
Greene,MORGANXLIPPENCOTT,U.S. Senate,,Bob Casey Jr.,DEM,139.0,,,Greene County,MORGANXLIPPENCOTT
Greene,MORGANXMATHER,U.S. Senate,,Bob Casey Jr.,DEM,243.0,,,Greene County,MORGANXMATHER
Greene,MORRIS,U.S. Senate,,Bob Casey Jr.,DEM,103.0,,,Greene County,MORRIS
Greene,PERRY,U.S. Senate,,Bob Casey Jr.,DEM,275.0,,,Greene County,PERRY
Greene,RICES LANDING,U.S. Senate,,Bob Casey Jr.,DEM,90.0,,,Greene County,RICES LANDING
Greene,RICHHILL,U.S. Senate,,Bob Casey Jr.,DEM,111.0,,,Greene County,RICHHILL
Greene,SPRINGHILL,U.S. Senate,,Bob Casey Jr.,DEM,42.0,,,Greene County,SPRINGHILL
Greene,WASHINGTON,U.S. Senate,,Bob Casey Jr.,DEM,171.0,,,Greene County,WASHINGTON
Greene,WAYNEXEAST,U.S. Senate,,Bob Casey Jr.,DEM,108.0,,,Greene County,WAYNEXEAST
Greene,WAYNEXWEST,U.S. Senate,,Bob Casey Jr.,DEM,56.0,,,Greene County,WAYNEXWEST
Greene,WAYNESBURGW1,U.S. Senate,,Bob Casey Jr.,DEM,194.0,,,Greene County,WAYNESBURGW1
Greene,WAYNESBURGW2,U.S. Senate,,Bob Casey Jr.,DEM,153.0,,,Greene County,WAYNESBURGW2
Greene,WAYNESBURGW3,U.S. Senate,,Bob Casey Jr.,DEM,186.0,,,Greene County,WAYNESBURGW3
Greene,WHITELEY,U.S. Senate,,Bob Casey Jr.,DEM,97.0,,,Greene County,WHITELEY
