county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Huntingdon,0001 Alexandria Borough,U.S. Senate,,Bob Casey Jr,DEM,68.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. Senate,,Lou Barletta,REP,79.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. Senate,,Neal Gale,GRN,0.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. Senate,,Write In,,0.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,Governor,,Wolf/Fetterman,DEM,63.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,Governor,,Wagner/Bartos,REP,79.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,Governor,,Glover/Bowser-Bostick,GRN,0.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,Governor,,Krawchuk/Smith,LIB,6.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,Governor,,Write In,,0.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. House,13.0,Brent Ottaway,DEM,56.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. House,13.0,John Joyce,REP,92.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,U.S. House,13.0,Write In,,1.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State Senate,30.0,Emily Best,DEM,60.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State Senate,30.0,Judy Ward,REP,88.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State Senate,30.0,Write In,,0.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State House,81.0,Rick Rogers,DEM,54.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State House,81.0,Rich Irvin,REP,89.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State House,81.0,Joseph P Soloski,LIB,6.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0001 Alexandria Borough,State House,81.0,Write In,,0.0,,,Huntingdon County,0001 Alexandria Borough
Huntingdon,0002 Barree Township,U.S. Senate,,Bob Casey Jr,DEM,53.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. Senate,,Lou Barletta,REP,156.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. Senate,,Neal Gale,GRN,2.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. Senate,,Write In,,0.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,Governor,,Wolf/Fetterman,DEM,51.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,Governor,,Wagner/Bartos,REP,152.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,Governor,,Glover/Bowser-Bostick,GRN,2.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,Governor,,Krawchuk/Smith,LIB,8.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,Governor,,Write In,,0.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. House,13.0,Brent Ottaway,DEM,44.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. House,13.0,John Joyce,REP,170.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,U.S. House,13.0,Write In,,0.0,,,Huntingdon County,0002 Barree Township
Huntingdon,0002 Barree Township,State Senate,30.0,Emily Best,DEM,47.0,,,Huntingdon County,0002 Barree Township
