county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Indiana,ARMAGH,U.S. Senate,,Bob Casey Jr.,DEM,11,,,Indiana County,ARMAGH
Indiana,ARMSTRONG 1,U.S. Senate,,Bob Casey Jr.,DEM,120,,,Indiana County,ARMSTRONG 1
Indiana,ARMSTRONG 2,U.S. Senate,,Bob Casey Jr.,DEM,277,,,Indiana County,ARMSTRONG 2
Indiana,BANKS 1,U.S. Senate,,Bob Casey Jr.,DEM,72,,,Indiana County,BANKS 1
Indiana,BLACKLICK,U.S. Senate,,Bob Casey Jr.,DEM,187,,,Indiana County,BLACKLICK
Indiana,BLAIRSVILLE 1,U.S. Senate,,Bob Casey Jr.,DEM,193,,,Indiana County,BLAIRSVILLE 1
Indiana,BLAIRSVILLE 2,U.S. Senate,,Bob Casey Jr.,DEM,191,,,Indiana County,BLAIRSVILLE 2
Indiana,BLAIRSVILLE 3,U.S. Senate,,Bob Casey Jr.,DEM,223,,,Indiana County,BLAIRSVILLE 3
Indiana,BRUSH VALLEY,U.S. Senate,,Bob Casey Jr.,DEM,231,,,Indiana County,BRUSH VALLEY
Indiana,BUFFINGTON 1,U.S. Senate,,Bob Casey Jr.,DEM,129,,,Indiana County,BUFFINGTON 1
Indiana,BUFFINGTON 2,U.S. Senate,,Bob Casey Jr.,DEM,34,,,Indiana County,BUFFINGTON 2
Indiana,BURRELL 1,U.S. Senate,,Bob Casey Jr.,DEM,209,,,Indiana County,BURRELL 1
Indiana,BURRELL 2,U.S. Senate,,Bob Casey Jr.,DEM,291,,,Indiana County,BURRELL 2
Indiana,CANOE,U.S. Senate,,Bob Casey Jr.,DEM,138,,,Indiana County,CANOE
Indiana,CENTER 1,U.S. Senate,,Bob Casey Jr.,DEM,207,,,Indiana County,CENTER 1
Indiana,CENTER 2,U.S. Senate,,Bob Casey Jr.,DEM,238,,,Indiana County,CENTER 2
Indiana,CENTER 3,U.S. Senate,,Bob Casey Jr.,DEM,457,,,Indiana County,CENTER 3
Indiana,CHERRY TREE,U.S. Senate,,Bob Casey Jr.,DEM,36,,,Indiana County,CHERRY TREE
