county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Juniata,0001 BEALE,U.S. Senate,,Bob Casey Jr,DEM,78.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. Senate,,Lou Barletta,REP,200.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. Senate,,Neal Gale,GRN,3.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. Senate,,Dale R Kerns Jr,LIB,10.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. Senate,,Write In,,0.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. Senate,,Over Votes,,0.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. Senate,,Under Votes,,8.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Tom Wolf,DEM,80.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Scott R Wagner,REP,211.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Paul Glover,GRN,1.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Ken V Krawchuk,LIB,5.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Write In,,0.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Over Votes,,0.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,Governor,,Under Votes,,2.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. House,12.0,Marc Friedenberg,DEM,59.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. House,12.0,Tom Marino,REP,231.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. House,12.0,Write In,,0.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. House,12.0,Over Votes,,0.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,U.S. House,12.0,Under Votes,,9.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,State Senate,34.0,Ezra Nanes,DEM,68.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,State Senate,34.0,Jacob D Corman III,REP,223.0,,,Juniata County,0001 BEALE
Juniata,0001 BEALE,State Senate,34.0,Write In,,0.0,,,Juniata County,0001 BEALE
