county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. Senate,,"Bob Casey, Jr.",DEM,595.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. Senate,,Lou Barletta,REP,391.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. Senate,,Neal Gale,GRN,4.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. Senate,,"Dale R. Kerns, Jr.",LIB,4.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. Senate,,Write-ins,,0.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,Governor,,Wolf / Fetterman,DEM,623.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,Governor,,Wagner / Bartos,REP,346.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,Governor,,Glover / Bowser-Bostick,GRN,5.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,Governor,,Krawchuk / Smith,LIB,12.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,Governor,,Write-ins,,0.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. House,8.0,Matt Cartwright,DEM,590.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. House,8.0,John Chrin,REP,399.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,U.S. House,8.0,Write-ins,,3.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,State Senate,22.0,John P. Blake,DEM,612.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,State Senate,22.0,Frank Scavo,REP,368.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,State Senate,22.0,Write-ins,,3.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,State House,114.0,Sid Michaels Kavulich,DEM,538.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0001 WAVERLY TWP W-00 P-0,State House,114.0,Write-ins,,106.0,,,Lackawanna County,0001 WAVERLY TWP W-00 P-0
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. Senate,,"Bob Casey, Jr.",DEM,479.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. Senate,,Lou Barletta,REP,327.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. Senate,,Neal Gale,GRN,2.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. Senate,,"Dale R. Kerns, Jr.",LIB,6.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. Senate,,Write-ins,,0.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,Governor,,Wolf / Fetterman,DEM,552.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,Governor,,Wagner / Bartos,REP,253.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,Governor,,Glover / Bowser-Bostick,GRN,5.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,Governor,,Krawchuk / Smith,LIB,5.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,Governor,,Write-ins,,0.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. House,8.0,Matt Cartwright,DEM,536.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. House,8.0,John Chrin,REP,278.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,U.S. House,8.0,Write-ins,,2.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,State Senate,22.0,John P. Blake,DEM,561.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,State Senate,22.0,Frank Scavo,REP,252.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,State Senate,22.0,Write-ins,,1.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,State House,112.0,Kyle Mullins,DEM,525.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,State House,112.0,Ernest Lemoncelli,REP,287.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0002 ARCHBALD W-01 P-01,State House,112.0,Write-ins,,1.0,,,Lackawanna County,0002 ARCHBALD W-01 P-01
Lackawanna,0003 ARCHBALD W-01 P-02,U.S. Senate,,"Bob Casey, Jr.",DEM,563.0,,,Lackawanna County,0003 ARCHBALD W-01 P-02
