county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Lancaster,Lancaster City - 1st Ward,U.S. Senate,,Bob Casey Jr.,DEM,279.0,,,Lancaster County,Lancaster City - 1st Ward
Lancaster,Lancaster City - 2nd Ward - 1st Precinct,U.S. Senate,,Bob Casey Jr.,DEM,420.0,,,Lancaster County,Lancaster City - 2nd Ward - 1st Precinct
Lancaster,Lancaster City - 2nd Ward - 2nd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,408.0,,,Lancaster County,Lancaster City - 2nd Ward - 2nd Precinct
Lancaster,Lancaster City - 3rd Ward,U.S. Senate,,Bob Casey Jr.,DEM,360.0,,,Lancaster County,Lancaster City - 3rd Ward
Lancaster,Lancaster City - 4th Ward - 1st Precinct,U.S. Senate,,Bob Casey Jr.,DEM,169.0,,,Lancaster County,Lancaster City - 4th Ward - 1st Precinct
Lancaster,Lancaster City - 4th Ward - 2nd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,210.0,,,Lancaster County,Lancaster City - 4th Ward - 2nd Precinct
Lancaster,Lancaster City - 5th Ward - 1st Precinct,U.S. Senate,,Bob Casey Jr.,DEM,437.0,,,Lancaster County,Lancaster City - 5th Ward - 1st Precinct
Lancaster,Lancaster City - 5th Ward - 2nd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,306.0,,,Lancaster County,Lancaster City - 5th Ward - 2nd Precinct
Lancaster,Lancaster City - 5th Ward - 3rd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,395.0,,,Lancaster County,Lancaster City - 5th Ward - 3rd Precinct
Lancaster,Lancaster City - 6th Ward - 1st Precinct,U.S. Senate,,Bob Casey Jr.,DEM,381.0,,,Lancaster County,Lancaster City - 6th Ward - 1st Precinct
Lancaster,Lancaster City - 6th Ward - 2nd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,265.0,,,Lancaster County,Lancaster City - 6th Ward - 2nd Precinct
Lancaster,Lancaster City - 6th Ward - 3rd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,385.0,,,Lancaster County,Lancaster City - 6th Ward - 3rd Precinct
Lancaster,Lancaster City - 6th Ward - 4th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,421.0,,,Lancaster County,Lancaster City - 6th Ward - 4th Precinct
Lancaster,Lancaster City - 6th Ward - 5th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,405.0,,,Lancaster County,Lancaster City - 6th Ward - 5th Precinct
Lancaster,Lancaster City - 6th Ward - 6th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,197.0,,,Lancaster County,Lancaster City - 6th Ward - 6th Precinct
Lancaster,Lancaster City - 6th Ward - 7th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,421.0,,,Lancaster County,Lancaster City - 6th Ward - 7th Precinct
Lancaster,Lancaster City - 6th Ward - 8th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,374.0,,,Lancaster County,Lancaster City - 6th Ward - 8th Precinct
Lancaster,Lancaster City - 7th Ward - 1st Precinct,U.S. Senate,,Bob Casey Jr.,DEM,337.0,,,Lancaster County,Lancaster City - 7th Ward - 1st Precinct
Lancaster,Lancaster City - 7th Ward - 2nd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,340.0,,,Lancaster County,Lancaster City - 7th Ward - 2nd Precinct
Lancaster,Lancaster City - 7th Ward - 3rd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,210.0,,,Lancaster County,Lancaster City - 7th Ward - 3rd Precinct
Lancaster,Lancaster City - 7th Ward - 4th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,279.0,,,Lancaster County,Lancaster City - 7th Ward - 4th Precinct
Lancaster,Lancaster City - 7th Ward - 5th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,229.0,,,Lancaster County,Lancaster City - 7th Ward - 5th Precinct
Lancaster,Lancaster City - 7th Ward - 6th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,188.0,,,Lancaster County,Lancaster City - 7th Ward - 6th Precinct
Lancaster,Lancaster City - 7th Ward - 7th Precinct,U.S. Senate,,Bob Casey Jr.,DEM,301.0,,,Lancaster County,Lancaster City - 7th Ward - 7th Precinct
Lancaster,Lancaster City - 7th Ward - 8th Precinct (CV),U.S. Senate,,Bob Casey Jr.,DEM,99.0,,,Lancaster County,Lancaster City - 7th Ward - 8th Precinct (CV)
Lancaster,Lancaster City - 7th Ward - 8th Precinct (LS),U.S. Senate,,Bob Casey Jr.,DEM,156.0,,,Lancaster County,Lancaster City - 7th Ward - 8th Precinct (LS)
Lancaster,Lancaster City - 8th Ward - 1st Precinct,U.S. Senate,,Bob Casey Jr.,DEM,227.0,,,Lancaster County,Lancaster City - 8th Ward - 1st Precinct
Lancaster,Lancaster City - 8th Ward - 2nd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,215.0,,,Lancaster County,Lancaster City - 8th Ward - 2nd Precinct
Lancaster,Lancaster City - 8th Ward - 3rd Precinct,U.S. Senate,,Bob Casey Jr.,DEM,252.0,,,Lancaster County,Lancaster City - 8th Ward - 3rd Precinct
