county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Lawrence,0001 NEW CASTLE W1 D1,U.S. Senate,,Bob Casey Jr,DEM,146.0,,3.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. Senate,,Lou Barletta,REP,61.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. Senate,,Neal Gale,GRN,2.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. Senate,,Dale R Kerns Jr,LIB,2.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. Senate,,Write In,,0.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,Governor,,Tom Wolf,DEM,147.0,,3.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,Governor,,Scott R. Wagner,REP,60.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,Governor,,Paul Glover,GRN,5.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,Governor,,Ken V. Krawchuk,LIB,0.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,Governor,,Write In,,0.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. House,16.0,Ron Dinicola,DEM,139.0,,3.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. House,16.0,Mike Kelly,REP,71.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. House,16.0,Ebert G. Bill Beeman,LIB,3.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,U.S. House,16.0,Write In,,0.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,State House,9.0,Chris Sainato,DEM,159.0,,3.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,State House,9.0,Gregory Michalek,REP,51.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0001 NEW CASTLE W1 D1,State House,9.0,Write In,,1.0,,0.0,Lawrence County,0001 NEW CASTLE W1 D1
Lawrence,0002 NEW CASTLE W1 D2,U.S. Senate,,Bob Casey Jr,DEM,182.0,,8.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. Senate,,Lou Barletta,REP,103.0,,4.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. Senate,,Neal Gale,GRN,2.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. Senate,,Dale R Kerns Jr,LIB,1.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. Senate,,Write In,,0.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,Governor,,Tom Wolf,DEM,189.0,,9.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,Governor,,Scott R. Wagner,REP,98.0,,2.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,Governor,,Paul Glover,GRN,2.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,Governor,,Ken V. Krawchuk,LIB,2.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,Governor,,Write In,,0.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. House,16.0,Ron Dinicola,DEM,173.0,,8.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. House,16.0,Mike Kelly,REP,111.0,,4.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. House,16.0,Ebert G. Bill Beeman,LIB,5.0,,1.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,U.S. House,16.0,Write In,,1.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,State House,9.0,Chris Sainato,DEM,205.0,,8.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,State House,9.0,Gregory Michalek,REP,84.0,,4.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0002 NEW CASTLE W1 D2,State House,9.0,Write In,,0.0,,0.0,Lawrence County,0002 NEW CASTLE W1 D2
Lawrence,0003 NEW CASTLE W2 D1,U.S. Senate,,Bob Casey Jr,DEM,237.0,,16.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. Senate,,Lou Barletta,REP,98.0,,9.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. Senate,,Neal Gale,GRN,1.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. Senate,,Dale R Kerns Jr,LIB,4.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. Senate,,Write In,,0.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,Governor,,Tom Wolf,DEM,229.0,,14.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,Governor,,Scott R. Wagner,REP,107.0,,11.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,Governor,,Paul Glover,GRN,1.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,Governor,,Ken V. Krawchuk,LIB,4.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,Governor,,Write In,,0.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. House,16.0,Ron Dinicola,DEM,216.0,,12.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. House,16.0,Mike Kelly,REP,116.0,,13.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. House,16.0,Ebert G. Bill Beeman,LIB,6.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,U.S. House,16.0,Write In,,1.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,State House,9.0,Chris Sainato,DEM,256.0,,19.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,State House,9.0,Gregory Michalek,REP,84.0,,6.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0003 NEW CASTLE W2 D1,State House,9.0,Write In,,0.0,,0.0,Lawrence County,0003 NEW CASTLE W2 D1
Lawrence,0004 NEW CASTLE W2 D2,U.S. Senate,,Bob Casey Jr,DEM,251.0,,11.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. Senate,,Lou Barletta,REP,179.0,,8.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. Senate,,Neal Gale,GRN,6.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,2.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. Senate,,Write In,,0.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,Governor,,Tom Wolf,DEM,261.0,,11.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,Governor,,Scott R. Wagner,REP,174.0,,10.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,Governor,,Paul Glover,GRN,4.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,Governor,,Ken V. Krawchuk,LIB,1.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,Governor,,Write In,,0.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. House,16.0,Ron Dinicola,DEM,243.0,,9.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. House,16.0,Mike Kelly,REP,190.0,,11.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. House,16.0,Ebert G. Bill Beeman,LIB,4.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,U.S. House,16.0,Write In,,0.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,State House,9.0,Chris Sainato,DEM,279.0,,17.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,State House,9.0,Gregory Michalek,REP,156.0,,4.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0004 NEW CASTLE W2 D2,State House,9.0,Write In,,2.0,,0.0,Lawrence County,0004 NEW CASTLE W2 D2
Lawrence,0005 NEW CASTLE W2 D3,U.S. Senate,,Bob Casey Jr,DEM,224.0,,8.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. Senate,,Lou Barletta,REP,192.0,,9.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. Senate,,Neal Gale,GRN,1.0,,1.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. Senate,,Dale R Kerns Jr,LIB,6.0,,1.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. Senate,,Write In,,0.0,,0.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,Governor,,Tom Wolf,DEM,232.0,,8.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,Governor,,Scott R. Wagner,REP,191.0,,10.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,Governor,,Paul Glover,GRN,3.0,,0.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,Governor,,Ken V. Krawchuk,LIB,2.0,,0.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,Governor,,Write In,,0.0,,0.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. House,16.0,Ron Dinicola,DEM,211.0,,7.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. House,16.0,Mike Kelly,REP,210.0,,10.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. House,16.0,Ebert G. Bill Beeman,LIB,6.0,,2.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,U.S. House,16.0,Write In,,0.0,,0.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,State House,9.0,Chris Sainato,DEM,249.0,,10.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,State House,9.0,Gregory Michalek,REP,175.0,,9.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0005 NEW CASTLE W2 D3,State House,9.0,Write In,,0.0,,0.0,Lawrence County,0005 NEW CASTLE W2 D3
Lawrence,0006 NEW CASTLE W2 D4,U.S. Senate,,Bob Casey Jr,DEM,240.0,,10.0,Lawrence County,0006 NEW CASTLE W2 D4
Lawrence,0006 NEW CASTLE W2 D4,U.S. Senate,,Lou Barletta,REP,175.0,,8.0,Lawrence County,0006 NEW CASTLE W2 D4
Lawrence,0006 NEW CASTLE W2 D4,U.S. Senate,,Neal Gale,GRN,2.0,,1.0,Lawrence County,0006 NEW CASTLE W2 D4
Lawrence,0006 NEW CASTLE W2 D4,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,0.0,Lawrence County,0006 NEW CASTLE W2 D4
