county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,"BOB CASEY, JR",DEM,153,151.0,2.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,LOU BARLETTA,REP,153,150.0,3.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,"DALE R. KERNS, JR.",LIB,7,7.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. Senate,,Write-ins,,0,0.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,WOLF / FETTERMAN,DEM,166,162.0,4.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,WAGNER / BARTOS,REP,144,143.0,1.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,GLOVER / BOWSER-BOSTICK,GRN,0,0.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,KRAWCHUK / SMITH,LIB,5,5.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,Governor,,Write-ins,,0,0.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. House,9.0,DENNY WOLFF,DEM,161,158.0,3.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. House,9.0,DAN MEUSER,REP,153,151.0,2.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,U.S. House,9.0,Write-ins,,0,0.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,State Senate,48.0,LOIS HERR,DEM,130,128.0,2.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,State Senate,48.0,MIKE FOLMER,REP,180,177.0,3.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,State Senate,48.0,Write-ins,,0,0.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,State House,101.0,CESAR LIRIANO,DEM,142,140.0,2.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,State House,101.0,FRANK RYAN,REP,171,168.0,3.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0001 LEBANON 1ST WARD EAST,State House,101.0,Write-ins,,0,0.0,0.0,Lebanon County,0001 LEBANON 1ST WARD EAST
Lebanon,0002 LEBANON 1ST WARD MIDDLE,U.S. Senate,,"BOB CASEY, JR",DEM,112,111.0,1.0,Lebanon County,0002 LEBANON 1ST WARD MIDDLE
