county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Lehigh,Allentown 1st Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,352,,,Lehigh County,Allentown 1st Ward 1st District
Lehigh,Allentown 2nd Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,250,,,Lehigh County,Allentown 2nd Ward 1st District
Lehigh,Allentown 3rd Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,330,,,Lehigh County,Allentown 3rd Ward 1st District
Lehigh,Allentown 4th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,229,,,Lehigh County,Allentown 4th Ward 1st District
Lehigh,Allentown 5th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,285,,,Lehigh County,Allentown 5th Ward 1st District
Lehigh,Allentown 6th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,173,,,Lehigh County,Allentown 6th Ward 1st District
Lehigh,Allentown 6th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,251,,,Lehigh County,Allentown 6th Ward 2nd District
Lehigh,Allentown 7th Ward,U.S. Senate,,Bob Casey Jr,Dem,397,,,Lehigh County,Allentown 7th Ward
Lehigh,Allentown 8th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,165,,,Lehigh County,Allentown 8th Ward 1st District
Lehigh,Allentown 8th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,222,,,Lehigh County,Allentown 8th Ward 2nd District
Lehigh,Allentown 8th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,290,,,Lehigh County,Allentown 8th Ward 3rd District
Lehigh,Allentown 8th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,436,,,Lehigh County,Allentown 8th Ward 4th District
Lehigh,Allentown 8th Ward 5th District,U.S. Senate,,Bob Casey Jr,Dem,221,,,Lehigh County,Allentown 8th Ward 5th District
Lehigh,Allentown 8th Ward 6th District,U.S. Senate,,Bob Casey Jr,Dem,294,,,Lehigh County,Allentown 8th Ward 6th District
Lehigh,Allentown 8th Ward 7th District,U.S. Senate,,Bob Casey Jr,Dem,347,,,Lehigh County,Allentown 8th Ward 7th District
Lehigh,Allentown 9th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,321,,,Lehigh County,Allentown 9th Ward 1st District
Lehigh,Allentown 10th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,341,,,Lehigh County,Allentown 10th Ward 1st District
Lehigh,Allentown 10th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,261,,,Lehigh County,Allentown 10th Ward 3rd District
Lehigh,Allentown 10th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,274,,,Lehigh County,Allentown 10th Ward 4th District
Lehigh,Allentown 11th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,247,,,Lehigh County,Allentown 11th Ward 1st District
Lehigh,Allentown 11th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,305,,,Lehigh County,Allentown 11th Ward 2nd District
Lehigh,Allentown 11th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,381,,,Lehigh County,Allentown 11th Ward 3rd District
Lehigh,Allentown 11th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,754,,,Lehigh County,Allentown 11th Ward 4th District
Lehigh,Allentown 11th Ward 5th District,U.S. Senate,,Bob Casey Jr,Dem,310,,,Lehigh County,Allentown 11th Ward 5th District
Lehigh,Allentown 11th Ward 6th District,U.S. Senate,,Bob Casey Jr,Dem,499,,,Lehigh County,Allentown 11th Ward 6th District
Lehigh,Allentown 11th Ward 7th District,U.S. Senate,,Bob Casey Jr,Dem,370,,,Lehigh County,Allentown 11th Ward 7th District
Lehigh,Allentown 12th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,376,,,Lehigh County,Allentown 12th Ward 1st District
Lehigh,Allentown 12th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,471,,,Lehigh County,Allentown 12th Ward 2nd District
Lehigh,Allentown 12th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,341,,,Lehigh County,Allentown 12th Ward 3rd District
Lehigh,Allentown 12th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,331,,,Lehigh County,Allentown 12th Ward 4th District
Lehigh,Allentown 12th Ward 5th District,U.S. Senate,,Bob Casey Jr,Dem,339,,,Lehigh County,Allentown 12th Ward 5th District
Lehigh,Allentown 13th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,364,,,Lehigh County,Allentown 13th Ward 1st District
Lehigh,Allentown 13th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,292,,,Lehigh County,Allentown 13th Ward 2nd District
Lehigh,Allentown 13th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,350,,,Lehigh County,Allentown 13th Ward 3rd District
Lehigh,Allentown 13th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,243,,,Lehigh County,Allentown 13th Ward 4th District
Lehigh,Allentown 14th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,502,,,Lehigh County,Allentown 14th Ward 1st District
Lehigh,Allentown 14th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,512,,,Lehigh County,Allentown 14th Ward 2nd District
Lehigh,Allentown 15th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,369,,,Lehigh County,Allentown 15th Ward 1st District
Lehigh,Allentown 15th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,425,,,Lehigh County,Allentown 15th Ward 2nd District
Lehigh,Allentown 15th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,514,,,Lehigh County,Allentown 15th Ward 3rd District
Lehigh,Allentown 15th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,358,,,Lehigh County,Allentown 15th Ward 4th District
Lehigh,Allentown 16th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,407,,,Lehigh County,Allentown 16th Ward 1st District
Lehigh,Allentown 16th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,592,,,Lehigh County,Allentown 16th Ward 2nd District
Lehigh,Allentown 17th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,351,,,Lehigh County,Allentown 17th Ward 1st District
Lehigh,Allentown 17th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,394,,,Lehigh County,Allentown 17th Ward 2nd District
Lehigh,Allentown 17th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,418,,,Lehigh County,Allentown 17th Ward 3rd District
Lehigh,Allentown 17th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,1020,,,Lehigh County,Allentown 17th Ward 4th District
Lehigh,Allentown 18th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,422,,,Lehigh County,Allentown 18th Ward 1st District
Lehigh,Allentown 18th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,482,,,Lehigh County,Allentown 18th Ward 2nd District
Lehigh,Allentown 19th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,281,,,Lehigh County,Allentown 19th Ward 1st District
Lehigh,Allentown 19th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,510,,,Lehigh County,Allentown 19th Ward 2nd District
Lehigh,Allentown 19th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,277,,,Lehigh County,Allentown 19th Ward 3rd District
Lehigh,Allentown 19th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,308,,,Lehigh County,Allentown 19th Ward 4th District
Lehigh,Allentown 19th Ward 5th District,U.S. Senate,,Bob Casey Jr,Dem,388,,,Lehigh County,Allentown 19th Ward 5th District
Lehigh,Allentown 19th Ward 6th District,U.S. Senate,,Bob Casey Jr,Dem,628,,,Lehigh County,Allentown 19th Ward 6th District
Lehigh,Bethlehem 10th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,440,,,Lehigh County,Bethlehem 10th Ward 1st District
Lehigh,Bethlehem 11th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,341,,,Lehigh County,Bethlehem 11th Ward 1st District
Lehigh,Bethlehem 12th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,347,,,Lehigh County,Bethlehem 12th Ward 1st District
Lehigh,Bethlehem 12th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,367,,,Lehigh County,Bethlehem 12th Ward 2nd District
Lehigh,Bethlehem 13th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,571,,,Lehigh County,Bethlehem 13th Ward 1st District
Lehigh,Bethlehem 13th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,389,,,Lehigh County,Bethlehem 13th Ward 2nd District
Lehigh,Bethlehem 13th Ward 3rd District,U.S. Senate,,Bob Casey Jr,Dem,441,,,Lehigh County,Bethlehem 13th Ward 3rd District
Lehigh,Bethlehem 13th Ward 4th District,U.S. Senate,,Bob Casey Jr,Dem,541,,,Lehigh County,Bethlehem 13th Ward 4th District
Lehigh,Bethlehem 13th Ward 5th District,U.S. Senate,,Bob Casey Jr,Dem,415,,,Lehigh County,Bethlehem 13th Ward 5th District
Lehigh,Bethlehem 13th Ward 6th District,U.S. Senate,,Bob Casey Jr,Dem,314,,,Lehigh County,Bethlehem 13th Ward 6th District
Lehigh,Bethlehem 13th Ward 7th District,U.S. Senate,,Bob Casey Jr,Dem,384,,,Lehigh County,Bethlehem 13th Ward 7th District
Lehigh,Bethlehem 13th Ward 8th District,U.S. Senate,,Bob Casey Jr,Dem,377,,,Lehigh County,Bethlehem 13th Ward 8th District
Lehigh,Alburtis,U.S. Senate,,Bob Casey Jr,Dem,483,,,Lehigh County,Alburtis
Lehigh,Catasauqua 1st District,U.S. Senate,,Bob Casey Jr,Dem,404,,,Lehigh County,Catasauqua 1st District
Lehigh,Catasauqua 2nd District,U.S. Senate,,Bob Casey Jr,Dem,352,,,Lehigh County,Catasauqua 2nd District
Lehigh,Catasauqua 3rd District,U.S. Senate,,Bob Casey Jr,Dem,442,,,Lehigh County,Catasauqua 3rd District
Lehigh,Coopersburg,U.S. Senate,,Bob Casey Jr,Dem,556,,,Lehigh County,Coopersburg
Lehigh,Coplay 1st District,U.S. Senate,,Bob Casey Jr,Dem,309,,,Lehigh County,Coplay 1st District
Lehigh,Coplay 2nd District,U.S. Senate,,Bob Casey Jr,Dem,396,,,Lehigh County,Coplay 2nd District
Lehigh,Emmaus 1st District,U.S. Senate,,Bob Casey Jr,Dem,418,,,Lehigh County,Emmaus 1st District
Lehigh,Emmaus 2nd District,U.S. Senate,,Bob Casey Jr,Dem,411,,,Lehigh County,Emmaus 2nd District
Lehigh,Emmaus 3rd District,U.S. Senate,,Bob Casey Jr,Dem,472,,,Lehigh County,Emmaus 3rd District
Lehigh,Emmaus 4th District,U.S. Senate,,Bob Casey Jr,Dem,457,,,Lehigh County,Emmaus 4th District
Lehigh,Emmaus 5th District,U.S. Senate,,Bob Casey Jr,Dem,272,,,Lehigh County,Emmaus 5th District
Lehigh,Emmaus 6th District,U.S. Senate,,Bob Casey Jr,Dem,556,,,Lehigh County,Emmaus 6th District
Lehigh,Fountain Hill 1st District,U.S. Senate,,Bob Casey Jr,Dem,425,,,Lehigh County,Fountain Hill 1st District
Lehigh,Fountain Hill 2nd District,U.S. Senate,,Bob Casey Jr,Dem,348,,,Lehigh County,Fountain Hill 2nd District
Lehigh,Fountain Hill 3rd District,U.S. Senate,,Bob Casey Jr,Dem,339,,,Lehigh County,Fountain Hill 3rd District
Lehigh,Macungie,U.S. Senate,,Bob Casey Jr,Dem,741,,,Lehigh County,Macungie
Lehigh,Slatington 1st District,U.S. Senate,,Bob Casey Jr,Dem,169,,,Lehigh County,Slatington 1st District
Lehigh,Slatington 2nd District,U.S. Senate,,Bob Casey Jr,Dem,140,,,Lehigh County,Slatington 2nd District
Lehigh,Slatington 3rd District,U.S. Senate,,Bob Casey Jr,Dem,272,,,Lehigh County,Slatington 3rd District
Lehigh,Hanover,U.S. Senate,,Bob Casey Jr,Dem,303,,,Lehigh County,Hanover
Lehigh,Heidelberg,U.S. Senate,,Bob Casey Jr,Dem,520,,,Lehigh County,Heidelberg
Lehigh,Lower Macungie 1st District,U.S. Senate,,Bob Casey Jr,Dem,828,,,Lehigh County,Lower Macungie 1st District
Lehigh,Lower Macungie 2nd District,U.S. Senate,,Bob Casey Jr,Dem,1449,,,Lehigh County,Lower Macungie 2nd District
Lehigh,Lower Macungie 3rd District,U.S. Senate,,Bob Casey Jr,Dem,694,,,Lehigh County,Lower Macungie 3rd District
Lehigh,Lower Macungie 4th District,U.S. Senate,,Bob Casey Jr,Dem,672,,,Lehigh County,Lower Macungie 4th District
Lehigh,Lower Macungie 5th District,U.S. Senate,,Bob Casey Jr,Dem,555,,,Lehigh County,Lower Macungie 5th District
Lehigh,Lower Macungie 6th District,U.S. Senate,,Bob Casey Jr,Dem,1050,,,Lehigh County,Lower Macungie 6th District
Lehigh,Lower Macungie 7th District,U.S. Senate,,Bob Casey Jr,Dem,672,,,Lehigh County,Lower Macungie 7th District
Lehigh,Lower Macungie 8th District,U.S. Senate,,Bob Casey Jr,Dem,549,,,Lehigh County,Lower Macungie 8th District
Lehigh,Lower Macungie 9th District,U.S. Senate,,Bob Casey Jr,Dem,454,,,Lehigh County,Lower Macungie 9th District
Lehigh,Lower Macungie 10th District,U.S. Senate,,Bob Casey Jr,Dem,710,,,Lehigh County,Lower Macungie 10th District
Lehigh,Lower Milford,U.S. Senate,,Bob Casey Jr,Dem,782,,,Lehigh County,Lower Milford
Lehigh,Lowhill,U.S. Senate,,Bob Casey Jr,Dem,442,,,Lehigh County,Lowhill
Lehigh,Lynn New Tripoli District,U.S. Senate,,Bob Casey Jr,Dem,424,,,Lehigh County,Lynn New Tripoli District
Lehigh,Lynn Lynnville District,U.S. Senate,,Bob Casey Jr,Dem,125,,,Lehigh County,Lynn Lynnville District
Lehigh,Lynn Jacksonville District,U.S. Senate,,Bob Casey Jr,Dem,137,,,Lehigh County,Lynn Jacksonville District
Lehigh,North Whitehall 1st District,U.S. Senate,,Bob Casey Jr,Dem,769,,,Lehigh County,North Whitehall 1st District
Lehigh,North Whitehall 2nd District,U.S. Senate,,Bob Casey Jr,Dem,634,,,Lehigh County,North Whitehall 2nd District
Lehigh,North Whitehall 3rd District,U.S. Senate,,Bob Casey Jr,Dem,351,,,Lehigh County,North Whitehall 3rd District
Lehigh,North Whitehall 4th District,U.S. Senate,,Bob Casey Jr,Dem,463,,,Lehigh County,North Whitehall 4th District
Lehigh,North Whitehall 5th District,U.S. Senate,,Bob Casey Jr,Dem,407,,,Lehigh County,North Whitehall 5th District
Lehigh,North Whitehall 6th District,U.S. Senate,,Bob Casey Jr,Dem,375,,,Lehigh County,North Whitehall 6th District
Lehigh,Salisbury 1st Ward,U.S. Senate,,Bob Casey Jr,Dem,532,,,Lehigh County,Salisbury 1st Ward
Lehigh,Salisbury 2nd Ward,U.S. Senate,,Bob Casey Jr,Dem,598,,,Lehigh County,Salisbury 2nd Ward
Lehigh,Salisbury 3rd Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,273,,,Lehigh County,Salisbury 3rd Ward 1st District
Lehigh,Salisbury 3rd Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,301,,,Lehigh County,Salisbury 3rd Ward 2nd District
Lehigh,Salisbury 4th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,402,,,Lehigh County,Salisbury 4th Ward 1st District
Lehigh,Salisbury 4th Ward 2nd District,U.S. Senate,,Bob Casey Jr,Dem,249,,,Lehigh County,Salisbury 4th Ward 2nd District
Lehigh,Salisbury 5th Ward 1st District,U.S. Senate,,Bob Casey Jr,Dem,284,,,Lehigh County,Salisbury 5th Ward 1st District
