county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Luzerne,ASHLEY BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,307.0,,,Luzerne County,ASHLEY BORO W 01
Luzerne,ASHLEY BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,171.0,,,Luzerne County,ASHLEY BORO W 02
Luzerne,AVOCA BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,246.0,,,Luzerne County,AVOCA BORO W 01
Luzerne,AVOCA BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,216.0,,,Luzerne County,AVOCA BORO W 02
Luzerne,AVOCA BORO W 03,U.S. Senate,,"BOB CASEY, JR",DEM,228.0,,,Luzerne County,AVOCA BORO W 03
Luzerne,BEAR CREEK TWP D 01,U.S. Senate,,"BOB CASEY, JR",DEM,171.0,,,Luzerne County,BEAR CREEK TWP D 01
Luzerne,BEAR CREEK TWP D 02,U.S. Senate,,"BOB CASEY, JR",DEM,258.0,,,Luzerne County,BEAR CREEK TWP D 02
Luzerne,BEAR CREEK TWP D 03,U.S. Senate,,"BOB CASEY, JR",DEM,42.0,,,Luzerne County,BEAR CREEK TWP D 03
Luzerne,BEAR CREEK VLG BORO,U.S. Senate,,"BOB CASEY, JR",DEM,72.0,,,Luzerne County,BEAR CREEK VLG BORO
Luzerne,BLACK CREEK TWP D 01,U.S. Senate,,"BOB CASEY, JR",DEM,110.0,,,Luzerne County,BLACK CREEK TWP D 01
Luzerne,BLACK CREEK TWP D 02,U.S. Senate,,"BOB CASEY, JR",DEM,104.0,,,Luzerne County,BLACK CREEK TWP D 02
Luzerne,BUCK TWP,U.S. Senate,,"BOB CASEY, JR",DEM,52.0,,,Luzerne County,BUCK TWP
Luzerne,BUTLER TWP D 01,U.S. Senate,,"BOB CASEY, JR",DEM,328.0,,,Luzerne County,BUTLER TWP D 01
Luzerne,BUTLER TWP D 02,U.S. Senate,,"BOB CASEY, JR",DEM,351.0,,,Luzerne County,BUTLER TWP D 02
Luzerne,BUTLER TWP D 03,U.S. Senate,,"BOB CASEY, JR",DEM,348.0,,,Luzerne County,BUTLER TWP D 03
Luzerne,BUTLER TWP D 04,U.S. Senate,,"BOB CASEY, JR",DEM,175.0,,,Luzerne County,BUTLER TWP D 04
Luzerne,CONYNGHAM BORO,U.S. Senate,,"BOB CASEY, JR",DEM,330.0,,,Luzerne County,CONYNGHAM BORO
Luzerne,CONYNGHAM TWP,U.S. Senate,,"BOB CASEY, JR",DEM,153.0,,,Luzerne County,CONYNGHAM TWP
Luzerne,COURTDALE BORO,U.S. Senate,,"BOB CASEY, JR",DEM,132.0,,,Luzerne County,COURTDALE BORO
Luzerne,DALLAS BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,228.0,,,Luzerne County,DALLAS BORO W 01
Luzerne,DALLAS BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,325.0,,,Luzerne County,DALLAS BORO W 02
Luzerne,DALLAS TWP D 01,U.S. Senate,,"BOB CASEY, JR",DEM,362.0,,,Luzerne County,DALLAS TWP D 01
Luzerne,DALLAS TWP D 02,U.S. Senate,,"BOB CASEY, JR",DEM,569.0,,,Luzerne County,DALLAS TWP D 02
Luzerne,DALLAS TWP D 03,U.S. Senate,,"BOB CASEY, JR",DEM,551.0,,,Luzerne County,DALLAS TWP D 03
Luzerne,DENNISON TWP,U.S. Senate,,"BOB CASEY, JR",DEM,144.0,,,Luzerne County,DENNISON TWP
Luzerne,DORRANCE TWP,U.S. Senate,,"BOB CASEY, JR",DEM,313.0,,,Luzerne County,DORRANCE TWP
Luzerne,DUPONT BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,414.0,,,Luzerne County,DUPONT BORO W 01
Luzerne,DUPONT BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,191.0,,,Luzerne County,DUPONT BORO W 02
Luzerne,DURYEA BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,312.0,,,Luzerne County,DURYEA BORO W 01
Luzerne,DURYEA BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,493.0,,,Luzerne County,DURYEA BORO W 02
Luzerne,DURYEA BORO W 03,U.S. Senate,,"BOB CASEY, JR",DEM,266.0,,,Luzerne County,DURYEA BORO W 03
Luzerne,EDWARDSVILLE BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,334.0,,,Luzerne County,EDWARDSVILLE BORO W 01
Luzerne,EDWARDSVILLE BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,293.0,,,Luzerne County,EDWARDSVILLE BORO W 02
Luzerne,EXETER BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,248.0,,,Luzerne County,EXETER BORO W 01
Luzerne,EXETER BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,352.0,,,Luzerne County,EXETER BORO W 02
Luzerne,EXETER BORO W 03,U.S. Senate,,"BOB CASEY, JR",DEM,544.0,,,Luzerne County,EXETER BORO W 03
Luzerne,EXETER TWP,U.S. Senate,,"BOB CASEY, JR",DEM,351.0,,,Luzerne County,EXETER TWP
Luzerne,FAIRMOUNT TWP,U.S. Senate,,"BOB CASEY, JR",DEM,138.0,,,Luzerne County,FAIRMOUNT TWP
Luzerne,FAIRVIEW TWP,U.S. Senate,,"BOB CASEY, JR",DEM,902.0,,,Luzerne County,FAIRVIEW TWP
Luzerne,FORTY FORT BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,401.0,,,Luzerne County,FORTY FORT BORO W 01
Luzerne,FORTY FORT BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,335.0,,,Luzerne County,FORTY FORT BORO W 02
Luzerne,FORTY FORT BORO W 03,U.S. Senate,,"BOB CASEY, JR",DEM,319.0,,,Luzerne County,FORTY FORT BORO W 03
Luzerne,FOSTER TWP D 01,U.S. Senate,,"BOB CASEY, JR",DEM,152.0,,,Luzerne County,FOSTER TWP D 01
Luzerne,FOSTER TWP D 02,U.S. Senate,,"BOB CASEY, JR",DEM,139.0,,,Luzerne County,FOSTER TWP D 02
Luzerne,FRANKLIN TWP,U.S. Senate,,"BOB CASEY, JR",DEM,247.0,,,Luzerne County,FRANKLIN TWP
Luzerne,FREELAND BORO W 01,U.S. Senate,,"BOB CASEY, JR",DEM,149.0,,,Luzerne County,FREELAND BORO W 01
Luzerne,FREELAND BORO W 02,U.S. Senate,,"BOB CASEY, JR",DEM,191.0,,,Luzerne County,FREELAND BORO W 02
Luzerne,HANOVER TWP W 01,U.S. Senate,,"BOB CASEY, JR",DEM,250.0,,,Luzerne County,HANOVER TWP W 01
Luzerne,HANOVER TWP W 02,U.S. Senate,,"BOB CASEY, JR",DEM,280.0,,,Luzerne County,HANOVER TWP W 02
Luzerne,HANOVER TWP W 03,U.S. Senate,,"BOB CASEY, JR",DEM,449.0,,,Luzerne County,HANOVER TWP W 03
Luzerne,HANOVER TWP W 04,U.S. Senate,,"BOB CASEY, JR",DEM,268.0,,,Luzerne County,HANOVER TWP W 04
Luzerne,HANOVER TWP W 05,U.S. Senate,,"BOB CASEY, JR",DEM,255.0,,,Luzerne County,HANOVER TWP W 05
Luzerne,HANOVER TWP W 06,U.S. Senate,,"BOB CASEY, JR",DEM,143.0,,,Luzerne County,HANOVER TWP W 06
Luzerne,HARVEYS LAKE BORO,U.S. Senate,,"BOB CASEY, JR",DEM,467.0,,,Luzerne County,HARVEYS LAKE BORO
Luzerne,HAZLE TWP D 01,U.S. Senate,,"BOB CASEY, JR",DEM,184.0,,,Luzerne County,HAZLE TWP D 01
Luzerne,HAZLE TWP D 02,U.S. Senate,,"BOB CASEY, JR",DEM,273.0,,,Luzerne County,HAZLE TWP D 02
Luzerne,HAZLE TWP D 03,U.S. Senate,,"BOB CASEY, JR",DEM,141.0,,,Luzerne County,HAZLE TWP D 03
Luzerne,HAZLE TWP D 04,U.S. Senate,,"BOB CASEY, JR",DEM,225.0,,,Luzerne County,HAZLE TWP D 04
Luzerne,HAZLE TWP D 05,U.S. Senate,,"BOB CASEY, JR",DEM,139.0,,,Luzerne County,HAZLE TWP D 05
Luzerne,HAZLETON CITY W 01,U.S. Senate,,"BOB CASEY, JR",DEM,304.0,,,Luzerne County,HAZLETON CITY W 01
Luzerne,HAZLETON CITY W 02,U.S. Senate,,"BOB CASEY, JR",DEM,181.0,,,Luzerne County,HAZLETON CITY W 02
Luzerne,HAZLETON CITY W 03,U.S. Senate,,"BOB CASEY, JR",DEM,198.0,,,Luzerne County,HAZLETON CITY W 03
Luzerne,HAZLETON CITY W 04,U.S. Senate,,"BOB CASEY, JR",DEM,141.0,,,Luzerne County,HAZLETON CITY W 04
Luzerne,HAZLETON CITY W 05,U.S. Senate,,"BOB CASEY, JR",DEM,155.0,,,Luzerne County,HAZLETON CITY W 05
Luzerne,HAZLETON CITY W 06,U.S. Senate,,"BOB CASEY, JR",DEM,228.0,,,Luzerne County,HAZLETON CITY W 06
Luzerne,HAZLETON CITY W 07,U.S. Senate,,"BOB CASEY, JR",DEM,247.0,,,Luzerne County,HAZLETON CITY W 07
Luzerne,HAZLETON CITY W 08,U.S. Senate,,"BOB CASEY, JR",DEM,221.0,,,Luzerne County,HAZLETON CITY W 08
Luzerne,HAZLETON CITY W 09,U.S. Senate,,"BOB CASEY, JR",DEM,238.0,,,Luzerne County,HAZLETON CITY W 09
Luzerne,HAZLETON CITY W 10,U.S. Senate,,"BOB CASEY, JR",DEM,157.0,,,Luzerne County,HAZLETON CITY W 10
Luzerne,HAZLETON CITY W 11,U.S. Senate,,"BOB CASEY, JR",DEM,241.0,,,Luzerne County,HAZLETON CITY W 11
Luzerne,HOLLENBACK TWP,U.S. Senate,,"BOB CASEY, JR",DEM,114.0,,,Luzerne County,HOLLENBACK TWP
Luzerne,HUGHESTOWN BORO,U.S. Senate,,"BOB CASEY, JR",DEM,348.0,,,Luzerne County,HUGHESTOWN BORO
Luzerne,HUNLOCK TWP,U.S. Senate,,"BOB CASEY, JR",DEM,255.0,,,Luzerne County,HUNLOCK TWP
Luzerne,HUNTINGTON TWP,U.S. Senate,,"BOB CASEY, JR",DEM,227.0,,,Luzerne County,HUNTINGTON TWP
Luzerne,JACKSON TWP,U.S. Senate,,"BOB CASEY, JR",DEM,490.0,,,Luzerne County,JACKSON TWP
