county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Lycoming,0100 ANTHONY TOWNSHIP,U.S. Senate,,Bob Casey Jr,DEM,65,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. Senate,,Lou Barletta,REP,314,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. Senate,,Neal Gale,GRN,3,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. Senate,,Dale R Kerns Jr,LIB,4,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. Senate,,Write In Votes,,0,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,Governor,,Tom Wolf,DEM,74,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,Governor,,Scott R. Wagner,REP,309,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,Governor,,Paul Glover,GRN,1,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,Governor,,Ken V. Krawchuk,LIB,5,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,Governor,,Write In Votes,,0,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. House,12.0,Marc Friedenberg,DEM,52,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. House,12.0,Tom Marino,REP,334,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,U.S. House,12.0,Write In Votes,,0,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,State House,84.0,Linda Kay Sosniak,DEM,47,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,State House,84.0,Garth Everett,REP,343,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,State House,84.0,Write In Votes,,0,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,State House,83.0,Airneezer Page,DEM,,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,State House,83.0,Jeff Wheeland,REP,,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0100 ANTHONY TOWNSHIP,State House,83.0,Write In Votes,,,,,Lycoming County,0100 ANTHONY TOWNSHIP
Lycoming,0200 ARMSTRONG TOWNSHIP,U.S. Senate,,Bob Casey Jr,DEM,61,,,Lycoming County,0200 ARMSTRONG TOWNSHIP
Lycoming,0200 ARMSTRONG TOWNSHIP,U.S. Senate,,Lou Barletta,REP,201,,,Lycoming County,0200 ARMSTRONG TOWNSHIP
Lycoming,0200 ARMSTRONG TOWNSHIP,U.S. Senate,,Neal Gale,GRN,4,,,Lycoming County,0200 ARMSTRONG TOWNSHIP
