county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
McKean,0001 ANNIN TOWNSHIP,U.S. Senate,,BOB CASEY JR,DEM,51,50.0,1.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,179,173.0,6.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,2,2.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. Senate,,DALE R KERNS JR,LIB,2,2.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. Senate,,Write-ins,,0,0.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,Governor,,TOM WOLF,DEM,49,48.0,1.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,Governor,,SCOTT R WAGNER,REP,184,178.0,6.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,Governor,,PAUL GLOVER,GRN,3,3.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,Governor,,KEN V KRAWCHUK,LIB,0,0.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,Governor,,Write-ins,,0,0.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. House,15.0,SUSAN BOSER,DEM,37,36.0,1.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. House,15.0,GLENN GT THOMPSON,REP,198,192.0,6.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,U.S. House,15.0,Write-ins,,0,0.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,State House,67.0,MARYANNE COLE,DEM,27,26.0,1.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,State House,67.0,MARTIN T CAUSER,REP,207,201.0,6.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0001 ANNIN TOWNSHIP,State House,67.0,Write-ins,,0,0.0,0.0,McKean County,0001 ANNIN TOWNSHIP
McKean,0002 BRADFORD CITY-1ST WARD,U.S. Senate,,BOB CASEY JR,DEM,46,46.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. Senate,,LOU BARLETTA,REP,42,42.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. Senate,,NEAL GALE,GRN,2,2.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. Senate,,DALE R KERNS JR,LIB,1,1.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. Senate,,Write-ins,,0,0.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,Governor,,TOM WOLF,DEM,46,46.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,Governor,,SCOTT R WAGNER,REP,43,43.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,Governor,,PAUL GLOVER,GRN,2,2.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,Governor,,KEN V KRAWCHUK,LIB,2,2.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,Governor,,Write-ins,,0,0.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. House,15.0,SUSAN BOSER,DEM,49,49.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. House,15.0,GLENN GT THOMPSON,REP,44,44.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,U.S. House,15.0,Write-ins,,1,1.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,State House,67.0,MARYANNE COLE,DEM,38,38.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,State House,67.0,MARTIN T CAUSER,REP,56,56.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0002 BRADFORD CITY-1ST WARD,State House,67.0,Write-ins,,0,0.0,0.0,McKean County,0002 BRADFORD CITY-1ST WARD
McKean,0003 BRADFORD CITY-2ND WARD,U.S. Senate,,BOB CASEY JR,DEM,120,116.0,4.0,McKean County,0003 BRADFORD CITY-2ND WARD
McKean,0003 BRADFORD CITY-2ND WARD,U.S. Senate,,LOU BARLETTA,REP,153,153.0,0.0,McKean County,0003 BRADFORD CITY-2ND WARD
McKean,0003 BRADFORD CITY-2ND WARD,U.S. Senate,,NEAL GALE,GRN,1,1.0,0.0,McKean County,0003 BRADFORD CITY-2ND WARD
McKean,0003 BRADFORD CITY-2ND WARD,U.S. Senate,,DALE R KERNS JR,LIB,6,5.0,1.0,McKean County,0003 BRADFORD CITY-2ND WARD
McKean,0003 BRADFORD CITY-2ND WARD,U.S. Senate,,Write-ins,,0,0.0,0.0,McKean County,0003 BRADFORD CITY-2ND WARD
