county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Mercer,0101 CLARK,U.S. Senate,,BOB CASEY JR.,DEM,115.0,114.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. Senate,,LOU BARLETTA,REP,134.0,133.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. Senate,,NEAL GALE,GRN,1.0,1.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. Senate,,DALE R. KERNS JR.,LIB,2.0,2.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. Senate,,Write-ins,,0.0,0.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,Governor,,WOLF / FETTERMAN,DEM,115.0,114.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,Governor,,WAGNER / BARTOS,REP,134.0,133.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,Governor,,GLOVER / BOWSER-BOSTICK,GRN,0.0,0.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,Governor,,KRAWCHUK / SMITH,LIB,4.0,4.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,Governor,,Write-ins,,0.0,0.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. House,16.0,RON DINICOLA,DEM,119.0,118.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. House,16.0,MIKE KELLY,REP,131.0,130.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. House,16.0,EBERT G. BILL BEEMAN,LIB,4.0,4.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,U.S. House,16.0,Write-ins,,0.0,0.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,State Senate,50.0,SUE MULVEY,DEM,97.0,96.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,State Senate,50.0,MICHELE BROOKS,REP,155.0,154.0,1.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,State Senate,50.0,Write-ins,,0.0,0.0,0.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,State House,7.0,MARK LONGIETTI,DEM,246.0,244.0,2.0,Mercer County,0101 CLARK
Mercer,0101 CLARK,State House,7.0,Write-ins,,1.0,1.0,0.0,Mercer County,0101 CLARK
Mercer,0201 COOLSPRING,U.S. Senate,,BOB CASEY JR.,DEM,271.0,257.0,14.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,U.S. Senate,,LOU BARLETTA,REP,580.0,553.0,27.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,U.S. Senate,,NEAL GALE,GRN,3.0,3.0,0.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,U.S. Senate,,DALE R. KERNS JR.,LIB,13.0,13.0,0.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,U.S. Senate,,Write-ins,,0.0,0.0,0.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,Governor,,WOLF / FETTERMAN,DEM,275.0,262.0,13.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,Governor,,WAGNER / BARTOS,REP,569.0,543.0,26.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,Governor,,GLOVER / BOWSER-BOSTICK,GRN,6.0,6.0,0.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,Governor,,KRAWCHUK / SMITH,LIB,17.0,15.0,2.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,Governor,,Write-ins,,0.0,0.0,0.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,U.S. House,16.0,RON DINICOLA,DEM,256.0,244.0,12.0,Mercer County,0201 COOLSPRING
Mercer,0201 COOLSPRING,U.S. House,16.0,MIKE KELLY,REP,595.0,567.0,28.0,Mercer County,0201 COOLSPRING
