county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Mifflin,0001 ARMAGH - EAST,U.S. Senate,,Bob Casey Jr,DEM,98.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. Senate,,Lou Barletta,REP,310.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. Senate,,Neal Gale,GRN,3.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. Senate,,Dale R Kerns Jr,LIB,2.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. Senate,,Write-ins,,0.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,Governor,,"Tom Wolf, Governor",DEM,101.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,Governor,,"Scott R Wagner, Governor",REP,307.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,Governor,,"Paul Glover, Governor",GRN,3.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,Governor,,"Ken V Krawchuk, Governor",LIB,1.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,Governor,,Write-ins,,0.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. House,12.0,Marc Friedenberg,DEM,61.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. House,12.0,Tom Marino,REP,346.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,U.S. House,12.0,Write-ins,,0.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,State Senate,34.0,Ezra Nanes,DEM,67.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,State Senate,34.0,Jacob D Corman III,REP,340.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,State Senate,34.0,Write-ins,,0.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,State House,171.0,Erin McCracken,DEM,55.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,State House,171.0,Kerry A Benninghoff,REP,356.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0001 ARMAGH - EAST,State House,171.0,Write-ins,,0.0,,,Mifflin County,0001 ARMAGH - EAST
Mifflin,0002 ARMAGH - WEST,U.S. Senate,,Bob Casey Jr,DEM,238.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. Senate,,Lou Barletta,REP,589.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. Senate,,Neal Gale,GRN,6.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. Senate,,Dale R Kerns Jr,LIB,12.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. Senate,,Write-ins,,0.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,Governor,,"Tom Wolf, Governor",DEM,248.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,Governor,,"Scott R Wagner, Governor",REP,584.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,Governor,,"Paul Glover, Governor",GRN,4.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,Governor,,"Ken V Krawchuk, Governor",LIB,9.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,Governor,,Write-ins,,0.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. House,12.0,Marc Friedenberg,DEM,181.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. House,12.0,Tom Marino,REP,665.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,U.S. House,12.0,Write-ins,,0.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,State Senate,34.0,Ezra Nanes,DEM,180.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,State Senate,34.0,Jacob D Corman III,REP,666.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,State Senate,34.0,Write-ins,,1.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,State House,171.0,Erin McCracken,DEM,145.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,State House,171.0,Kerry A Benninghoff,REP,704.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0002 ARMAGH - WEST,State House,171.0,Write-ins,,0.0,,,Mifflin County,0002 ARMAGH - WEST
Mifflin,0003 BRATTON,U.S. Senate,,Bob Casey Jr,DEM,65.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. Senate,,Lou Barletta,REP,356.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. Senate,,Neal Gale,GRN,2.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. Senate,,Dale R Kerns Jr,LIB,3.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. Senate,,Write-ins,,0.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,Governor,,"Tom Wolf, Governor",DEM,77.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,Governor,,"Scott R Wagner, Governor",REP,340.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,Governor,,"Paul Glover, Governor",GRN,4.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,Governor,,"Ken V Krawchuk, Governor",LIB,5.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,Governor,,Write-ins,,0.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. House,12.0,Marc Friedenberg,DEM,48.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. House,12.0,Tom Marino,REP,373.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,U.S. House,12.0,Write-ins,,0.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,State Senate,34.0,Ezra Nanes,DEM,46.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,State Senate,34.0,Jacob D Corman III,REP,380.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,State Senate,34.0,Write-ins,,0.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,State House,82.0,John Hershey,REP,372.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,State House,82.0,Elizabeth Book,NOA,39.0,,,Mifflin County,0003 BRATTON
Mifflin,0003 BRATTON,State House,82.0,Write-ins,,2.0,,,Mifflin County,0003 BRATTON
Mifflin,0004 BROWN - REEDSVILLE/BIG VA,U.S. Senate,,Bob Casey Jr,DEM,243.0,,,Mifflin County,0004 BROWN - REEDSVILLE/BIG VA
Mifflin,0004 BROWN - REEDSVILLE/BIG VA,U.S. Senate,,Lou Barletta,REP,610.0,,,Mifflin County,0004 BROWN - REEDSVILLE/BIG VA
Mifflin,0004 BROWN - REEDSVILLE/BIG VA,U.S. Senate,,Neal Gale,GRN,5.0,,,Mifflin County,0004 BROWN - REEDSVILLE/BIG VA
Mifflin,0004 BROWN - REEDSVILLE/BIG VA,U.S. Senate,,Dale R Kerns Jr,LIB,7.0,,,Mifflin County,0004 BROWN - REEDSVILLE/BIG VA
Mifflin,0004 BROWN - REEDSVILLE/BIG VA,U.S. Senate,,Write-ins,,0.0,,,Mifflin County,0004 BROWN - REEDSVILLE/BIG VA
