county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Monroe,Barrett One,U.S. Senate,,Bob Casey Jr.,DEM,278,,,Monroe County,Barrett One
Monroe,Barrett Two,U.S. Senate,,Bob Casey Jr.,DEM,522,,,Monroe County,Barrett Two
Monroe,Chestnuthill One,U.S. Senate,,Bob Casey Jr.,DEM,879,,,Monroe County,Chestnuthill One
Monroe,Chestnuthill Two,U.S. Senate,,Bob Casey Jr.,DEM,770,,,Monroe County,Chestnuthill Two
Monroe,Chestnuthill Three,U.S. Senate,,Bob Casey Jr.,DEM,438,,,Monroe County,Chestnuthill Three
Monroe,Chestnuthill Four,U.S. Senate,,Bob Casey Jr.,DEM,511,,,Monroe County,Chestnuthill Four
Monroe,Coolbaugh One,U.S. Senate,,Bob Casey Jr.,DEM,623,,,Monroe County,Coolbaugh One
Monroe,Coolbaugh Two,U.S. Senate,,Bob Casey Jr.,DEM,513,,,Monroe County,Coolbaugh Two
Monroe,Coolbaugh Three,U.S. Senate,,Bob Casey Jr.,DEM,1356,,,Monroe County,Coolbaugh Three
Monroe,Coolbaugh Four,U.S. Senate,,Bob Casey Jr.,DEM,992,,,Monroe County,Coolbaugh Four
Monroe,Delaware Water Gap,U.S. Senate,,Bob Casey Jr.,DEM,194,,,Monroe County,Delaware Water Gap
Monroe,East Stroudsburg First Ward,U.S. Senate,,Bob Casey Jr.,DEM,244,,,Monroe County,East Stroudsburg First Ward
Monroe,East Stroudsburg Second Ward,U.S. Senate,,Bob Casey Jr.,DEM,566,,,Monroe County,East Stroudsburg Second Ward
Monroe,East Stroudsburg Third Ward,U.S. Senate,,Bob Casey Jr.,DEM,151,,,Monroe County,East Stroudsburg Third Ward
Monroe,East Stroudsburg Fourth Ward,U.S. Senate,,Bob Casey Jr.,DEM,330,,,Monroe County,East Stroudsburg Fourth Ward
Monroe,East Stroudsburg Fifth Ward,U.S. Senate,,Bob Casey Jr.,DEM,277,,,Monroe County,East Stroudsburg Fifth Ward
Monroe,East Stroudsburg Sixth Ward,U.S. Senate,,Bob Casey Jr.,DEM,290,,,Monroe County,East Stroudsburg Sixth Ward
Monroe,Eldred,U.S. Senate,,Bob Casey Jr.,DEM,365,,,Monroe County,Eldred
Monroe,Hamilton Northern,U.S. Senate,,Bob Casey Jr.,DEM,952,,,Monroe County,Hamilton Northern
Monroe,Hamilton Southern,U.S. Senate,,Bob Casey Jr.,DEM,648,,,Monroe County,Hamilton Southern
Monroe,Jackson,U.S. Senate,,Bob Casey Jr.,DEM,1215,,,Monroe County,Jackson
Monroe,Middle Smithfield Eastern,U.S. Senate,,Bob Casey Jr.,DEM,1528,,,Monroe County,Middle Smithfield Eastern
Monroe,Middle Smithfield Western,U.S. Senate,,Bob Casey Jr.,DEM,1275,,,Monroe County,Middle Smithfield Western
Monroe,Mount Pocono,U.S. Senate,,Bob Casey Jr.,DEM,567,,,Monroe County,Mount Pocono
Monroe,Paradise,U.S. Senate,,Bob Casey Jr.,DEM,588,,,Monroe County,Paradise
Monroe,Pocono One,U.S. Senate,,Bob Casey Jr.,DEM,394,,,Monroe County,Pocono One
Monroe,Pocono Two,U.S. Senate,,Bob Casey Jr.,DEM,482,,,Monroe County,Pocono Two
Monroe,Pocono Three,U.S. Senate,,Bob Casey Jr.,DEM,604,,,Monroe County,Pocono Three
Monroe,Pocono Four,U.S. Senate,,Bob Casey Jr.,DEM,640,,,Monroe County,Pocono Four
Monroe,Polk,U.S. Senate,,Bob Casey Jr.,DEM,992,,,Monroe County,Polk
Monroe,Price,U.S. Senate,,Bob Casey Jr.,DEM,676,,,Monroe County,Price
Monroe,Ross,U.S. Senate,,Bob Casey Jr.,DEM,816,,,Monroe County,Ross
Monroe,Smithfield One,U.S. Senate,,Bob Casey Jr.,DEM,124,,,Monroe County,Smithfield One
