county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Montgomery,Ambler 1,U.S. Senate,,BOB CASEY JR,DEM,724.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. Senate,,LOU BARLETTA,REP,274.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. Senate,,NEAL GALE,GRN,13.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. Senate,,DALE R KERNS JR,LIB,11.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. Senate,,Write-ins,,0.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,Governor,,TOM WOLF/JOHN FETTERMAN,DEM,741.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,Governor,,SCOTT R. WAGNER/JEFF BARTOS,REP,266.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,Governor,,PAUL GLOVER/J. BOWSER-BOSTICK,GRN,8.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,Governor,,KEN V. KRAWCHUK/K.S. SMITH,LIB,5.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,Governor,,Write-ins,,0.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. House,4.0,MADELEINE DEAN,DEM,719.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. House,4.0,DAN DAVID,REP,291.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,U.S. House,4.0,Write-ins,,0.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,State Senate,12.0,MARIA COLLETT,DEM,690.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,State Senate,12.0,STEWART GREENLEAF JR,REP,326.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,State Senate,12.0,Write-ins,,0.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,State House,148.0,MARY JO DALEY,DEM,761.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,State House,148.0,,REP,0.0,,,Montgomery County,Ambler 1
Montgomery,Ambler 1,State House,148.0,Write-ins,,3.0,,,Montgomery County,Ambler 1
