county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Montour,0001 Anthony TWP,U.S. Senate,,Bob Casey Jr.,DEM,152.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,U.S. Senate,,Lou Barletta,REP,359.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,U.S. Senate,,Neal Gale,GRN,5.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,U.S. Senate,,Dale R. Kerns Jr.,LIB,5.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,Governor,,Wolf / Fetterman,DEM,168.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,Governor,,Wagner / Bartos,REP,341.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,Governor,,Glover / Bowser Bostick,GRN,3.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,Governor,,Krawchuk / Smith,LIB,7.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,U.S. House,9.0,Denny Wolff,DEM,171.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,U.S. House,9.0,Dan Meuser,REP,349.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,State House,107.0,Sarah Donnelly,DEM,127.0,,,Montour County,0001 Anthony TWP
Montour,0001 Anthony TWP,State House,107.0,Kurt A. Masser,REP,392.0,,,Montour County,0001 Anthony TWP
Montour,0002 Cooper TWP,U.S. Senate,,Bob Casey Jr.,DEM,138.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,U.S. Senate,,Lou Barletta,REP,253.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,U.S. Senate,,Neal Gale,GRN,2.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,U.S. Senate,,Dale R. Kerns Jr.,LIB,5.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,Governor,,Wolf / Fetterman,DEM,153.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,Governor,,Wagner / Bartos,REP,232.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,Governor,,Glover / Bowser Bostick,GRN,3.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,Governor,,Krawchuk / Smith,LIB,7.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,U.S. House,9.0,Denny Wolff,DEM,152.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,U.S. House,9.0,Dan Meuser,REP,245.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,State House,107.0,Sarah Donnelly,DEM,110.0,,,Montour County,0002 Cooper TWP
Montour,0002 Cooper TWP,State House,107.0,Kurt A. Masser,REP,281.0,,,Montour County,0002 Cooper TWP
Montour,0003 Danville Boro First,U.S. Senate,,Bob Casey Jr.,DEM,227.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,U.S. Senate,,Lou Barletta,REP,137.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,U.S. Senate,,Neal Gale,GRN,5.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,U.S. Senate,,Dale R. Kerns Jr.,LIB,5.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,Governor,,Wolf / Fetterman,DEM,237.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,Governor,,Wagner / Bartos,REP,125.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,Governor,,Glover / Bowser Bostick,GRN,7.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,Governor,,Krawchuk / Smith,LIB,5.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,U.S. House,9.0,Denny Wolff,DEM,228.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,U.S. House,9.0,Dan Meuser,REP,141.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,State House,107.0,Sarah Donnelly,DEM,185.0,,,Montour County,0003 Danville Boro First
Montour,0003 Danville Boro First,State House,107.0,Kurt A. Masser,REP,184.0,,,Montour County,0003 Danville Boro First
Montour,0004 Danville Boro Second,U.S. Senate,,Bob Casey Jr.,DEM,187.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,U.S. Senate,,Lou Barletta,REP,204.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,U.S. Senate,,Neal Gale,GRN,4.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,U.S. Senate,,Dale R. Kerns Jr.,LIB,2.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,Governor,,Wolf / Fetterman,DEM,207.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,Governor,,Wagner / Bartos,REP,184.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,Governor,,Glover / Bowser Bostick,GRN,2.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,Governor,,Krawchuk / Smith,LIB,4.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,U.S. House,9.0,Denny Wolff,DEM,195.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,U.S. House,9.0,Dan Meuser,REP,200.0,,,Montour County,0004 Danville Boro Second
Montour,0004 Danville Boro Second,State House,107.0,Sarah Donnelly,DEM,155.0,,,Montour County,0004 Danville Boro Second
