county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Northampton,ALLEN TOWNSHIP,U.S. Senate,,"Bob Casey, Jr.",Dem,983.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. Senate,,Lou Barletta,Rep,1154.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. Senate,,Neal Gale,GRE,5.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. Senate,,"Dale R. Kerns, Jr.",LIB,13.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. Senate,,Write-Ins,,0.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,Governor,,Wolf/Fetterman,Dem,1065.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,Governor,,Wagner/Bartos,Rep,1079.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,Governor,,Glover/Bostick,GRE,11.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,Governor,,Krawchuk/Smith,LIB,15.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,Governor,,Write-Ins,,1.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,7.0,Susan Wild,Dem,908.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,7.0,Marty Nothstein,Rep,1196.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,7.0,Tim Silfies,LIB,62.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,7.0,Write-Ins,,1.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,State Senate,40.0,Tarah Probst,Dem,863.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,State Senate,40.0,Mario M. Scavello,Rep,1226.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,State Senate,40.0,Adam Reinhardt,LIB,37.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,State Senate,40.0,Write-Ins,,0.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,15.0,Susan Wild,Dem,900.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,15.0,Marty Nothstein,Rep,1188.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,15.0,Tim Silfies,LIB,59.0,,,Northampton County,ALLEN TOWNSHIP
Northampton,ALLEN TOWNSHIP,U.S. House,15.0,Write-Ins,,0.0,,,Northampton County,ALLEN TOWNSHIP
