county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Northumberland,Coal Township 1,U.S. Senate,,"Bob Casey, Jr. ",DEM,98,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,U.S. Senate,,Lou Barletta,REP,133,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,U.S. Senate,,Neal Gale,GRE,1,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,U.S. Senate,,Write In Votes,,0,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,Governor,,Tom Wolf,DEM,121,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,Governor,,Scott R. Wagner,REP,111,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,Governor,,Paul Glover,GRE,2,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,Governor,,Ken V. Krawchuk,LIB,3,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,Governor,,Write In Votes,,0,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,U.S. House,9.0,Denny Wolff,DEM,95,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,U.S. House,9.0,Dan Meuser,REP,125,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,U.S. House,9.0,Write In Votes,,0,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,State House,107.0,Sarah Donnelly,DEM,92,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,State House,107.0,Kurt A. Masser,REP,137,,,Northumberland County,Coal Township 1
Northumberland,Coal Township 1,State House,107.0,Write In Votes,,0,,,Northumberland County,Coal Township 1
Northumberland,Kulpmont Borough 2,U.S. Senate,,"Bob Casey, Jr. ",DEM,127,,,Northumberland County,Kulpmont Borough 2
Northumberland,Kulpmont Borough 2,U.S. Senate,,Lou Barletta,REP,141,,,Northumberland County,Kulpmont Borough 2
Northumberland,Kulpmont Borough 2,U.S. Senate,,Neal Gale,GRE,3,,,Northumberland County,Kulpmont Borough 2
Northumberland,Kulpmont Borough 2,U.S. Senate,,Write In Votes,,0,,,Northumberland County,Kulpmont Borough 2
Northumberland,Kulpmont Borough 2,Governor,,Tom Wolf,DEM,159,,,Northumberland County,Kulpmont Borough 2
Northumberland,Kulpmont Borough 2,Governor,,Scott R. Wagner,REP,114,,,Northumberland County,Kulpmont Borough 2
Northumberland,Kulpmont Borough 2,Governor,,Paul Glover,GRE,0,,,Northumberland County,Kulpmont Borough 2
