county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Perry,0001 BLAIN BOROUGH,U.S. Senate,,BOB CASEY JR,DEM,20.0,20.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. Senate,,LOU BARLETTA,REP,67.0,66.0,1.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. Senate,,NEAL GALE,GRN,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. Senate,,DALE R. KERNS JR,LIB,2.0,2.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. Senate,,Write-ins,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. Senate,,Over Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. Senate,,Under Votes,,1.0,1.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,WOLF / FETTERMAN,DEM,22.0,22.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,WAGNER / BARTOS,REP,65.0,64.0,1.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,GLOVER / BOWSER-BOSTICK,GRN,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,KRAWCHUK / SMITH,LIB,3.0,3.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,Write-ins,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,Over Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,Governor,,Under Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. House,12.0,MARC FRIEDENBERG,DEM,20.0,20.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. House,12.0,TOM MARINO,REP,70.0,69.0,1.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. House,12.0,Write-ins,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. House,12.0,Over Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,U.S. House,12.0,Under Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,State House,86.0,KAREN ANN ANDERSON,DEM,14.0,14.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,State House,86.0,MARK K KELLER,REP,75.0,74.0,1.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,State House,86.0,Write-ins,,1.0,1.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,State House,86.0,Over Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0001 BLAIN BOROUGH,State House,86.0,Under Votes,,0.0,0.0,0.0,Perry County,0001 BLAIN BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,BOB CASEY JR,DEM,149.0,137.0,12.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,LOU BARLETTA,REP,234.0,222.0,12.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,NEAL GALE,GRN,4.0,4.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,DALE R. KERNS JR,LIB,6.0,5.0,1.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,Write-ins,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,Over Votes,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. Senate,,Under Votes,,6.0,6.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,WOLF / FETTERMAN,DEM,172.0,161.0,11.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,WAGNER / BARTOS,REP,215.0,201.0,14.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,GLOVER / BOWSER-BOSTICK,GRN,1.0,1.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,KRAWCHUK / SMITH,LIB,10.0,10.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,Write-ins,,1.0,1.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,Over Votes,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,Governor,,Under Votes,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. House,12.0,MARC FRIEDENBERG,DEM,122.0,110.0,12.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. House,12.0,TOM MARINO,REP,266.0,253.0,13.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. House,12.0,Write-ins,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. House,12.0,Over Votes,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,U.S. House,12.0,Under Votes,,11.0,11.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,State House,86.0,KAREN ANN ANDERSON,DEM,133.0,120.0,13.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,State House,86.0,MARK K KELLER,REP,263.0,253.0,10.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,State House,86.0,Write-ins,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,State House,86.0,Over Votes,,0.0,0.0,0.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0002 BLOOMFIELD BOROUGH,State House,86.0,Under Votes,,3.0,1.0,2.0,Perry County,0002 BLOOMFIELD BOROUGH
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,BOB CASEY JR,DEM,135.0,134.0,1.0,Perry County,0003 BUFFALO TOWNSHIP
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,LOU BARLETTA,REP,386.0,372.0,14.0,Perry County,0003 BUFFALO TOWNSHIP
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,NEAL GALE,GRN,8.0,8.0,0.0,Perry County,0003 BUFFALO TOWNSHIP
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,DALE R. KERNS JR,LIB,11.0,11.0,0.0,Perry County,0003 BUFFALO TOWNSHIP
