county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Philadelphia,01~01,Governor,,Write In,,0.0,,,Philadelphia County,01~01
Philadelphia,01~01,Governor,,TOM WOLF,DEM,270.0,,,Philadelphia County,01~01
Philadelphia,01~01,Governor,,SCOTT R. WAGNER,REP,40.0,,,Philadelphia County,01~01
Philadelphia,01~01,Governor,,PAUL GLOVER,GRN,3.0,,,Philadelphia County,01~01
Philadelphia,01~01,Governor,,KEN V. KRAWCHUK,LIB,1.0,,,Philadelphia County,01~01
Philadelphia,01~02,Governor,,Write In,,0.0,,,Philadelphia County,01~02
Philadelphia,01~02,Governor,,TOM WOLF,DEM,344.0,,,Philadelphia County,01~02
Philadelphia,01~02,Governor,,SCOTT R. WAGNER,REP,55.0,,,Philadelphia County,01~02
Philadelphia,01~02,Governor,,PAUL GLOVER,GRN,6.0,,,Philadelphia County,01~02
Philadelphia,01~02,Governor,,KEN V. KRAWCHUK,LIB,1.0,,,Philadelphia County,01~02
Philadelphia,01~03,Governor,,Write In,,1.0,,,Philadelphia County,01~03
Philadelphia,01~03,Governor,,TOM WOLF,DEM,376.0,,,Philadelphia County,01~03
Philadelphia,01~03,Governor,,SCOTT R. WAGNER,REP,85.0,,,Philadelphia County,01~03
Philadelphia,01~03,Governor,,PAUL GLOVER,GRN,5.0,,,Philadelphia County,01~03
Philadelphia,01~03,Governor,,KEN V. KRAWCHUK,LIB,5.0,,,Philadelphia County,01~03
Philadelphia,01~04,Governor,,Write In,,0.0,,,Philadelphia County,01~04
Philadelphia,01~04,Governor,,TOM WOLF,DEM,332.0,,,Philadelphia County,01~04
Philadelphia,01~04,Governor,,SCOTT R. WAGNER,REP,78.0,,,Philadelphia County,01~04
Philadelphia,01~04,Governor,,PAUL GLOVER,GRN,4.0,,,Philadelphia County,01~04
Philadelphia,01~04,Governor,,KEN V. KRAWCHUK,LIB,5.0,,,Philadelphia County,01~04
Philadelphia,01~05,Governor,,Write In,,0.0,,,Philadelphia County,01~05
Philadelphia,01~05,Governor,,TOM WOLF,DEM,170.0,,,Philadelphia County,01~05
Philadelphia,01~05,Governor,,SCOTT R. WAGNER,REP,22.0,,,Philadelphia County,01~05
Philadelphia,01~05,Governor,,PAUL GLOVER,GRN,2.0,,,Philadelphia County,01~05
Philadelphia,01~05,Governor,,KEN V. KRAWCHUK,LIB,1.0,,,Philadelphia County,01~05
Philadelphia,01~06,Governor,,Write In,,0.0,,,Philadelphia County,01~06
Philadelphia,01~06,Governor,,TOM WOLF,DEM,258.0,,,Philadelphia County,01~06
Philadelphia,01~06,Governor,,SCOTT R. WAGNER,REP,27.0,,,Philadelphia County,01~06
Philadelphia,01~06,Governor,,PAUL GLOVER,GRN,2.0,,,Philadelphia County,01~06
Philadelphia,01~06,Governor,,KEN V. KRAWCHUK,LIB,1.0,,,Philadelphia County,01~06
Philadelphia,01~07,Governor,,Write In,,0.0,,,Philadelphia County,01~07
Philadelphia,01~07,Governor,,TOM WOLF,DEM,207.0,,,Philadelphia County,01~07
Philadelphia,01~07,Governor,,SCOTT R. WAGNER,REP,20.0,,,Philadelphia County,01~07
Philadelphia,01~07,Governor,,PAUL GLOVER,GRN,4.0,,,Philadelphia County,01~07
Philadelphia,01~07,Governor,,KEN V. KRAWCHUK,LIB,4.0,,,Philadelphia County,01~07
Philadelphia,01~08,Governor,,Write In,,0.0,,,Philadelphia County,01~08
Philadelphia,01~08,Governor,,TOM WOLF,DEM,268.0,,,Philadelphia County,01~08
Philadelphia,01~08,Governor,,SCOTT R. WAGNER,REP,35.0,,,Philadelphia County,01~08
Philadelphia,01~08,Governor,,PAUL GLOVER,GRN,5.0,,,Philadelphia County,01~08
Philadelphia,01~08,Governor,,KEN V. KRAWCHUK,LIB,4.0,,,Philadelphia County,01~08
Philadelphia,01~09,Governor,,Write In,,0.0,,,Philadelphia County,01~09
Philadelphia,01~09,Governor,,TOM WOLF,DEM,286.0,,,Philadelphia County,01~09
Philadelphia,01~09,Governor,,SCOTT R. WAGNER,REP,49.0,,,Philadelphia County,01~09
Philadelphia,01~09,Governor,,PAUL GLOVER,GRN,2.0,,,Philadelphia County,01~09
Philadelphia,01~09,Governor,,KEN V. KRAWCHUK,LIB,0.0,,,Philadelphia County,01~09
Philadelphia,01~10,Governor,,Write In,,1.0,,,Philadelphia County,01~10
Philadelphia,01~10,Governor,,TOM WOLF,DEM,342.0,,,Philadelphia County,01~10
Philadelphia,01~10,Governor,,SCOTT R. WAGNER,REP,35.0,,,Philadelphia County,01~10
Philadelphia,01~10,Governor,,PAUL GLOVER,GRN,3.0,,,Philadelphia County,01~10
Philadelphia,01~10,Governor,,KEN V. KRAWCHUK,LIB,2.0,,,Philadelphia County,01~10
Philadelphia,01~11,Governor,,Write In,,0.0,,,Philadelphia County,01~11
