county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Pike,Blooming Grove,U.S. Senate,,Bob Casey Jr.,DEM,837,,,Pike County,Blooming Grove
Pike,Delaware 1,U.S. Senate,,Bob Casey Jr.,DEM,447,,,Pike County,Delaware 1
Pike,Delaware 2,U.S. Senate,,Bob Casey Jr.,DEM,435,,,Pike County,Delaware 2
Pike,Dingman 1,U.S. Senate,,Bob Casey Jr.,DEM,937,,,Pike County,Dingman 1
Pike,Dingman 2,U.S. Senate,,Bob Casey Jr.,DEM,741,,,Pike County,Dingman 2
Pike,Greene,U.S. Senate,,Bob Casey Jr.,DEM,482,,,Pike County,Greene
Pike,Lackawaxen 1,U.S. Senate,,Bob Casey Jr.,DEM,337,,,Pike County,Lackawaxen 1
Pike,Lackawaxen 2,U.S. Senate,,Bob Casey Jr.,DEM,333,,,Pike County,Lackawaxen 2
Pike,Lehman 1,U.S. Senate,,Bob Casey Jr.,DEM,858,,,Pike County,Lehman 1
Pike,Lehman 2,U.S. Senate,,Bob Casey Jr.,DEM,926,,,Pike County,Lehman 2
Pike,Matamoras Boro 1,U.S. Senate,,Bob Casey Jr.,DEM,173,,,Pike County,Matamoras Boro 1
Pike,Matamoras Boro 2,U.S. Senate,,Bob Casey Jr.,DEM,233,,,Pike County,Matamoras Boro 2
Pike,Milford Boro,U.S. Senate,,Bob Casey Jr.,DEM,251,,,Pike County,Milford Boro
Pike,Milford Twp,U.S. Senate,,Bob Casey Jr.,DEM,264,,,Pike County,Milford Twp
Pike,Palmyra,U.S. Senate,,Bob Casey Jr.,DEM,595,,,Pike County,Palmyra
Pike,Porter,U.S. Senate,,Bob Casey Jr.,DEM,71,,,Pike County,Porter
Pike,Shohola,U.S. Senate,,Bob Casey Jr.,DEM,395,,,Pike County,Shohola
Pike,Westfall,U.S. Senate,,Bob Casey Jr.,DEM,381,,,Pike County,Westfall
Pike,Blooming Grove,U.S. Senate,,Lou Barletta,REP,1090,,,Pike County,Blooming Grove
Pike,Delaware 1,U.S. Senate,,Lou Barletta,REP,772,,,Pike County,Delaware 1
Pike,Delaware 2,U.S. Senate,,Lou Barletta,REP,752,,,Pike County,Delaware 2
Pike,Dingman 1,U.S. Senate,,Lou Barletta,REP,1327,,,Pike County,Dingman 1
Pike,Dingman 2,U.S. Senate,,Lou Barletta,REP,1166,,,Pike County,Dingman 2
Pike,Greene,U.S. Senate,,Lou Barletta,REP,871,,,Pike County,Greene
Pike,Lackawaxen 1,U.S. Senate,,Lou Barletta,REP,666,,,Pike County,Lackawaxen 1
Pike,Lackawaxen 2,U.S. Senate,,Lou Barletta,REP,709,,,Pike County,Lackawaxen 2
Pike,Lehman 1,U.S. Senate,,Lou Barletta,REP,584,,,Pike County,Lehman 1
Pike,Lehman 2,U.S. Senate,,Lou Barletta,REP,538,,,Pike County,Lehman 2
Pike,Matamoras Boro 1,U.S. Senate,,Lou Barletta,REP,178,,,Pike County,Matamoras Boro 1
Pike,Matamoras Boro 2,U.S. Senate,,Lou Barletta,REP,245,,,Pike County,Matamoras Boro 2
Pike,Milford Boro,U.S. Senate,,Lou Barletta,REP,219,,,Pike County,Milford Boro
Pike,Milford Twp,U.S. Senate,,Lou Barletta,REP,389,,,Pike County,Milford Twp
Pike,Palmyra,U.S. Senate,,Lou Barletta,REP,935,,,Pike County,Palmyra
Pike,Porter,U.S. Senate,,Lou Barletta,REP,111,,,Pike County,Porter
Pike,Shohola,U.S. Senate,,Lou Barletta,REP,596,,,Pike County,Shohola
Pike,Westfall,U.S. Senate,,Lou Barletta,REP,624,,,Pike County,Westfall
Pike,Blooming Grove,U.S. Senate,,Neal Gale,GRN,6,,,Pike County,Blooming Grove
Pike,Delaware 1,U.S. Senate,,Neal Gale,GRN,10,,,Pike County,Delaware 1
Pike,Delaware 2,U.S. Senate,,Neal Gale,GRN,5,,,Pike County,Delaware 2
Pike,Dingman 1,U.S. Senate,,Neal Gale,GRN,26,,,Pike County,Dingman 1
Pike,Dingman 2,U.S. Senate,,Neal Gale,GRN,18,,,Pike County,Dingman 2
Pike,Greene,U.S. Senate,,Neal Gale,GRN,12,,,Pike County,Greene
Pike,Lackawaxen 1,U.S. Senate,,Neal Gale,GRN,7,,,Pike County,Lackawaxen 1
Pike,Lackawaxen 2,U.S. Senate,,Neal Gale,GRN,8,,,Pike County,Lackawaxen 2
Pike,Lehman 1,U.S. Senate,,Neal Gale,GRN,10,,,Pike County,Lehman 1
Pike,Lehman 2,U.S. Senate,,Neal Gale,GRN,8,,,Pike County,Lehman 2
Pike,Matamoras Boro 1,U.S. Senate,,Neal Gale,GRN,2,,,Pike County,Matamoras Boro 1
Pike,Matamoras Boro 2,U.S. Senate,,Neal Gale,GRN,4,,,Pike County,Matamoras Boro 2
Pike,Milford Boro,U.S. Senate,,Neal Gale,GRN,3,,,Pike County,Milford Boro
Pike,Milford Twp,U.S. Senate,,Neal Gale,GRN,2,,,Pike County,Milford Twp
Pike,Palmyra,U.S. Senate,,Neal Gale,GRN,11,,,Pike County,Palmyra
Pike,Porter,U.S. Senate,,Neal Gale,GRN,2,,,Pike County,Porter
Pike,Shohola,U.S. Senate,,Neal Gale,GRN,7,,,Pike County,Shohola
Pike,Westfall,U.S. Senate,,Neal Gale,GRN,10,,,Pike County,Westfall
Pike,Blooming Grove,U.S. Senate,,Dale R. Kerns Jr.,LIB,13,,,Pike County,Blooming Grove
Pike,Delaware 1,U.S. Senate,,Dale R. Kerns Jr.,LIB,12,,,Pike County,Delaware 1
Pike,Delaware 2,U.S. Senate,,Dale R. Kerns Jr.,LIB,11,,,Pike County,Delaware 2
