county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Schuylkill,002 Ashland 1st Pct.,U.S. Senate,,Blank Votes,,6,,,Schuylkill County,002 Ashland 1st Pct.
Schuylkill,005 Ashland 2nd Pct.,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,005 Ashland 2nd Pct.
Schuylkill,006 Blythe Twp.,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,006 Blythe Twp.
Schuylkill,008 Branch Twp.,U.S. Senate,,Blank Votes,,7,,,Schuylkill County,008 Branch Twp.
Schuylkill,010 Butler Twp. Englewood,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,010 Butler Twp. Englewood
Schuylkill,011 Butler Twp. Ft. Springs,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,011 Butler Twp. Ft. Springs
Schuylkill,013 Butler Twp. Lavelle,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,013 Butler Twp. Lavelle
Schuylkill,014 Butler Twp. Northeast,U.S. Senate,,Blank Votes,,0,,,Schuylkill County,014 Butler Twp. Northeast
Schuylkill,015 Cass Twp. North,U.S. Senate,,Blank Votes,,0,,,Schuylkill County,015 Cass Twp. North
Schuylkill,016 Cass Twp. South,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,016 Cass Twp. South
Schuylkill,018 Delano Twp.,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,018 Delano Twp.
Schuylkill,019 East Norwegian Twp.,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,019 East Norwegian Twp.
Schuylkill,021 Frackville North,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,021 Frackville North
Schuylkill,022 Frackville Middle,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,022 Frackville Middle
Schuylkill,024 Frackville South,U.S. Senate,,Blank Votes,,8,,,Schuylkill County,024 Frackville South
Schuylkill,027 Gilberton,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,027 Gilberton
Schuylkill,028 Girardville,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,028 Girardville
Schuylkill,031 Gordon,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,031 Gordon
Schuylkill,032 Mahanoy City Pct. 1,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,032 Mahanoy City Pct. 1
Schuylkill,033 Mahanoy City Pct. 2,U.S. Senate,,Blank Votes,,7,,,Schuylkill County,033 Mahanoy City Pct. 2
Schuylkill,036 Mahanoy City Pct. 3,U.S. Senate,,Blank Votes,,1,,,Schuylkill County,036 Mahanoy City Pct. 3
Schuylkill,037 Mahanoy City Pct. 4,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,037 Mahanoy City Pct. 4
Schuylkill,039 Mahanoy Twp.,U.S. Senate,,Blank Votes,,6,,,Schuylkill County,039 Mahanoy Twp.
Schuylkill,041 Middleport,U.S. Senate,,Blank Votes,,0,,,Schuylkill County,041 Middleport
Schuylkill,042 Minersville 1st Pct.,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,042 Minersville 1st Pct.
Schuylkill,043 Minersville 2nd Pct.,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,043 Minersville 2nd Pct.
Schuylkill,044 Minersville 3rd Pct.,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,044 Minersville 3rd Pct.
Schuylkill,045 Minersville 4th Pct.,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,045 Minersville 4th Pct.
Schuylkill,048 New Castle Twp.,U.S. Senate,,Blank Votes,,5,,,Schuylkill County,048 New Castle Twp.
Schuylkill,049 New Philadelphia,U.S. Senate,,Blank Votes,,1,,,Schuylkill County,049 New Philadelphia
Schuylkill,051 Norwegian Twp. Currans,U.S. Senate,,Blank Votes,,5,,,Schuylkill County,051 Norwegian Twp. Currans
Schuylkill,052 Norwegian Twp. Marlin,U.S. Senate,,Blank Votes,,4,,,Schuylkill County,052 Norwegian Twp. Marlin
Schuylkill,053 Palo Alto 1st Ward,U.S. Senate,,Blank Votes,,1,,,Schuylkill County,053 Palo Alto 1st Ward
Schuylkill,054 Palo Alto 2nd Ward,U.S. Senate,,Blank Votes,,7,,,Schuylkill County,054 Palo Alto 2nd Ward
Schuylkill,055 Port Carbon 1st Pct.,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,055 Port Carbon 1st Pct.
Schuylkill,056 Port Carbon 2nd Pct.,U.S. Senate,,Blank Votes,,6,,,Schuylkill County,056 Port Carbon 2nd Pct.
Schuylkill,057 Reilly Twp.,U.S. Senate,,Blank Votes,,1,,,Schuylkill County,057 Reilly Twp.
Schuylkill,058 Ryan Twp.,U.S. Senate,,Blank Votes,,6,,,Schuylkill County,058 Ryan Twp.
Schuylkill,060 St. Clair Middle,U.S. Senate,,Blank Votes,,2,,,Schuylkill County,060 St. Clair Middle
Schuylkill,061 St. Clair South,U.S. Senate,,Blank Votes,,3,,,Schuylkill County,061 St. Clair South
Schuylkill,063 St. Clair North,U.S. Senate,,Blank Votes,,1,,,Schuylkill County,063 St. Clair North
