county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Snyder,Adams Township,U.S. Senate,,Bob Casey Jr.,DEM,84.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. Senate,,Lou Barletta,REP,243.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. Senate,,Neal Gale,GRN,0.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,2.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. Senate,,Write-In,,0.0,,,Snyder County,Adams Township
Snyder,Adams Township,Governor,,Wolf / Fetterman,DEM,87.0,,,Snyder County,Adams Township
Snyder,Adams Township,Governor,,Wagner / Bartos,REP,241.0,,,Snyder County,Adams Township
Snyder,Adams Township,Governor,,Glover / Bowser-Bostick,GRN,0.0,,,Snyder County,Adams Township
Snyder,Adams Township,Governor,,Krawchuk / Smith,LIB,1.0,,,Snyder County,Adams Township
Snyder,Adams Township,Governor,,Write-In,,0.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. House,12.0,Marc Friedenberg,DEM,63.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. House,12.0,Tom Marino,REP,263.0,,,Snyder County,Adams Township
Snyder,Adams Township,U.S. House,12.0,Write-In,,0.0,,,Snyder County,Adams Township
Snyder,Adams Township,State House,85.0,Jennifer R. Rager-Kay,DEM,66.0,,,Snyder County,Adams Township
Snyder,Adams Township,State House,85.0,Fred Keller,REP,258.0,,,Snyder County,Adams Township
Snyder,Adams Township,State House,85.0,Write-In,,1.0,,,Snyder County,Adams Township
Snyder,Beaver Township,U.S. Senate,,Bob Casey Jr.,DEM,57.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,U.S. Senate,,Lou Barletta,REP,170.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,U.S. Senate,,Neal Gale,GRN,0.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,2.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,U.S. Senate,,Write-In,,0.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,Governor,,Wolf / Fetterman,DEM,66.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,Governor,,Wagner / Bartos,REP,161.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,Governor,,Glover / Bowser-Bostick,GRN,0.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,Governor,,Krawchuk / Smith,LIB,3.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,Governor,,Write-In,,0.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,U.S. House,12.0,Marc Friedenberg,DEM,38.0,,,Snyder County,Beaver Township
Snyder,Beaver Township,U.S. House,12.0,Tom Marino,REP,188.0,,,Snyder County,Beaver Township
