county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Somerset,ADDISON,U.S. Senate,,Bob Casey Jr.,DEM,110,,,Somerset County,ADDISON
Somerset,ADDISON,U.S. Senate,,Bob Casey Jr.,DEM,26,,,Somerset County,ADDISON
Somerset,ALLEGHENY,U.S. Senate,,Bob Casey Jr.,DEM,79,,,Somerset County,ALLEGHENY
Somerset,BENSON,U.S. Senate,,Bob Casey Jr.,DEM,35,,,Somerset County,BENSON
Somerset,BERLIN,U.S. Senate,,Bob Casey Jr.,DEM,237,,,Somerset County,BERLIN
Somerset,BLACK,U.S. Senate,,Bob Casey Jr.,DEM,84,,,Somerset County,BLACK
Somerset,BOSWELL,U.S. Senate,,Bob Casey Jr.,DEM,201,,,Somerset County,BOSWELL
Somerset,BROTHERS VALLEY,U.S. Senate,,Bob Casey Jr.,DEM,219,,,Somerset County,BROTHERS VALLEY
Somerset,CALLIMONT,U.S. Senate,,Bob Casey Jr.,DEM,4,,,Somerset County,CALLIMONT
Somerset,CASSELMAN,U.S. Senate,,Bob Casey Jr.,DEM,13,,,Somerset County,CASSELMAN
Somerset,CENTRAL CITY,U.S. Senate,,Bob Casey Jr.,DEM,145,,,Somerset County,CENTRAL CITY
Somerset,CONEMAUGHX1,U.S. Senate,,Bob Casey Jr.,DEM,339,,,Somerset County,CONEMAUGHX1
Somerset,CONEMAUGHX2,U.S. Senate,,Bob Casey Jr.,DEM,254,,,Somerset County,CONEMAUGHX2
Somerset,CONEMAUGHX3,U.S. Senate,,Bob Casey Jr.,DEM,232,,,Somerset County,CONEMAUGHX3
Somerset,CONEMAUGHX4,U.S. Senate,,Bob Casey Jr.,DEM,237,,,Somerset County,CONEMAUGHX4
Somerset,CONEMAUGHX5,U.S. Senate,,Bob Casey Jr.,DEM,82,,,Somerset County,CONEMAUGHX5
Somerset,CONFLUENCE,U.S. Senate,,Bob Casey Jr.,DEM,112,,,Somerset County,CONFLUENCE
Somerset,ELK LICK,U.S. Senate,,Bob Casey Jr.,DEM,138,,,Somerset County,ELK LICK
Somerset,FAIRHOPE,U.S. Senate,,Bob Casey Jr.,DEM,20,,,Somerset County,FAIRHOPE
Somerset,GARRETT,U.S. Senate,,Bob Casey Jr.,DEM,63,,,Somerset County,GARRETT
Somerset,GREENVILLE,U.S. Senate,,Bob Casey Jr.,DEM,72,,,Somerset County,GREENVILLE
Somerset,HOOVERSVILLE,U.S. Senate,,Bob Casey Jr.,DEM,87,,,Somerset County,HOOVERSVILLE
Somerset,INDIAN LAKE,U.S. Senate,,Bob Casey Jr.,DEM,69,,,Somerset County,INDIAN LAKE
Somerset,JEFFERSON,U.S. Senate,,Bob Casey Jr.,DEM,230,,,Somerset County,JEFFERSON
Somerset,JENNERX1,U.S. Senate,,Bob Casey Jr.,DEM,250,,,Somerset County,JENNERX1
Somerset,JENNERX2,U.S. Senate,,Bob Casey Jr.,DEM,134,,,Somerset County,JENNERX2
Somerset,JENNERX3,U.S. Senate,,Bob Casey Jr.,DEM,90,,,Somerset County,JENNERX3
Somerset,JENNERSTOWN,U.S. Senate,,Bob Casey Jr.,DEM,103,,,Somerset County,JENNERSTOWN
Somerset,LARIMER,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Somerset County,LARIMER
Somerset,LINCOLN,U.S. Senate,,Bob Casey Jr.,DEM,175,,,Somerset County,LINCOLN
Somerset,LOWER TURKEYFOOT,U.S. Senate,,Bob Casey Jr.,DEM,47,,,Somerset County,LOWER TURKEYFOOT
Somerset,MEYERSDALE,U.S. Senate,,Bob Casey Jr.,DEM,267,,,Somerset County,MEYERSDALE
Somerset,MIDDLECREEK,U.S. Senate,,Bob Casey Jr.,DEM,103,,,Somerset County,MIDDLECREEK
Somerset,MILFORD,U.S. Senate,,Bob Casey Jr.,DEM,184,,,Somerset County,MILFORD
Somerset,NEW BALTIMORE,U.S. Senate,,Bob Casey Jr.,DEM,37,,,Somerset County,NEW BALTIMORE
Somerset,NEW CENTERVILLE,U.S. Senate,,Bob Casey Jr.,DEM,28,,,Somerset County,NEW CENTERVILLE
Somerset,NORTHAMPTON,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Somerset County,NORTHAMPTON
Somerset,OGLE,U.S. Senate,,Bob Casey Jr.,DEM,55,,,Somerset County,OGLE
Somerset,PAINTX1,U.S. Senate,,Bob Casey Jr.,DEM,189,,,Somerset County,PAINTX1
Somerset,PAINTX2,U.S. Senate,,Bob Casey Jr.,DEM,259,,,Somerset County,PAINTX2
Somerset,PAINTX3,U.S. Senate,,Bob Casey Jr.,DEM,57,,,Somerset County,PAINTX3
Somerset,PAINT,U.S. Senate,,Bob Casey Jr.,DEM,131,,,Somerset County,PAINT
Somerset,QUEMAHONING,U.S. Senate,,Bob Casey Jr.,DEM,221,,,Somerset County,QUEMAHONING
Somerset,ROCKWOOD,U.S. Senate,,Bob Casey Jr.,DEM,88,,,Somerset County,ROCKWOOD
Somerset,SALISBURY,U.S. Senate,,Bob Casey Jr.,DEM,86,,,Somerset County,SALISBURY
Somerset,SEVEN SPRINGS,U.S. Senate,,Bob Casey Jr.,DEM,4,,,Somerset County,SEVEN SPRINGS
Somerset,SHADEX1,U.S. Senate,,Bob Casey Jr.,DEM,70,,,Somerset County,SHADEX1
Somerset,SHADEX2,U.S. Senate,,Bob Casey Jr.,DEM,157,,,Somerset County,SHADEX2
Somerset,SHADEX3,U.S. Senate,,Bob Casey Jr.,DEM,168,,,Somerset County,SHADEX3
Somerset,SHANKSVILLE,U.S. Senate,,Bob Casey Jr.,DEM,19,,,Somerset County,SHANKSVILLE
Somerset,SOMERSETX1,U.S. Senate,,Bob Casey Jr.,DEM,239,,,Somerset County,SOMERSETX1
Somerset,SOMERSETX2,U.S. Senate,,Bob Casey Jr.,DEM,288,,,Somerset County,SOMERSETX2
Somerset,SOMERSETX3,U.S. Senate,,Bob Casey Jr.,DEM,305,,,Somerset County,SOMERSETX3
Somerset,SOMERSETX4,U.S. Senate,,Bob Casey Jr.,DEM,192,,,Somerset County,SOMERSETX4
Somerset,SOMERSETXEAST,U.S. Senate,,Bob Casey Jr.,DEM,146,,,Somerset County,SOMERSETXEAST
Somerset,SOMERSETXNORTH WEST,U.S. Senate,,Bob Casey Jr.,DEM,179,,,Somerset County,SOMERSETXNORTH WEST
Somerset,SOMERSETXSOUTH WEST,U.S. Senate,,Bob Casey Jr.,DEM,493,,,Somerset County,SOMERSETXSOUTH WEST
Somerset,SOUTHAMPTON,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Somerset County,SOUTHAMPTON
Somerset,STONYCREEK,U.S. Senate,,Bob Casey Jr.,DEM,192,,,Somerset County,STONYCREEK
Somerset,STOYSTOWN,U.S. Senate,,Bob Casey Jr.,DEM,52,,,Somerset County,STOYSTOWN
Somerset,SUMMIT,U.S. Senate,,Bob Casey Jr.,DEM,219,,,Somerset County,SUMMIT
Somerset,UPPER TURKEYFOOT,U.S. Senate,,Bob Casey Jr.,DEM,101,,,Somerset County,UPPER TURKEYFOOT
Somerset,URSINA,U.S. Senate,,Bob Casey Jr.,DEM,23,,,Somerset County,URSINA
Somerset,WELLERSBURG,U.S. Senate,,Bob Casey Jr.,DEM,17,,,Somerset County,WELLERSBURG
Somerset,WINDBERX1,U.S. Senate,,Bob Casey Jr.,DEM,176,,,Somerset County,WINDBERX1
Somerset,WINDBERX2,U.S. Senate,,Bob Casey Jr.,DEM,242,,,Somerset County,WINDBERX2
Somerset,WINDBERX3,U.S. Senate,,Bob Casey Jr.,DEM,147,,,Somerset County,WINDBERX3
Somerset,WINDBERX4,U.S. Senate,,Bob Casey Jr.,DEM,163,,,Somerset County,WINDBERX4
Somerset,ADDISON,U.S. Senate,,Lou Barletta,REP,233,,,Somerset County,ADDISON
Somerset,ADDISON,U.S. Senate,,Lou Barletta,REP,49,,,Somerset County,ADDISON
Somerset,ALLEGHENY,U.S. Senate,,Lou Barletta,REP,218,,,Somerset County,ALLEGHENY
Somerset,BENSON,U.S. Senate,,Lou Barletta,REP,31,,,Somerset County,BENSON
Somerset,BERLIN,U.S. Senate,,Lou Barletta,REP,527,,,Somerset County,BERLIN
Somerset,BLACK,U.S. Senate,,Lou Barletta,REP,266,,,Somerset County,BLACK
Somerset,BOSWELL,U.S. Senate,,Lou Barletta,REP,230,,,Somerset County,BOSWELL
Somerset,BROTHERS VALLEY,U.S. Senate,,Lou Barletta,REP,790,,,Somerset County,BROTHERS VALLEY
Somerset,CALLIMONT,U.S. Senate,,Lou Barletta,REP,17,,,Somerset County,CALLIMONT
Somerset,CASSELMAN,U.S. Senate,,Lou Barletta,REP,21,,,Somerset County,CASSELMAN
Somerset,CENTRAL CITY,U.S. Senate,,Lou Barletta,REP,191,,,Somerset County,CENTRAL CITY
Somerset,CONEMAUGHX1,U.S. Senate,,Lou Barletta,REP,578,,,Somerset County,CONEMAUGHX1
Somerset,CONEMAUGHX2,U.S. Senate,,Lou Barletta,REP,433,,,Somerset County,CONEMAUGHX2
Somerset,CONEMAUGHX3,U.S. Senate,,Lou Barletta,REP,389,,,Somerset County,CONEMAUGHX3
Somerset,CONEMAUGHX4,U.S. Senate,,Lou Barletta,REP,407,,,Somerset County,CONEMAUGHX4
Somerset,CONEMAUGHX5,U.S. Senate,,Lou Barletta,REP,145,,,Somerset County,CONEMAUGHX5
Somerset,CONFLUENCE,U.S. Senate,,Lou Barletta,REP,118,,,Somerset County,CONFLUENCE
Somerset,ELK LICK,U.S. Senate,,Lou Barletta,REP,418,,,Somerset County,ELK LICK
Somerset,FAIRHOPE,U.S. Senate,,Lou Barletta,REP,32,,,Somerset County,FAIRHOPE
Somerset,GARRETT,U.S. Senate,,Lou Barletta,REP,69,,,Somerset County,GARRETT
Somerset,GREENVILLE,U.S. Senate,,Lou Barletta,REP,161,,,Somerset County,GREENVILLE
Somerset,HOOVERSVILLE,U.S. Senate,,Lou Barletta,REP,160,,,Somerset County,HOOVERSVILLE
Somerset,INDIAN LAKE,U.S. Senate,,Lou Barletta,REP,185,,,Somerset County,INDIAN LAKE
Somerset,JEFFERSON,U.S. Senate,,Lou Barletta,REP,452,,,Somerset County,JEFFERSON
Somerset,JENNERX1,U.S. Senate,,Lou Barletta,REP,496,,,Somerset County,JENNERX1
Somerset,JENNERX2,U.S. Senate,,Lou Barletta,REP,331,,,Somerset County,JENNERX2
Somerset,JENNERX3,U.S. Senate,,Lou Barletta,REP,220,,,Somerset County,JENNERX3
Somerset,JENNERSTOWN,U.S. Senate,,Lou Barletta,REP,211,,,Somerset County,JENNERSTOWN
Somerset,LARIMER,U.S. Senate,,Lou Barletta,REP,188,,,Somerset County,LARIMER
Somerset,LINCOLN,U.S. Senate,,Lou Barletta,REP,503,,,Somerset County,LINCOLN
Somerset,LOWER TURKEYFOOT,U.S. Senate,,Lou Barletta,REP,123,,,Somerset County,LOWER TURKEYFOOT
Somerset,MEYERSDALE,U.S. Senate,,Lou Barletta,REP,437,,,Somerset County,MEYERSDALE
Somerset,MIDDLECREEK,U.S. Senate,,Lou Barletta,REP,296,,,Somerset County,MIDDLECREEK
Somerset,MILFORD,U.S. Senate,,Lou Barletta,REP,494,,,Somerset County,MILFORD
Somerset,NEW BALTIMORE,U.S. Senate,,Lou Barletta,REP,33,,,Somerset County,NEW BALTIMORE
Somerset,NEW CENTERVILLE,U.S. Senate,,Lou Barletta,REP,74,,,Somerset County,NEW CENTERVILLE
Somerset,NORTHAMPTON,U.S. Senate,,Lou Barletta,REP,124,,,Somerset County,NORTHAMPTON
Somerset,OGLE,U.S. Senate,,Lou Barletta,REP,155,,,Somerset County,OGLE
Somerset,PAINTX1,U.S. Senate,,Lou Barletta,REP,403,,,Somerset County,PAINTX1
Somerset,PAINTX2,U.S. Senate,,Lou Barletta,REP,351,,,Somerset County,PAINTX2
Somerset,PAINTX3,U.S. Senate,,Lou Barletta,REP,145,,,Somerset County,PAINTX3
Somerset,PAINT,U.S. Senate,,Lou Barletta,REP,194,,,Somerset County,PAINT
Somerset,QUEMAHONING,U.S. Senate,,Lou Barletta,REP,516,,,Somerset County,QUEMAHONING
Somerset,ROCKWOOD,U.S. Senate,,Lou Barletta,REP,196,,,Somerset County,ROCKWOOD
Somerset,SALISBURY,U.S. Senate,,Lou Barletta,REP,184,,,Somerset County,SALISBURY
Somerset,SEVEN SPRINGS,U.S. Senate,,Lou Barletta,REP,2,,,Somerset County,SEVEN SPRINGS
Somerset,SHADEX1,U.S. Senate,,Lou Barletta,REP,196,,,Somerset County,SHADEX1
Somerset,SHADEX2,U.S. Senate,,Lou Barletta,REP,162,,,Somerset County,SHADEX2
Somerset,SHADEX3,U.S. Senate,,Lou Barletta,REP,203,,,Somerset County,SHADEX3
Somerset,SHANKSVILLE,U.S. Senate,,Lou Barletta,REP,58,,,Somerset County,SHANKSVILLE
Somerset,SOMERSETX1,U.S. Senate,,Lou Barletta,REP,543,,,Somerset County,SOMERSETX1
Somerset,SOMERSETX2,U.S. Senate,,Lou Barletta,REP,712,,,Somerset County,SOMERSETX2
Somerset,SOMERSETX3,U.S. Senate,,Lou Barletta,REP,652,,,Somerset County,SOMERSETX3
Somerset,SOMERSETX4,U.S. Senate,,Lou Barletta,REP,475,,,Somerset County,SOMERSETX4
Somerset,SOMERSETXEAST,U.S. Senate,,Lou Barletta,REP,242,,,Somerset County,SOMERSETXEAST
Somerset,SOMERSETXNORTH WEST,U.S. Senate,,Lou Barletta,REP,402,,,Somerset County,SOMERSETXNORTH WEST
Somerset,SOMERSETXSOUTH WEST,U.S. Senate,,Lou Barletta,REP,658,,,Somerset County,SOMERSETXSOUTH WEST
Somerset,SOUTHAMPTON,U.S. Senate,,Lou Barletta,REP,207,,,Somerset County,SOUTHAMPTON
Somerset,STONYCREEK,U.S. Senate,,Lou Barletta,REP,746,,,Somerset County,STONYCREEK
Somerset,STOYSTOWN,U.S. Senate,,Lou Barletta,REP,103,,,Somerset County,STOYSTOWN
Somerset,SUMMIT,U.S. Senate,,Lou Barletta,REP,551,,,Somerset County,SUMMIT
Somerset,UPPER TURKEYFOOT,U.S. Senate,,Lou Barletta,REP,413,,,Somerset County,UPPER TURKEYFOOT
Somerset,URSINA,U.S. Senate,,Lou Barletta,REP,40,,,Somerset County,URSINA
