county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Sullivan,Cherry Township,U.S. Senate,,Bob Casey Jr.,DEM,197,,,Sullivan County,Cherry Township
Sullivan,Bernice Precinct,U.S. Senate,,Bob Casey Jr.,DEM,64,,,Sullivan County,Bernice Precinct
Sullivan,Colley Township,U.S. Senate,,Bob Casey Jr.,DEM,21,,,Sullivan County,Colley Township
Sullivan,Lopez Precinct,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Sullivan County,Lopez Precinct
Sullivan,Davidson Township,U.S. Senate,,Bob Casey Jr.,DEM,73,,,Sullivan County,Davidson Township
Sullivan,Dushore Borough,U.S. Senate,,Bob Casey Jr.,DEM,103,,,Sullivan County,Dushore Borough
Sullivan,Eagles Mere Borough,U.S. Senate,,Bob Casey Jr.,DEM,42,,,Sullivan County,Eagles Mere Borough
Sullivan,Elkland Township,U.S. Senate,,Bob Casey Jr.,DEM,36,,,Sullivan County,Elkland Township
Sullivan,Forks Township,U.S. Senate,,Bob Casey Jr.,DEM,58,,,Sullivan County,Forks Township
Sullivan,Forksville Borough,U.S. Senate,,Bob Casey Jr.,DEM,25,,,Sullivan County,Forksville Borough
Sullivan,Fox Township,U.S. Senate,,Bob Casey Jr.,DEM,47,,,Sullivan County,Fox Township
Sullivan,Hillsgrove Township,U.S. Senate,,Bob Casey Jr.,DEM,15,,,Sullivan County,Hillsgrove Township
Sullivan,Laporte Township,U.S. Senate,,Bob Casey Jr.,DEM,103,,,Sullivan County,Laporte Township
Sullivan,Laporte Borough,U.S. Senate,,Bob Casey Jr.,DEM,76,,,Sullivan County,Laporte Borough
Sullivan,Shrewsbury Township,U.S. Senate,,Bob Casey Jr.,DEM,56,,,Sullivan County,Shrewsbury Township
Sullivan,Cherry Township,U.S. Senate,,Lou Barletta,REP,302,,,Sullivan County,Cherry Township
Sullivan,Bernice Precinct,U.S. Senate,,Lou Barletta,REP,80,,,Sullivan County,Bernice Precinct
Sullivan,Colley Township,U.S. Senate,,Lou Barletta,REP,40,,,Sullivan County,Colley Township
Sullivan,Lopez Precinct,U.S. Senate,,Lou Barletta,REP,77,,,Sullivan County,Lopez Precinct
Sullivan,Davidson Township,U.S. Senate,,Lou Barletta,REP,164,,,Sullivan County,Davidson Township
Sullivan,Dushore Borough,U.S. Senate,,Lou Barletta,REP,116,,,Sullivan County,Dushore Borough
Sullivan,Eagles Mere Borough,U.S. Senate,,Lou Barletta,REP,60,,,Sullivan County,Eagles Mere Borough
Sullivan,Elkland Township,U.S. Senate,,Lou Barletta,REP,217,,,Sullivan County,Elkland Township
Sullivan,Forks Township,U.S. Senate,,Lou Barletta,REP,124,,,Sullivan County,Forks Township
Sullivan,Forksville Borough,U.S. Senate,,Lou Barletta,REP,41,,,Sullivan County,Forksville Borough
Sullivan,Fox Township,U.S. Senate,,Lou Barletta,REP,99,,,Sullivan County,Fox Township
Sullivan,Hillsgrove Township,U.S. Senate,,Lou Barletta,REP,89,,,Sullivan County,Hillsgrove Township
Sullivan,Laporte Township,U.S. Senate,,Lou Barletta,REP,130,,,Sullivan County,Laporte Township
Sullivan,Laporte Borough,U.S. Senate,,Lou Barletta,REP,80,,,Sullivan County,Laporte Borough
Sullivan,Shrewsbury Township,U.S. Senate,,Lou Barletta,REP,101,,,Sullivan County,Shrewsbury Township
Sullivan,Cherry Township,U.S. Senate,,Neal Gale,GRN,2,,,Sullivan County,Cherry Township
Sullivan,Bernice Precinct,U.S. Senate,,Neal Gale,GRN,1,,,Sullivan County,Bernice Precinct
Sullivan,Colley Township,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Colley Township
Sullivan,Lopez Precinct,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Lopez Precinct
Sullivan,Davidson Township,U.S. Senate,,Neal Gale,GRN,1,,,Sullivan County,Davidson Township
Sullivan,Dushore Borough,U.S. Senate,,Neal Gale,GRN,1,,,Sullivan County,Dushore Borough
Sullivan,Eagles Mere Borough,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Eagles Mere Borough
Sullivan,Elkland Township,U.S. Senate,,Neal Gale,GRN,2,,,Sullivan County,Elkland Township
Sullivan,Forks Township,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Forks Township
Sullivan,Forksville Borough,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Forksville Borough
Sullivan,Fox Township,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Fox Township
Sullivan,Hillsgrove Township,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Hillsgrove Township
Sullivan,Laporte Township,U.S. Senate,,Neal Gale,GRN,3,,,Sullivan County,Laporte Township
Sullivan,Laporte Borough,U.S. Senate,,Neal Gale,GRN,0,,,Sullivan County,Laporte Borough
Sullivan,Shrewsbury Township,U.S. Senate,,Neal Gale,GRN,1,,,Sullivan County,Shrewsbury Township
Sullivan,Cherry Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,9,,,Sullivan County,Cherry Township
Sullivan,Bernice Precinct,U.S. Senate,,Dale R. Kerns Jr.,LIB,4,,,Sullivan County,Bernice Precinct
Sullivan,Colley Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Sullivan County,Colley Township
Sullivan,Lopez Precinct,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Sullivan County,Lopez Precinct
Sullivan,Davidson Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Sullivan County,Davidson Township
Sullivan,Dushore Borough,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Sullivan County,Dushore Borough
Sullivan,Eagles Mere Borough,U.S. Senate,,Dale R. Kerns Jr.,LIB,0,,,Sullivan County,Eagles Mere Borough
Sullivan,Elkland Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,3,,,Sullivan County,Elkland Township
Sullivan,Forks Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Sullivan County,Forks Township
Sullivan,Forksville Borough,U.S. Senate,,Dale R. Kerns Jr.,LIB,0,,,Sullivan County,Forksville Borough
Sullivan,Fox Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,2,,,Sullivan County,Fox Township
Sullivan,Hillsgrove Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Sullivan County,Hillsgrove Township
Sullivan,Laporte Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,4,,,Sullivan County,Laporte Township
Sullivan,Laporte Borough,U.S. Senate,,Dale R. Kerns Jr.,LIB,4,,,Sullivan County,Laporte Borough
Sullivan,Shrewsbury Township,U.S. Senate,,Dale R. Kerns Jr.,LIB,1,,,Sullivan County,Shrewsbury Township
Sullivan,Cherry Township,Governor,,Tom Wolf,DEM,198,,,Sullivan County,Cherry Township
Sullivan,Bernice Precinct,Governor,,Tom Wolf,DEM,57,,,Sullivan County,Bernice Precinct
