county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Susquehanna,Apolacon Twp,U.S. Senate,,Bob Casey Jr,DEM,64,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. Senate,,Lou Barletta,REP,144,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. Senate,,Neal Gale ,GRN,1,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. Senate,,Dale R Kerns Jr,LIB,4,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. Senate,,Write In Votes,,1,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Tom Wolf John Fetterman ,DEM,52,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Scott R. Wagner Jeff Bartos,REP,146,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Paul Glover Jocolyn Bowser-Bostick,GRN,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Ken V. Krawchuk Kathleen S. Smith,LIB,5,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Denny Wolfe (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,We The People (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Denny Wolff (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Paul Mango (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Jeff Bartos-Gov Kathleen S Smith- LT Gov (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Laura Ellsworth (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Mickey Mouse (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Robert Feigrnley (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Tom Mango (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,Governor,,Write In Votes,,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Marc Friedenberg,DEM,61,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Tom Marino,REP,150,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Write In Votes (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Doug Mclinko (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Kerry Patton (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,We The People (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Leon P Whitney (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Ron Fisher (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,John Chrin (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Bo Beeman (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Sunday Hunting (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Brad Arnold (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Christpher E Evans (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Loois Daytov Brotzman (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Judy Herschel (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Patrick Lamberson Sr (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Matt Cartwright (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Anyone Else (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Jerry Kairnes (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Jonathan Fritz (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Jesus (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Mat Pasecki (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,U.S. House,12.0,Write In,,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,State House,110.0,Donna Iannone ,DEM,46,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,State House,110.0,Tina Pickett ,REP,155,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,State House,110.0,Sunday Hunting (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,State House,110.0,James Bush (W),,1,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,State House,110.0,None (W),,0,,,Susquehanna County,Apolacon Twp
Susquehanna,Apolacon Twp,State House,110.0,Frank Romanowski (W),,0,,,Susquehanna County,Apolacon Twp
