county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Tioga,Bloss Twp,U.S. Senate,,Bob Casey Jr,DEM,32.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. Senate,,Lou Barletta,REP,96.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. Senate,,Neal Gale ,GRN,1.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. Senate,,Dale R Kerns Jr,LIB,2.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. Senate,,Write In,,0.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,Governor,,Wolf/Fetterman ,DEM,36.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,Governor,,Wagner/Bartos ,REP,94.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,Governor,,Glover/Bowser-Bostick ,GRN,0.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,Governor,,Krawchuk/Smith ,LIB,2.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,Governor,,Write In,,0.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. House,12.0,Marc Friedenberg,DEM,26.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. House,12.0,Tom Marino,REP,104.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,U.S. House,12.0,Write In,,0.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,State House,68.0,Carrie Heath,DEM,31.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,State House,68.0,Clint Owlett,REP,98.0,,,Tioga County,Bloss Twp
Tioga,Bloss Twp,State House,68.0,Write In,,0.0,,,Tioga County,Bloss Twp
Tioga,Blossburg Boro,U.S. Senate,,Bob Casey Jr,DEM,185.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,U.S. Senate,,Lou Barletta,REP,320.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,U.S. Senate,,Neal Gale ,GRN,3.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,U.S. Senate,,Dale R Kerns Jr,LIB,6.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,U.S. Senate,,Write In,,0.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,Governor,,Wolf/Fetterman ,DEM,177.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,Governor,,Wagner/Bartos ,REP,325.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,Governor,,Glover/Bowser-Bostick ,GRN,4.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,Governor,,Krawchuk/Smith ,LIB,8.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,Governor,,Write In,,0.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,U.S. House,12.0,Marc Friedenberg,DEM,166.0,,,Tioga County,Blossburg Boro
Tioga,Blossburg Boro,U.S. House,12.0,Tom Marino,REP,345.0,,,Tioga County,Blossburg Boro
