county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Union,Buffalo 1,U.S. Senate,,"Bob Casey, Jr. ",DEM,282.0,,,Union County,Buffalo 1
Union,Buffalo 1,U.S. Senate,,Lou Barletta ,REP,649.0,,,Union County,Buffalo 1
Union,Buffalo 1,U.S. Senate,,Neal Gale,GRN,8.0,,,Union County,Buffalo 1
Union,Buffalo 1,U.S. Senate,,Write In Votes,,0.0,,,Union County,Buffalo 1
Union,Buffalo 1,Governor,,Wolf/Fetterman,DEM,313.0,,,Union County,Buffalo 1
Union,Buffalo 1,Governor,,Wagner/Bartos,REP,609.0,,,Union County,Buffalo 1
Union,Buffalo 1,Governor,,Glover/Bowser-Bostic,GRN,8.0,,,Union County,Buffalo 1
Union,Buffalo 1,Governor,,Krawchuk/Smith,LIB,13.0,,,Union County,Buffalo 1
Union,Buffalo 1,Governor,,Write In Votes,,0.0,,,Union County,Buffalo 1
Union,Buffalo 1,U.S. House,12.0,Marc Friedenberg,DEM,239.0,,,Union County,Buffalo 1
Union,Buffalo 1,U.S. House,12.0,Tom Marino,REP,702.0,,,Union County,Buffalo 1
Union,Buffalo 1,U.S. House,12.0,Write In Votes,,0.0,,,Union County,Buffalo 1
Union,Buffalo 1,State House,85.0,Jennifer Rager-Kay,DEM,204.0,,,Union County,Buffalo 1
Union,Buffalo 1,State House,85.0,Fred Keller,REP,727.0,,,Union County,Buffalo 1
Union,Buffalo 1,State House,85.0,Write In Votes,,0.0,,,Union County,Buffalo 1
Union,Buffalo 2,U.S. Senate,,"Bob Casey, Jr. ",DEM,68.0,,,Union County,Buffalo 2
Union,Buffalo 2,U.S. Senate,,Lou Barletta ,REP,252.0,,,Union County,Buffalo 2
Union,Buffalo 2,U.S. Senate,,Neal Gale,GRN,5.0,,,Union County,Buffalo 2
Union,Buffalo 2,U.S. Senate,,Write In Votes,,0.0,,,Union County,Buffalo 2
Union,Buffalo 2,Governor,,Wolf/Fetterman,DEM,91.0,,,Union County,Buffalo 2
Union,Buffalo 2,Governor,,Wagner/Bartos,REP,221.0,,,Union County,Buffalo 2
Union,Buffalo 2,Governor,,Glover/Bowser-Bostic,GRN,5.0,,,Union County,Buffalo 2
Union,Buffalo 2,Governor,,Krawchuk/Smith,LIB,8.0,,,Union County,Buffalo 2
Union,Buffalo 2,Governor,,Write In Votes,,0.0,,,Union County,Buffalo 2
Union,Buffalo 2,U.S. House,12.0,Marc Friedenberg,DEM,63.0,,,Union County,Buffalo 2
Union,Buffalo 2,U.S. House,12.0,Tom Marino,REP,261.0,,,Union County,Buffalo 2
Union,Buffalo 2,U.S. House,12.0,Write In Votes,,1.0,,,Union County,Buffalo 2
Union,Buffalo 2,State House,85.0,Jennifer Rager-Kay,DEM,65.0,,,Union County,Buffalo 2
Union,Buffalo 2,State House,85.0,Fred Keller,REP,258.0,,,Union County,Buffalo 2
Union,Buffalo 2,State House,85.0,Write In Votes,,0.0,,,Union County,Buffalo 2
Union,East Buffalo 1,U.S. Senate,,"Bob Casey, Jr. ",DEM,498.0,,,Union County,East Buffalo 1
Union,East Buffalo 1,U.S. Senate,,Lou Barletta ,REP,437.0,,,Union County,East Buffalo 1
Union,East Buffalo 1,U.S. Senate,,Neal Gale,GRN,5.0,,,Union County,East Buffalo 1
Union,East Buffalo 1,U.S. Senate,,Write In Votes,,0.0,,,Union County,East Buffalo 1
Union,East Buffalo 1,Governor,,Wolf/Fetterman,DEM,551.0,,,Union County,East Buffalo 1
Union,East Buffalo 1,Governor,,Wagner/Bartos,REP,381.0,,,Union County,East Buffalo 1
