county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Venango,Allegheny Twp,U.S. Senate,,Bob Casey Jr,DEM,30,28.0,2.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. Senate,,Lou Barletta,REP,93,93.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. Senate,,Neal Gale ,GRN,0,0.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. Senate,,Dale R Kerns Jr,LIB,4,4.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. Senate,,Write In,,0,0.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,Governor,,Tom Wolf,DEM,33,31.0,2.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,Governor,,Scott R Wagner,REP,93,93.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,Governor,,Paul Glover,GRN,0,0.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,Governor,,Ken V Krawchuk,LIB,2,2.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,Governor,,Write In,,0,0.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. House,15.0,Susan Boser,DEM,24,22.0,2.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. House,15.0,Glenn Gt Thompson ,REP,103,103.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,U.S. House,15.0,Write In,,0,0.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,State House,64.0,John Kluck,DEM,25,23.0,2.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,State House,64.0,R Lee James,REP,102,102.0,0.0,Venango County,Allegheny Twp
Venango,Allegheny Twp,State House,64.0,Write In,,0,0.0,0.0,Venango County,Allegheny Twp
Venango,Barkeyville Boro,U.S. Senate,,Bob Casey Jr,DEM,31,30.0,1.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. Senate,,Lou Barletta,REP,45,43.0,2.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. Senate,,Neal Gale ,GRN,4,4.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. Senate,,Dale R Kerns Jr,LIB,2,2.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. Senate,,Write In,,0,0.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,Governor,,Tom Wolf,DEM,33,32.0,1.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,Governor,,Scott R Wagner,REP,43,41.0,2.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,Governor,,Paul Glover,GRN,3,3.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,Governor,,Ken V Krawchuk,LIB,2,2.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,Governor,,Write In,,0,0.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. House,15.0,Susan Boser,DEM,29,28.0,1.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. House,15.0,Glenn Gt Thompson ,REP,53,51.0,2.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,U.S. House,15.0,Write In,,0,0.0,0.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,State House,64.0,John Kluck,DEM,33,32.0,1.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,State House,64.0,R Lee James,REP,50,48.0,2.0,Venango County,Barkeyville Boro
Venango,Barkeyville Boro,State House,64.0,Write In,,0,0.0,0.0,Venango County,Barkeyville Boro
Venango,Canal Twp,U.S. Senate,,Bob Casey Jr,DEM,109,103.0,5.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. Senate,,Lou Barletta,REP,236,226.0,10.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. Senate,,Neal Gale ,GRN,1,1.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. Senate,,Dale R Kerns Jr,LIB,7,7.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. Senate,,Write In,,0,0.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,Governor,,Tom Wolf,DEM,109,103.0,5.0,Venango County,Canal Twp
Venango,Canal Twp,Governor,,Scott R Wagner,REP,244,234.0,10.0,Venango County,Canal Twp
Venango,Canal Twp,Governor,,Paul Glover,GRN,1,1.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,Governor,,Ken V Krawchuk,LIB,5,5.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,Governor,,Write In,,0,0.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. House,15.0,Susan Boser,DEM,101,96.0,5.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. House,15.0,Glenn Gt Thompson ,REP,255,244.0,10.0,Venango County,Canal Twp
Venango,Canal Twp,U.S. House,15.0,Write In,,0,0.0,0.0,Venango County,Canal Twp
Venango,Canal Twp,State House,64.0,John Kluck,DEM,94,89.0,5.0,Venango County,Canal Twp
Venango,Canal Twp,State House,64.0,R Lee James,REP,264,253.0,10.0,Venango County,Canal Twp
Venango,Canal Twp,State House,64.0,Write In,,0,0.0,0.0,Venango County,Canal Twp
Venango,Cherrytree Twp,U.S. Senate,,Bob Casey Jr,DEM,178,172.0,6.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. Senate,,Lou Barletta,REP,401,381.0,19.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. Senate,,Neal Gale ,GRN,1,1.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. Senate,,Dale R Kerns Jr,LIB,3,3.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. Senate,,Write In,,1,1.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,Governor,,Tom Wolf,DEM,186,182.0,4.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,Governor,,Scott R Wagner,REP,395,374.0,20.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,Governor,,Paul Glover,GRN,1,1.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,Governor,,Ken V Krawchuk,LIB,5,5.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,Governor,,Write In,,1,1.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. House,15.0,Susan Boser,DEM,158,153.0,5.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. House,15.0,Glenn Gt Thompson ,REP,432,411.0,20.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,U.S. House,15.0,Write In,,0,0.0,0.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,State House,64.0,John Kluck,DEM,172,163.0,9.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,State House,64.0,R Lee James,REP,417,401.0,15.0,Venango County,Cherrytree Twp
Venango,Cherrytree Twp,State House,64.0,Write In,,1,1.0,0.0,Venango County,Cherrytree Twp
Venango,Clinton Twp,U.S. Senate,,Bob Casey Jr,DEM,80,78.0,2.0,Venango County,Clinton Twp
Venango,Clinton Twp,U.S. Senate,,Lou Barletta,REP,174,170.0,4.0,Venango County,Clinton Twp
Venango,Clinton Twp,U.S. Senate,,Neal Gale ,GRN,2,2.0,0.0,Venango County,Clinton Twp
