county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Warren,BEAR LAKE Boro,U.S. Senate,,Bob Casey Jr.,DEM,15,,,Warren County,BEAR LAKE Boro
Warren,BROKENSTRAW Twp,U.S. Senate,,Bob Casey Jr.,DEM,200,,,Warren County,BROKENSTRAW Twp
Warren,CHERRY GROVE Twp,U.S. Senate,,Bob Casey Jr.,DEM,16,,,Warren County,CHERRY GROVE Twp
Warren,CLARENDON Boro,U.S. Senate,,Bob Casey Jr.,DEM,37,,,Warren County,CLARENDON Boro
Warren,COLUMBUS Twp,U.S. Senate,,Bob Casey Jr.,DEM,205,,,Warren County,COLUMBUS Twp
Warren,CONEWANGO Twp 1,U.S. Senate,,Bob Casey Jr.,DEM,343,,,Warren County,CONEWANGO Twp 1
Warren,CONEWANGO Twp 2,U.S. Senate,,Bob Casey Jr.,DEM,189,,,Warren County,CONEWANGO Twp 2
Warren,DEERFIELD Twp,U.S. Senate,,Bob Casey Jr.,DEM,46,,,Warren County,DEERFIELD Twp
Warren,ELDRED Twp,U.S. Senate,,Bob Casey Jr.,DEM,61,,,Warren County,ELDRED Twp
Warren,ELK Twp,U.S. Senate,,Bob Casey Jr.,DEM,72,,,Warren County,ELK Twp
Warren,FARMINGTON Twp,U.S. Senate,,Bob Casey Jr.,DEM,147,,,Warren County,FARMINGTON Twp
Warren,FREEHOLD Twp,U.S. Senate,,Bob Casey Jr.,DEM,96,,,Warren County,FREEHOLD Twp
Warren,GLADE Twp,U.S. Senate,,Bob Casey Jr.,DEM,316,,,Warren County,GLADE Twp
Warren,LIMESTONE Twp,U.S. Senate,,Bob Casey Jr.,DEM,58,,,Warren County,LIMESTONE Twp
Warren,MEAD Twp,U.S. Senate,,Bob Casey Jr.,DEM,176,,,Warren County,MEAD Twp
Warren,PINE GROVE Twp,U.S. Senate,,Bob Casey Jr.,DEM,432,,,Warren County,PINE GROVE Twp
Warren,PITTSFIELD Twp,U.S. Senate,,Bob Casey Jr.,DEM,145,,,Warren County,PITTSFIELD Twp
Warren,PLEASANT Twp,U.S. Senate,,Bob Casey Jr.,DEM,397,,,Warren County,PLEASANT Twp
Warren,SHEFFIELD Twp,U.S. Senate,,Bob Casey Jr.,DEM,254,,,Warren County,SHEFFIELD Twp
Warren,SOUTHWEST Twp,U.S. Senate,,Bob Casey Jr.,DEM,28,,,Warren County,SOUTHWEST Twp
Warren,SPRING CREEK Twp,U.S. Senate,,Bob Casey Jr.,DEM,87,,,Warren County,SPRING CREEK Twp
Warren,SUGAR GROVE Twp,U.S. Senate,,Bob Casey Jr.,DEM,153,,,Warren County,SUGAR GROVE Twp
Warren,SUGAR GROVE Boro,U.S. Senate,,Bob Casey Jr.,DEM,65,,,Warren County,SUGAR GROVE Boro
Warren,TIDIOUTE Boro,U.S. Senate,,Bob Casey Jr.,DEM,91,,,Warren County,TIDIOUTE Boro
Warren,TRIUMPH Twp,U.S. Senate,,Bob Casey Jr.,DEM,33,,,Warren County,TRIUMPH Twp
Warren,WARREN City CENTRAL,U.S. Senate,,Bob Casey Jr.,DEM,184,,,Warren County,WARREN City CENTRAL
Warren,WARREN City EAST,U.S. Senate,,Bob Casey Jr.,DEM,402,,,Warren County,WARREN City EAST
Warren,WARREN City NORTH,U.S. Senate,,Bob Casey Jr.,DEM,223,,,Warren County,WARREN City NORTH
Warren,WARREN City SOUTH,U.S. Senate,,Bob Casey Jr.,DEM,102,,,Warren County,WARREN City SOUTH
Warren,WARREN City SOUTH EAST,U.S. Senate,,Bob Casey Jr.,DEM,346,,,Warren County,WARREN City SOUTH EAST
Warren,WARREN City WEST,U.S. Senate,,Bob Casey Jr.,DEM,217,,,Warren County,WARREN City WEST
