county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Washington ,ALLENPORT,U.S. Senate,,Bob Casey Jr.,DEM,108,,,Washington County,ALLENPORT
Washington ,AMWELL 1,U.S. Senate,,Bob Casey Jr.,DEM,364,,,Washington County,AMWELL 1
Washington ,AMWELL 2,U.S. Senate,,Bob Casey Jr.,DEM,141,,,Washington County,AMWELL 2
Washington ,BEALLSVILLE,U.S. Senate,,Bob Casey Jr.,DEM,83,,,Washington County,BEALLSVILLE
Washington ,BENTLEYVILLE,U.S. Senate,,Bob Casey Jr.,DEM,403,,,Washington County,BENTLEYVILLE
Washington ,BLAINE,U.S. Senate,,Bob Casey Jr.,DEM,88,,,Washington County,BLAINE
Washington ,BUFFALO,U.S. Senate,,Bob Casey Jr.,DEM,282,,,Washington County,BUFFALO
Washington ,BURGETTSTOWN,U.S. Senate,,Bob Casey Jr.,DEM,254,,,Washington County,BURGETTSTOWN
Washington ,CALIFORNIA 1,U.S. Senate,,Bob Casey Jr.,DEM,111,,,Washington County,CALIFORNIA 1
Washington ,CALIFORNIA 2,U.S. Senate,,Bob Casey Jr.,DEM,267,,,Washington County,CALIFORNIA 2
Washington ,CALIFORNIA 3,U.S. Senate,,Bob Casey Jr.,DEM,124,,,Washington County,CALIFORNIA 3
Washington ,CALIFORNIA 4,U.S. Senate,,Bob Casey Jr.,DEM,276,,,Washington County,CALIFORNIA 4
Washington ,CANONSBURG 1-3,U.S. Senate,,Bob Casey Jr.,DEM,344,,,Washington County,CANONSBURG 1-3
Washington ,CANONSBURG 1-4,U.S. Senate,,Bob Casey Jr.,DEM,424,,,Washington County,CANONSBURG 1-4
Washington ,CANONSBURG 2-1,U.S. Senate,,Bob Casey Jr.,DEM,255,,,Washington County,CANONSBURG 2-1
Washington ,CANONSBURG 2-2,U.S. Senate,,Bob Casey Jr.,DEM,426,,,Washington County,CANONSBURG 2-2
Washington ,CANONSBURG 3-1,U.S. Senate,,Bob Casey Jr.,DEM,194,,,Washington County,CANONSBURG 3-1
Washington ,CANONSBURG 3-3,U.S. Senate,,Bob Casey Jr.,DEM,307,,,Washington County,CANONSBURG 3-3
Washington ,CANTON 1,U.S. Senate,,Bob Casey Jr.,DEM,262,,,Washington County,CANTON 1
Washington ,CANTON 2,U.S. Senate,,Bob Casey Jr.,DEM,439,,,Washington County,CANTON 2
Washington ,CANTON 4,U.S. Senate,,Bob Casey Jr.,DEM,294,,,Washington County,CANTON 4
Washington ,CANTON 5,U.S. Senate,,Bob Casey Jr.,DEM,349,,,Washington County,CANTON 5
Washington ,CARROLL 1,U.S. Senate,,Bob Casey Jr.,DEM,79,,,Washington County,CARROLL 1
Washington ,CARROLL 2,U.S. Senate,,Bob Casey Jr.,DEM,204,,,Washington County,CARROLL 2
Washington ,CARROLL 3,U.S. Senate,,Bob Casey Jr.,DEM,251,,,Washington County,CARROLL 3
Washington ,CARROLL 4,U.S. Senate,,Bob Casey Jr.,DEM,386,,,Washington County,CARROLL 4
Washington ,CARROLL 5,U.S. Senate,,Bob Casey Jr.,DEM,250,,,Washington County,CARROLL 5
Washington ,CECIL 1,U.S. Senate,,Bob Casey Jr.,DEM,418,,,Washington County,CECIL 1
Washington ,CECIL 2,U.S. Senate,,Bob Casey Jr.,DEM,286,,,Washington County,CECIL 2
Washington ,CECIL 3,U.S. Senate,,Bob Casey Jr.,DEM,234,,,Washington County,CECIL 3
Washington ,CECIL 4,U.S. Senate,,Bob Casey Jr.,DEM,527,,,Washington County,CECIL 4
Washington ,CECIL 5,U.S. Senate,,Bob Casey Jr.,DEM,895,,,Washington County,CECIL 5
Washington ,CECIL 6,U.S. Senate,,Bob Casey Jr.,DEM,394,,,Washington County,CECIL 6
Washington ,CENTERVILLE 1,U.S. Senate,,Bob Casey Jr.,DEM,86,,,Washington County,CENTERVILLE 1
Washington ,CENTERVILLE 2,U.S. Senate,,Bob Casey Jr.,DEM,200,,,Washington County,CENTERVILLE 2
Washington ,CENTERVILLE 3,U.S. Senate,,Bob Casey Jr.,DEM,55,,,Washington County,CENTERVILLE 3
Washington ,CENTERVILLE 4,U.S. Senate,,Bob Casey Jr.,DEM,203,,,Washington County,CENTERVILLE 4
Washington ,CENTERVILLE 5,U.S. Senate,,Bob Casey Jr.,DEM,43,,,Washington County,CENTERVILLE 5
Washington ,CENTERVILLE 6,U.S. Senate,,Bob Casey Jr.,DEM,125,,,Washington County,CENTERVILLE 6
Washington ,CHARLEROI 2,U.S. Senate,,Bob Casey Jr.,DEM,161,,,Washington County,CHARLEROI 2
Washington ,CHARLEROI 3,U.S. Senate,,Bob Casey Jr.,DEM,157,,,Washington County,CHARLEROI 3
Washington ,CHARLEROI 4,U.S. Senate,,Bob Casey Jr.,DEM,128,,,Washington County,CHARLEROI 4
Washington ,CHARLEROI 6,U.S. Senate,,Bob Casey Jr.,DEM,99,,,Washington County,CHARLEROI 6
Washington ,CHARTIERS 1,U.S. Senate,,Bob Casey Jr.,DEM,82,,,Washington County,CHARTIERS 1
Washington ,CHARTIERS 2,U.S. Senate,,Bob Casey Jr.,DEM,277,,,Washington County,CHARTIERS 2
Washington ,CHARTIERS 3,U.S. Senate,,Bob Casey Jr.,DEM,372,,,Washington County,CHARTIERS 3
Washington ,CHARTIERS 5,U.S. Senate,,Bob Casey Jr.,DEM,151,,,Washington County,CHARTIERS 5
Washington ,CHARTIERS 6,U.S. Senate,,Bob Casey Jr.,DEM,288,,,Washington County,CHARTIERS 6
Washington ,CHARTIERS 7,U.S. Senate,,Bob Casey Jr.,DEM,496,,,Washington County,CHARTIERS 7
Washington ,CLAYSVILLE,U.S. Senate,,Bob Casey Jr.,DEM,107,,,Washington County,CLAYSVILLE
Washington ,COAL CENTER,U.S. Senate,,Bob Casey Jr.,DEM,27,,,Washington County,COAL CENTER
Washington ,COKEBURG,U.S. Senate,,Bob Casey Jr.,DEM,120,,,Washington County,COKEBURG
