county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Wayne,BERLIN # 1,U.S. Senate,,Bob Casey Jr.,DEM,164,,,Wayne County,BERLIN # 1
Wayne,BERLIN # 2,U.S. Senate,,Bob Casey Jr.,DEM,158,,,Wayne County,BERLIN # 2
Wayne,BETHANY,U.S. Senate,,Bob Casey Jr.,DEM,64,,,Wayne County,BETHANY
Wayne,BUCKINGHAM,U.S. Senate,,Bob Casey Jr.,DEM,103,,,Wayne County,BUCKINGHAM
Wayne,CANAAN,U.S. Senate,,Bob Casey Jr.,DEM,141,,,Wayne County,CANAAN
Wayne,CHERRY RIDGE,U.S. Senate,,Bob Casey Jr.,DEM,305,,,Wayne County,CHERRY RIDGE
Wayne,CLINTON # 1,U.S. Senate,,Bob Casey Jr.,DEM,207,,,Wayne County,CLINTON # 1
Wayne,CLINTON # 2,U.S. Senate,,Bob Casey Jr.,DEM,139,,,Wayne County,CLINTON # 2
Wayne,DAMASCUS # 1,U.S. Senate,,Bob Casey Jr.,DEM,229,,,Wayne County,DAMASCUS # 1
Wayne,DAMASCUS # 2,U.S. Senate,,Bob Casey Jr.,DEM,345,,,Wayne County,DAMASCUS # 2
Wayne,DREHER,U.S. Senate,,Bob Casey Jr.,DEM,198,,,Wayne County,DREHER
Wayne,DYBERRY,U.S. Senate,,Bob Casey Jr.,DEM,289,,,Wayne County,DYBERRY
Wayne,HAWLEY,U.S. Senate,,Bob Casey Jr.,DEM,235,,,Wayne County,HAWLEY
Wayne,HONESDALE # 1,U.S. Senate,,Bob Casey Jr.,DEM,215,,,Wayne County,HONESDALE # 1
Wayne,HONESDALE # 2,U.S. Senate,,Bob Casey Jr.,DEM,335,,,Wayne County,HONESDALE # 2
Wayne,HONESDALE # 3,U.S. Senate,,Bob Casey Jr.,DEM,234,,,Wayne County,HONESDALE # 3
Wayne,LAKE,U.S. Senate,,Bob Casey Jr.,DEM,759,,,Wayne County,LAKE
Wayne,LEBANON,U.S. Senate,,Bob Casey Jr.,DEM,100,,,Wayne County,LEBANON
Wayne,LEHIGH,U.S. Senate,,Bob Casey Jr.,DEM,308,,,Wayne County,LEHIGH
Wayne,MANCHESTER,U.S. Senate,,Bob Casey Jr.,DEM,99,,,Wayne County,MANCHESTER
Wayne,MT PLEASANT,U.S. Senate,,Bob Casey Jr.,DEM,266,,,Wayne County,MT PLEASANT
Wayne,OREGON,U.S. Senate,,Bob Casey Jr.,DEM,109,,,Wayne County,OREGON
Wayne,PALMYRA,U.S. Senate,,Bob Casey Jr.,DEM,173,,,Wayne County,PALMYRA
Wayne,PAUPACK,U.S. Senate,,Bob Casey Jr.,DEM,575,,,Wayne County,PAUPACK
Wayne,PRESTON,U.S. Senate,,Bob Casey Jr.,DEM,153,,,Wayne County,PRESTON
Wayne,PROMPTON,U.S. Senate,,Bob Casey Jr.,DEM,29,,,Wayne County,PROMPTON
Wayne,SALEM,U.S. Senate,,Bob Casey Jr.,DEM,586,,,Wayne County,SALEM
Wayne,SCOTT,U.S. Senate,,Bob Casey Jr.,DEM,48,,,Wayne County,SCOTT
Wayne,SO CANAAN,U.S. Senate,,Bob Casey Jr.,DEM,275,,,Wayne County,SO CANAAN
Wayne,STARRUCCA,U.S. Senate,,Bob Casey Jr.,DEM,25,,,Wayne County,STARRUCCA
Wayne,STERLING,U.S. Senate,,Bob Casey Jr.,DEM,206,,,Wayne County,STERLING
Wayne,TEXAS # 1,U.S. Senate,,Bob Casey Jr.,DEM,134,,,Wayne County,TEXAS # 1
Wayne,TEXAS # 2,U.S. Senate,,Bob Casey Jr.,DEM,147,,,Wayne County,TEXAS # 2
Wayne,TEXAS # 3,U.S. Senate,,Bob Casey Jr.,DEM,95,,,Wayne County,TEXAS # 3
Wayne,WAYMART,U.S. Senate,,Bob Casey Jr.,DEM,177,,,Wayne County,WAYMART
Wayne,BERLIN # 1,U.S. Senate,,Lou Barletta,REP,389,,,Wayne County,BERLIN # 1
Wayne,BERLIN # 2,U.S. Senate,,Lou Barletta,REP,400,,,Wayne County,BERLIN # 2
Wayne,BETHANY,U.S. Senate,,Lou Barletta,REP,66,,,Wayne County,BETHANY
Wayne,BUCKINGHAM,U.S. Senate,,Lou Barletta,REP,130,,,Wayne County,BUCKINGHAM
Wayne,CANAAN,U.S. Senate,,Lou Barletta,REP,255,,,Wayne County,CANAAN
Wayne,CHERRY RIDGE,U.S. Senate,,Lou Barletta,REP,484,,,Wayne County,CHERRY RIDGE
Wayne,CLINTON # 1,U.S. Senate,,Lou Barletta,REP,355,,,Wayne County,CLINTON # 1
Wayne,CLINTON # 2,U.S. Senate,,Lou Barletta,REP,194,,,Wayne County,CLINTON # 2
Wayne,DAMASCUS # 1,U.S. Senate,,Lou Barletta,REP,415,,,Wayne County,DAMASCUS # 1
Wayne,DAMASCUS # 2,U.S. Senate,,Lou Barletta,REP,551,,,Wayne County,DAMASCUS # 2
Wayne,DREHER,U.S. Senate,,Lou Barletta,REP,341,,,Wayne County,DREHER
Wayne,DYBERRY,U.S. Senate,,Lou Barletta,REP,380,,,Wayne County,DYBERRY
Wayne,HAWLEY,U.S. Senate,,Lou Barletta,REP,200,,,Wayne County,HAWLEY
Wayne,HONESDALE # 1,U.S. Senate,,Lou Barletta,REP,234,,,Wayne County,HONESDALE # 1
Wayne,HONESDALE # 2,U.S. Senate,,Lou Barletta,REP,266,,,Wayne County,HONESDALE # 2
Wayne,HONESDALE # 3,U.S. Senate,,Lou Barletta,REP,284,,,Wayne County,HONESDALE # 3
Wayne,LAKE,U.S. Senate,,Lou Barletta,REP,1271,,,Wayne County,LAKE
Wayne,LEBANON,U.S. Senate,,Lou Barletta,REP,212,,,Wayne County,LEBANON
Wayne,LEHIGH,U.S. Senate,,Lou Barletta,REP,364,,,Wayne County,LEHIGH
Wayne,MANCHESTER,U.S. Senate,,Lou Barletta,REP,245,,,Wayne County,MANCHESTER
Wayne,MT PLEASANT,U.S. Senate,,Lou Barletta,REP,397,,,Wayne County,MT PLEASANT
Wayne,OREGON,U.S. Senate,,Lou Barletta,REP,231,,,Wayne County,OREGON
Wayne,PALMYRA,U.S. Senate,,Lou Barletta,REP,376,,,Wayne County,PALMYRA
Wayne,PAUPACK,U.S. Senate,,Lou Barletta,REP,1042,,,Wayne County,PAUPACK
Wayne,PRESTON,U.S. Senate,,Lou Barletta,REP,274,,,Wayne County,PRESTON
Wayne,PROMPTON,U.S. Senate,,Lou Barletta,REP,83,,,Wayne County,PROMPTON
Wayne,SALEM,U.S. Senate,,Lou Barletta,REP,1002,,,Wayne County,SALEM
Wayne,SCOTT,U.S. Senate,,Lou Barletta,REP,108,,,Wayne County,SCOTT
Wayne,SO CANAAN,U.S. Senate,,Lou Barletta,REP,506,,,Wayne County,SO CANAAN
Wayne,STARRUCCA,U.S. Senate,,Lou Barletta,REP,47,,,Wayne County,STARRUCCA
Wayne,STERLING,U.S. Senate,,Lou Barletta,REP,379,,,Wayne County,STERLING
Wayne,TEXAS # 1,U.S. Senate,,Lou Barletta,REP,204,,,Wayne County,TEXAS # 1
Wayne,TEXAS # 2,U.S. Senate,,Lou Barletta,REP,184,,,Wayne County,TEXAS # 2
Wayne,TEXAS # 3,U.S. Senate,,Lou Barletta,REP,117,,,Wayne County,TEXAS # 3
Wayne,WAYMART,U.S. Senate,,Lou Barletta,REP,283,,,Wayne County,WAYMART
Wayne,BERLIN # 1,U.S. Senate,,Neal Gale,GRN,5,,,Wayne County,BERLIN # 1
Wayne,BERLIN # 2,U.S. Senate,,Neal Gale,GRN,5,,,Wayne County,BERLIN # 2
Wayne,BETHANY,U.S. Senate,,Neal Gale,GRN,1,,,Wayne County,BETHANY
