county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,24,24.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Lou Barletta,REP,35,35.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Neal Gale,GRN,0,0.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Dale R Kerns Jr,LIB,2,2.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. Senate,,Write-ins,,0,0.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14.0,Bibiana Boerio,DEM,19,19.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14.0,Guy Reschenthaler,REP,42,42.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,U.S. House,14.0,Write-ins,,0,0.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58.0,Mary Popovich,DEM,21,21.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58.0,Justin Walsh,REP,40,40.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0100 ADAMSBURG BOROUGH,State House,58.0,Write-ins,,0,0.0,0.0,Westmoreland County,0100 ADAMSBURG BOROUGH
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Bob Casey Jr,DEM,498,482.0,16.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Lou Barletta,REP,782,761.0,21.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Neal Gale,GRN,5,5.0,0.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Dale R Kerns Jr,LIB,12,12.0,0.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. Senate,,Write-ins,,1,1.0,0.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14.0,Bibiana Boerio,DEM,457,441.0,16.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14.0,Guy Reschenthaler,REP,848,827.0,21.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,U.S. House,14.0,Write-ins,,0,0.0,0.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54.0,Jon McCabe,DEM,465,450.0,15.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54.0,Bob Brooks,REP,833,811.0,22.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0203 ALLEGHENY TWP - NO 1,State House,54.0,Write-ins,,0,0.0,0.0,Westmoreland County,0203 ALLEGHENY TWP - NO 1
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Bob Casey Jr,DEM,120,111.0,9.0,Westmoreland County,0206 ALLEGHENY TWP - NO 2
Westmoreland,0206 ALLEGHENY TWP - NO 2,U.S. Senate,,Lou Barletta,REP,222,215.0,7.0,Westmoreland County,0206 ALLEGHENY TWP - NO 2
