county,precinct,office,district,candidate,party,votes,election_day,absentee,county_id,original_precinct_name
York,Carroll Township,U.S. Senate,,"Bob CASEY, JR.",Dem,958.0,,,York County,Carroll Township
York,Carroll Township,U.S. Senate,,Lou BARLETTA,Rep,1858.0,,,York County,Carroll Township
York,Carroll Township,U.S. Senate,,Neal GALE,Grn,18.0,,,York County,Carroll Township
York,Carroll Township,U.S. Senate,,"Dale R. KERNS, JR.",LIB,32.0,,,York County,Carroll Township
York,Carroll Township,U.S. Senate,,Write-In,,0.0,,,York County,Carroll Township
York,Carroll Township,Governor,,Tom WOLF,Dem,1127.0,,,York County,Carroll Township
York,Carroll Township,Governor,,Scott R. WAGNER,Rep,1726.0,,,York County,Carroll Township
York,Carroll Township,Governor,,Paul GLOVER,Grn,16.0,,,York County,Carroll Township
York,Carroll Township,Governor,,Ken V. KRAWCHUK,LIB,43.0,,,York County,Carroll Township
York,Carroll Township,Governor,,Write-In,,5.0,,,York County,Carroll Township
York,Carroll Township,U.S. House,10.0,George SCOTT,Dem,919.0,,,York County,Carroll Township
York,Carroll Township,U.S. House,10.0,Scott PERRY,Rep,2005.0,,,York County,Carroll Township
York,Carroll Township,U.S. House,10.0,Write-In,,3.0,,,York County,Carroll Township
York,Carroll Township,State House,92.0,Shanna DANIELSON,Dem,818.0,,,York County,Carroll Township
York,Carroll Township,State House,92.0,Dawn KEEFER,Rep,2098.0,,,York County,Carroll Township
York,Carroll Township,State House,92.0,Write-In,,9.0,,,York County,Carroll Township
York,Chanceford Township 1,U.S. Senate,,"Bob CASEY, JR.",Dem,342.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. Senate,,Lou BARLETTA,Rep,736.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. Senate,,Neal GALE,Grn,9.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. Senate,,"Dale R. KERNS, JR.",LIB,17.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. Senate,,Write-In,,1.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,Governor,,Tom WOLF,Dem,374.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,Governor,,Scott R. WAGNER,Rep,709.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,Governor,,Paul GLOVER,Grn,10.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,Governor,,Ken V. KRAWCHUK,LIB,13.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,Governor,,Write-In,,0.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. House,11.0,Jess KING,Dem,316.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. House,11.0,Lloyd K SMUCKER,Rep,793.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,U.S. House,11.0,Write-In,,1.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,State Senate,28.0,Judith HIGGINS,Dem,277.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,State Senate,28.0,Kristin PHILLIPS-HILL,Rep,820.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,State Senate,28.0,Write-In,,2.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,State House,94.0,Steve SNELL,Dem,282.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,State House,94.0,Stan SAYLOR,Rep,822.0,,,York County,Chanceford Township 1
York,Chanceford Township 1,State House,94.0,Write-In,,2.0,,,York County,Chanceford Township 1
York,Chanceford Township 2,U.S. Senate,,"Bob CASEY, JR.",Dem,86.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. Senate,,Lou BARLETTA,Rep,319.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. Senate,,Neal GALE,Grn,2.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. Senate,,"Dale R. KERNS, JR.",LIB,3.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. Senate,,Write-In,,0.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,Governor,,Tom WOLF,Dem,93.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,Governor,,Scott R. WAGNER,Rep,310.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,Governor,,Paul GLOVER,Grn,3.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,Governor,,Ken V. KRAWCHUK,LIB,2.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,Governor,,Write-In,,0.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. House,11.0,Jess KING,Dem,83.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. House,11.0,Lloyd K SMUCKER,Rep,326.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,U.S. House,11.0,Write-In,,0.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,State Senate,28.0,Judith HIGGINS,Dem,73.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,State Senate,28.0,Kristin PHILLIPS-HILL,Rep,336.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,State Senate,28.0,Write-In,,0.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,State House,94.0,Steve SNELL,Dem,81.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,State House,94.0,Stan SAYLOR,Rep,327.0,,,York County,Chanceford Township 2
York,Chanceford Township 2,State House,94.0,Write-In,,0.0,,,York County,Chanceford Township 2
York,Chanceford Township 3,U.S. Senate,,"Bob CASEY, JR.",Dem,197.0,,,York County,Chanceford Township 3
York,Chanceford Township 3,U.S. Senate,,Lou BARLETTA,Rep,496.0,,,York County,Chanceford Township 3
York,Chanceford Township 3,U.S. Senate,,Neal GALE,Grn,5.0,,,York County,Chanceford Township 3
York,Chanceford Township 3,U.S. Senate,,"Dale R. KERNS, JR.",LIB,9.0,,,York County,Chanceford Township 3
York,Chanceford Township 3,U.S. Senate,,Write-In,,0.0,,,York County,Chanceford Township 3
York,Chanceford Township 3,Governor,,Tom WOLF,Dem,202.0,,,York County,Chanceford Township 3
